--- ABOUT ---
"EIH is primarily engaged in owning and managing premium luxury hotels and cruisers under the luxury Oberoi, Trident and Maidens brands. The Company is also engaged in flight catering, airport restaurants, project management and corporate air charters.(Source : 202003 Annual Report Page No:124)"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"20,127",322,435,28.1

Book Value,Dividend Yield,ROCE,ROE
84.2,0.47,20.7,14.5

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,637,498,531,741,741,527,589,800,827,574,598,873,895
Expenses +,433,343,388,417,437,392,414,443,477,414,444,497,561
Operating Profit,204,155,143,324,304,135,175,357,351,160,154,376,334
OPM %,32%,31%,27%,44%,41%,26%,30%,45%,42%,28%,26%,43%,37%
Other Income +,-16,28,26,18,69,37,40,48,43,-66,53,26,78
Interest,12,6,6,5,2,5,5,6,6,6,6,6,6
Depreciation,32,32,33,34,33,33,34,34,33,33,35,37,38
Profit before tax,145,145,130,304,338,134,175,364,355,54,166,360,368
Tax %,36%,27%,28%,24%,27%,28%,24%,23%,26%,32%,30%,29%,32%
Net Profit +,92,106,94,230,248,97,133,279,262,37,117,255,249
EPS in Rs,1.35,1.66,1.49,3.51,3.56,1.47,2.08,4.23,4.04,0.54,1.82,3.89,3.80
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,669","1,661","1,529","1,599","1,811","1,596",494,985,"2,019","2,511","2,743","2,940"
Expenses +,"1,338","1,315","1,265","1,298","1,405","1,301",847,"1,019","1,419","1,584","1,715","1,916"
Operating Profit,331,345,263,300,406,295,-354,-34,599,927,"1,028","1,024"
OPM %,20%,21%,17%,19%,22%,18%,-72%,-3%,30%,37%,37%,35%
Other Income +,28,41,61,121,8,73,49,100,16,141,156,91
Interest,46,28,18,23,50,56,41,35,36,19,21,23
Depreciation,168,133,128,117,133,146,129,124,126,131,134,143
Profit before tax,145,224,178,281,231,166,-476,-93,454,917,"1,028",949
Tax %,54%,36%,34%,30%,36%,1%,-21%,2%,27%,26%,25%,31%
Net Profit +,76,143,118,196,149,165,-375,-95,329,678,770,657
EPS in Rs,1.01,2.10,1.65,2.87,2.10,2.38,-5.91,-1.56,5.03,10.22,11.82,10.05
Dividend Payout %,100%,48%,50%,29%,39%,0%,0%,0%,22%,12%,13%,15%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,114,114,114,114,114,114,125,125,125,125,125,125
Reserves,"2,496","2,616","2,666","2,768","2,879","3,022","2,979","2,902","3,250","3,814","4,488","5,137"
Borrowings +,418,318,359,502,550,647,510,475,238,199,265,252
Other Liabilities +,691,556,540,680,698,658,510,635,782,906,953,"1,041"
Total Liabilities,"3,719","3,604","3,680","4,064","4,242","4,442","4,125","4,137","4,395","5,045","5,831","6,556"
Fixed Assets +,"2,615","2,230","2,092","2,548","2,628","3,007","2,885","2,854","2,871","2,885","3,143","3,881"
CWIP,93,115,321,148,79,130,169,55,96,170,308,218
Investments,254,301,288,327,428,459,411,365,384,448,548,656
Other Assets +,757,958,979,"1,042","1,107",846,659,863,"1,044","1,542","1,833","1,801"
