--- ABOUT ---
"Electrosteel Castings is engaged in the business of manufacturing Ductile Iron (DI) Pipes, Ductile Iron Fittings (DIF), Cast Iron (CI) Pipes and produces and supplies Pig Iron. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"5,028",81.3,139 / 60.1,26.5

Book Value,Dividend Yield,ROCE,ROE
95.8,1.72,5.21,3.24

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,872","1,685","1,919","1,869","2,004","2,012","1,828","1,780","1,701","1,558","1,396","1,472","1,493"
Expenses +,"1,680","1,525","1,619","1,463","1,693","1,658","1,560","1,525","1,541","1,387","1,303","1,438","1,431"
Operating Profit,193,160,300,406,311,354,268,255,160,170,93,34,62
OPM %,10%,10%,16%,22%,16%,18%,15%,14%,9%,11%,7%,2%,4%
Other Income +,36,27,18,23,34,24,21,39,39,28,95,16,37
Interest,77,57,57,53,52,41,40,45,35,36,38,37,32
Depreciation,31,30,30,30,34,32,36,37,37,41,43,45,44
Profit before tax,121,100,231,346,260,305,212,213,126,121,107,-32,23
Tax %,26%,25%,24%,24%,13%,26%,27%,25%,-33%,27%,27%,-31%,29%
Net Profit +,89,75,175,263,227,226,155,160,168,89,78,-22,16
EPS in Rs,1.50,1.26,2.94,4.43,3.67,3.65,2.51,2.59,2.72,1.44,1.27,-0.35,0.26
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,402","2,204","2,079","2,263","2,699","2,711","3,474","5,281","7,276","7,478","7,320","5,918"
Expenses +,"2,091","1,911","1,791","2,006","2,295","2,320","3,038","4,586","6,530","6,274","6,270","5,559"
Operating Profit,311,293,288,257,404,391,436,695,746,"1,204","1,050",359
OPM %,13%,13%,14%,11%,15%,14%,13%,13%,10%,16%,14%,6%
Other Income +,59,7,100,80,-137,8,-194,59,77,76,109,176
Interest,157,180,210,210,235,228,208,195,286,219,161,144
Depreciation,71,67,67,62,59,57,90,115,121,125,142,173
Profit before tax,144,52,111,65,-26,114,-56,444,415,937,856,219
Tax %,19%,32%,30%,-2%,-70%,25%,72%,22%,24%,21%,17%,26%
Net Profit +,-116,-27,144,124,39,161,-91,348,316,740,710,161
EPS in Rs,-3.25,-0.77,4.04,3.47,0.94,3.72,-2.11,5.84,5.31,11.97,11.48,2.61
Dividend Payout %,-20%,-65%,12%,9%,0%,8%,-16%,14%,17%,12%,12%,34%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,36,36,36,36,41,43,59,59,59,62,62,62
Reserves,"2,034","2,455","2,349","2,443","2,595","2,837","3,667","4,044","4,323","5,051","5,720","5,862"
Borrowings +,"2,572","2,185","2,057","1,697","1,761","1,736","2,138","2,967","2,667","2,332","2,125","1,561"
