--- ABOUT ---
"Incorporated in 1981, ELGI Rubber Ltd is in the business of manufacture of Reclaimed rubber, Retreading machinery, and Retread rubber [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
246,49.2,90.5 / 32.7,

Book Value,Dividend Yield,ROCE,ROE
15.1,0.00,-12.9,-67.5

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,96,95,101,95,95,97,99,91,97,86,94,100,86
Expenses +,93,89,89,90,93,92,93,81,112,84,93,124,128
Operating Profit,3,6,13,5,2,5,6,10,-15,2,2,-24,-41
OPM %,3%,6%,12%,5%,2%,5%,6%,11%,-15%,2%,2%,-24%,-48%
Other Income +,-6,10,9,6,8,27,-1,-2,8,9,3,5,-147
Interest,11,6,6,7,6,7,3,7,8,7,7,12,7
Depreciation,4,4,5,6,4,4,7,4,3,4,4,4,6
Profit before tax,-17,5,12,-2,-1,20,-5,-3,-18,0,-6,-35,-201
Tax %,-6%,0%,13%,-18%,128%,1%,-9%,25%,-4%,"2,617%",1%,-17%,2%
Net Profit +,-16,5,10,-2,-2,20,-4,-4,-17,-2,-6,-29,-204
EPS in Rs,-3.21,1.01,2.04,-0.38,-0.34,4.05,-0.83,-0.70,-3.40,-0.30,-1.20,-5.73,-40.77
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,440,362,375,377,410,368,343,390,394,386,384,366
Expenses +,440,348,354,359,398,371,323,384,378,362,377,428
Operating Profit,0,15,21,18,11,-2,20,5,17,25,6,-62
OPM %,0%,4%,6%,5%,3%,-1%,6%,1%,4%,6%,2%,-17%
Other Income +,10,10,11,12,8,24,16,13,33,33,33,-130
Interest,12,15,15,17,18,19,16,16,23,25,26,32
Depreciation,18,21,18,18,18,17,17,18,16,19,18,18
Profit before tax,-20,-11,-2,-5,-16,-15,3,-16,10,14,-5,-241
Tax %,14%,6%,157%,22%,-2%,5%,66%,5%,33%,15%,-3%,-0%
Net Profit +,-22,-11,-4,-6,-16,-15,1,-16,7,12,-4,-240
EPS in Rs,-4.47,-2.29,-0.81,-1.13,-3.22,-3.04,0.22,-3.27,1.35,2.33,-0.87,-48.00
Dividend Payout %,-5%,-16%,-16%,0%,0%,-5%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,5,5,5,5,5,5,5,5,5,5
Reserves,262,257,244,234,218,181,178,166,179,185,174,71
Borrowings +,201,245,246,297,285,268,243,247,271,307,270,313
Other Liabilities +,85,61,61,53,64,71,68,81,78,69,71,46
Total Liabilities,553,568,556,588,572,525,494,500,533,566,520,434
Fixed Assets +,245,258,234,245,226,208,209,205,228,245,162,123
CWIP,22,38,30,29,31,33,21,17,22,16,8,12
Investments,1,1,7,9,8,4,13,19,29,40,32,31
Other Assets +,284,271,284,306,308,281,252,260,255,264,318,267
Total Assets,553,568,556,588,572,525,494,500,533,566,520,434

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,50,82,-6,7,33,37,49,16,27,6,-8,-11
Cash from Investing Activity +,-93,-83,-1,-21,2,16,2,-9,-29,-16,77,-6
Cash from Financing Activity +,21,-14,4,13,-37,-54,-47,-12,2,10,-62,11
Net Cash Flow,-22,-15,-4,0,-1,-1,5,-6,-0,-0,7,-6
Free Cash Flow,-48,-5,-15,-17,33,46,50,4,-5,-8,75,-14
CFO/OP,"20,752%",578%,-19%,48%,296%,"-1,559%",244%,299%,167%,23%,-134%,18%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,54,60,59,50,55,49,57,69,62,58,66,58
Inventory Days,175,231,250,280,260,281,246,186,215,226,244,149
Days Payable,80,85,59,68,86,110,99,106,88,92,90,39
Cash Conversion Cycle,149,206,250,262,229,221,204,149,189,192,220,169
Working Capital Days,20,0,2,-28,-14,-26,-52,-67,-75,-71,-16,-64
ROCE %,-2%,1%,2%,2%,0%,-1%,4%,2%,6%,6%,0%,-13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.03%,65.03%,65.03%,65.03%,65.03%,65.03%,65.03%,65.03%,65.03%,65.03%,65.03%,65.03%
FIIs +,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0.06%,0.00%
DIIs +,1.46%,1.46%,1.46%,1.46%,1.10%,0.95%,0.95%,0.95%,0.95%,0.94%,0.94%,0.94%
Government +,2.36%,2.36%,2.36%,2.36%,2.36%,2.36%,2.36%,2.36%,2.36%,2.36%,2.36%,2.36%
Public +,31.15%,31.15%,31.15%,31.14%,31.50%,31.66%,31.65%,31.66%,31.66%,31.67%,31.61%,31.67%
No. of Shareholders,"13,173","14,432","13,360","14,772","14,539","13,771","16,519","16,790","16,449","16,940","16,592","16,505"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,0%
5 Years:,1%
3 Years:,-2%
TTM:,-5%

Compounded Profit Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,-281%

Stock Price CAGR
10 Years:,5%
5 Years:,6%
3 Years:,7%
1 Year:,-7%

Return on Equity
10 Years:,-8%
5 Years:,-13%
3 Years:,-21%
Last Year:,-67%

