--- ABOUT ---
"Elpro International Limited is engaged in manufacturing surge arresters, construction and development of real estate properties, equity investment in third parties and windmill operations. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,897",171,178 / 71.2,33.2

Book Value,Dividend Yield,ROCE,ROE
120,0.41,6.57,4.30

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,43,52,35,52,116,139,207,-7,70,100,54,189,185
Expenses +,33,17,16,18,98,71,178,21,38,29,31,54,256
Operating Profit,10,34,19,35,18,68,28,-28,32,71,22,135,-71
OPM %,23%,67%,54%,66%,15%,49%,14%,,45%,71%,42%,71%,-38%
Other Income +,2,1,5,6,20,5,27,23,-3,43,13,27,-19
Interest,2,3,4,7,10,11,15,19,22,23,26,28,29
Depreciation,1,1,1,1,1,2,2,4,3,3,5,3,4
Profit before tax,9,31,19,32,26,60,39,-28,3,87,4,132,-123
Tax %,104%,36%,2%,26%,7%,21%,17%,-24%,-164%,15%,-186%,29%,-25%
Net Profit +,-0,20,18,24,24,48,32,-21,7,74,11,94,-92
EPS in Rs,-0.02,1.15,1.08,1.40,1.42,2.81,1.90,-1.24,0.43,4.39,0.66,5.53,-5.43
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,37,45,51,58,41,110,63,72,123,229,390,528
Expenses +,21,30,29,23,36,78,33,46,78,149,309,371
Operating Profit,16,15,23,34,6,31,30,27,45,80,81,157
OPM %,43%,33%,44%,60%,14%,29%,48%,37%,37%,35%,21%,30%
Other Income +,0,0,14,19,137,14,16,"1,273",30,58,71,65
Interest,18,19,30,34,25,27,25,23,5,25,67,106
Depreciation,1,0,1,1,1,2,4,5,5,5,10,15
Profit before tax,-2,-4,6,19,116,16,18,"1,272",66,107,74,100
Tax %,-3%,-2%,-2%,0%,14%,15%,-12%,17%,27%,20%,11%,13%
Net Profit +,-2,-4,6,18,100,14,20,"1,057",48,85,66,87
EPS in Rs,-0.13,-0.22,0.35,1.09,5.90,0.82,1.16,62.35,2.83,5.04,3.90,5.16
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,8%,12%,18%,-0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,14,14,14,17,17,17,17,17,17,17,17
Reserves,167,154,-13,-20,123,118,154,"1,215","1,247","1,590","2,019","2,014"
Borrowings +,130,155,205,264,165,230,220,56,128,365,"1,010","1,209"
Other Liabilities +,105,107,64,59,126,75,67,92,122,154,355,378
Total Liabilities,406,429,270,316,430,441,459,"1,380","1,513","2,127","3,401","3,618"
Fixed Assets +,9,9,103,136,176,199,196,193,418,456,711,914
CWIP,85,105,-0,-0,-0,-0,-0,-0,-0,-0,6,31
Investments,269,269,133,151,160,174,193,"1,077","1,012","1,578","2,539","2,388"
Other Assets +,43,47,34,29,94,68,70,110,83,93,145,286
Total Assets,406,429,270,316,430,441,459,"1,380","1,513","2,127","3,401","3,618"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,9,20,31,57,-76,25,16,-162,-136,58,219,69
Cash from Investing Activity +,-16,-22,-12,-68,100,-82,20,387,34,-260,-767,-19
Cash from Financing Activity +,6,7,-23,12,-24,57,-33,-185,60,202,548,-13
Net Cash Flow,-1,5,-4,2,-1,0,3,40,-42,1,-1,37
Free Cash Flow,-4,0,17,23,-118,-1,14,-164,-366,15,-53,-53
CFO/OP,59%,134%,140%,166%,"-1,348%",80%,64%,88%,-286%,87%,296%,88%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,59,39,30,16,26,12,70,62,54,11,6,3
Inventory Days,"3,310",,,661,"5,976",,,,32,4,1,1
Days Payable,734,,,"1,313","2,065",,,,778,78,15,15
Cash Conversion Cycle,"2,635",39,30,-636,"3,937",12,70,62,-692,-63,-7,-11
Working Capital Days,"-1,345","-1,427","-1,173","-1,200",-891,-152,-246,-308,-409,-301,-592,-284
ROCE %,5%,5%,13%,22%,8%,13%,11%,14%,4%,7%,5%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.99%,74.99%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
