--- ABOUT ---
"Incorporated in 1995, Emkay Global Financial Services Ltd is in the business of providing capital market services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
791,290,410 / 185,52.0

Book Value,Dividend Yield,ROCE,ROE
145,0.52,7.92,4.45

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,42.15,46.65,70.54,75.20,90.98,82.69,108.02,77.30,71.04,72.97,72.09,87.08,148.39
Expenses +,53.99,52.21,62.98,64.70,78.10,67.61,78.93,67.87,70.93,67.14,70.68,78.82,135.64
Operating Profit,-11.84,-5.56,7.56,10.50,12.88,15.08,29.09,9.43,0.11,5.83,1.41,8.26,12.75
OPM %,-28.09%,-11.92%,10.72%,13.96%,14.16%,18.24%,26.93%,12.20%,0.15%,7.99%,1.96%,9.49%,8.59%
Other Income +,8.30,9.13,7.52,8.19,8.44,6.43,6.78,6.58,5.81,4.78,4.99,4.74,4.82
Interest,1.34,0.83,1.12,1.29,1.66,1.78,1.65,1.84,1.68,2.44,2.80,3.43,4.28
Depreciation,2.44,1.98,2.08,2.68,3.06,2.62,2.79,2.94,3.29,2.91,3.28,3.55,3.69
Profit before tax,-7.32,0.76,11.88,14.72,16.60,17.11,31.43,11.23,0.95,5.26,0.32,6.02,9.60
Tax %,-27.46%,119.74%,18.94%,16.51%,37.35%,18.47%,17.88%,22.26%,-786.32%,8.75%,6.25%,28.07%,41.25%
Net Profit +,-5.37,0.34,9.27,12.26,10.56,13.87,25.91,8.57,8.49,4.78,0.46,4.30,5.66
EPS in Rs,-2.18,0.14,3.76,4.97,4.28,5.61,10.43,3.43,3.35,1.88,0.18,1.66,2.16
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,117,105,109,156,147,135,160,272,205,316,360,377
Expenses +,82,82,85,111,124,137,134,217,190,261,282,349
Operating Profit,34,24,24,45,23,-3,26,55,15,55,79,28
OPM %,29%,22%,22%,29%,15%,-2%,16%,20%,7%,17%,22%,8%
Other Income +,-36,0,0,0,3,0,2,1,11,4,1,19
Interest,5,4,3,4,7,7,3,3,4,5,7,13
Depreciation,4,4,4,5,7,8,8,8,9,10,12,13
Profit before tax,-11,17,16,37,12,-17,17,46,12,44,61,21
Tax %,49%,28%,26%,22%,31%,-29%,32%,24%,-12%,27%,6%,29%
Net Profit +,-16,12,12,29,9,-13,11,34,14,32,57,15
EPS in Rs,-6.44,4.92,4.99,11.66,3.55,-5.11,4.52,13.72,5.71,13.14,22.40,5.80
Dividend Payout %,0%,20%,20%,17%,28%,0%,22%,9%,18%,11%,18%,26%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,24,24,24,25,25,25,25,25,25,25,25,26
Reserves,89,98,111,137,142,128,142,176,186,216,278,354
Borrowings +,35,11,49,34,23,10,17,44,33,52,68,110
Other Liabilities +,112,92,116,169,136,218,381,519,488,772,862,"1,249"
Total Liabilities,261,226,299,365,326,381,565,764,731,"1,065","1,233","1,740"
Fixed Assets +,36,35,35,33,35,38,34,32,38,43,41,40
CWIP,0,0,0,0,0,0,0,2,0,0,0,0
Investments,4,11,26,36,28,16,29,34,24,26,32,39
Other Assets +,221,180,237,296,263,327,501,696,669,996,"1,160","1,661"
Total Assets,261,226,299,365,326,381,565,764,731,"1,065","1,233","1,740"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-4,61,-22,30,21,94,-44,60,-63,24,-2,-72
