--- ABOUT ---
"EMS Limited is a multi-disciplinary EPC company, headquartered in Delhi that specializes in providing turnkey services in water and wastewater collection, treatment and disposal. EMS provides complete, single-source services from engineering and design to construction and installation of water, wastewater and domestic waste treatment facilities. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,944",350,655,21.5

Book Value,Dividend Yield,ROCE,ROE
190,0.43,12.5,8.91

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,190.24,137.97,210.52,199.56,245.26,206.28,233.47,245.29,269.84,238.89,173.49,200.36,120.50
Expenses +,142.53,105.63,153.50,152.72,177.64,156.00,164.94,174.20,205.00,184.78,136.32,169.61,102.19
Operating Profit,47.71,32.34,57.02,46.84,67.62,50.28,68.53,71.09,64.84,54.11,37.17,30.75,18.31
OPM %,25.08%,23.44%,27.09%,23.47%,27.57%,24.37%,29.35%,28.98%,24.03%,22.65%,21.42%,15.35%,15.20%
Other Income +,2.02,1.10,7.64,6.25,0.67,2.25,2.03,2.63,2.23,2.33,4.38,2.52,3.07
Interest,1.20,1.67,1.65,1.20,1.77,0.96,0.78,1.36,1.86,3.05,2.65,3.48,4.06
Depreciation,1.01,1.23,1.28,1.35,2.67,2.16,2.38,2.56,2.52,2.55,2.48,2.63,2.55
Profit before tax,47.52,30.54,61.73,50.54,63.85,49.41,67.40,69.80,62.69,50.84,36.42,27.16,14.77
Tax %,24.64%,25.38%,26.50%,25.94%,25.78%,24.79%,26.34%,27.49%,25.16%,25.14%,22.76%,29.01%,61.27%
Net Profit +,35.82,22.78,45.36,37.43,47.38,37.17,49.65,50.60,46.92,38.06,28.14,19.29,5.71
EPS in Rs,7.54,4.82,8.15,6.72,8.53,6.68,8.94,9.09,8.39,6.82,5.09,3.39,1.01
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,326,331,360,538,793,966,733
Expenses +,230,232,247,388,589,712,592
Operating Profit,96,99,113,150,204,254,140
OPM %,30%,30%,31%,28%,26%,26%,19%
Other Income +,7,5,3,5,16,16,12
Interest,3,4,6,4,6,11,13
Depreciation,2,2,3,3,7,10,10
Profit before tax,98,98,107,148,207,249,129
Tax %,26%,27%,27%,26%,26%,26%,29%
Net Profit +,72,72,79,109,153,184,91
EPS in Rs,61.64,61.17,66.51,22.91,27.44,33.05,16.30
Dividend Payout %,0%,0%,0%,0%,7%,5%,9%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,12,12,12,47,56,56,56
Reserves,218,290,368,444,743,920,"1,000"
Borrowings +,16,4,4,45,71,86,154
Other Liabilities +,62,73,119,103,101,104,121
Total Liabilities,308,378,503,639,970,"1,165","1,331"
Fixed Assets +,31,36,51,54,94,96,123
CWIP,0,3,0,4,0,0,37
Investments,0,0,1,2,10,18,10
Other Assets +,276,340,451,579,866,"1,052","1,160"
Total Assets,308,378,503,639,970,"1,165","1,331"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,47,36,23,4,-116,34,-15
Cash from Investing Activity +,-27,-8,-15,-21,-83,19,-60
Cash from Financing Activity +,-6,-11,3,38,176,1,-2
Net Cash Flow,15,16,11,21,-23,54,-77
Free Cash Flow,21,27,9,-4,-140,27,-88
CFO/OP,50%,36%,20%,31%,-36%,38%,14%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,44,103,160,84,112,142,193
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,44,103,160,84,112,142,193
Working Capital Days,125,183,219,137,180,187,297
ROCE %,,37%,33%,33%,29%,27%,13%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,69.70%,69.70%,69.70%,69.70%,69.70%,69.70%,69.70%,69.70%,69.70%,69.70%,69.70%
FIIs +,7.23%,4.09%,2.78%,0.88%,0.75%,0.66%,0.19%,0.17%,0.15%,0.21%,0.41%
DIIs +,1.78%,1.45%,1.43%,1.58%,1.08%,0.40%,0.61%,0.40%,0.35%,0.04%,0.04%
Public +,21.28%,24.75%,26.08%,27.84%,28.46%,29.24%,29.51%,29.72%,29.79%,30.05%,29.84%
No. of Shareholders,"46,765","38,767","43,841","58,971","94,855","1,14,561","1,28,071","1,29,977","1,28,706","1,24,117","1,19,086"

--- CAGR BOXES ---




