--- ABOUT ---
"Emudhra is a licensed certifying authority involved in issuing digital signature certificates in India under its eMudhra brand. The company is licensed by the Controller of Certifying Authorities (CCA), Ministry of Information Technology, and operates under the guidelines set by the Information technology Act. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,808",460,842,36.4

Book Value,Dividend Yield,ROCE,ROE
110,0.27,15.7,12.6

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,77,80,96,97,100,92,141,139,147,147,173,188,193
Expenses +,53,56,68,73,67,66,109,109,112,113,132,147,151
Operating Profit,24,24,28,25,33,27,32,30,35,35,41,41,42
OPM %,31%,30%,29%,25%,33%,29%,23%,22%,24%,24%,24%,22%,22%
Other Income +,2,1,0,2,3,3,1,2,2,3,2,3,3
Interest,2,0,0,1,1,0,1,0,-0,0,1,1,3
Depreciation,4,5,5,5,6,6,6,6,6,7,9,9,9
Profit before tax,20,20,23,20,29,24,27,25,31,31,33,34,33
Tax %,22%,17%,19%,2%,28%,23%,18%,12%,22%,19%,20%,15%,11%
Net Profit +,16,16,19,20,21,18,22,22,24,25,26,29,30
EPS in Rs,2.03,2.00,2.35,2.58,2.54,2.16,2.65,2.53,2.88,3.00,3.05,3.46,3.50
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,102,116,132,183,249,373,519,702
Expenses +,69,85,92,116,161,263,395,542
Operating Profit,32,32,40,67,87,110,124,159
OPM %,32%,27%,30%,37%,35%,29%,24%,23%
Other Income +,-2,0,1,1,5,7,8,12
Interest,0,1,1,5,3,3,1,5
Depreciation,8,9,9,13,16,21,24,34
Profit before tax,22,23,31,50,73,93,107,131
Tax %,19%,20%,19%,18%,17%,18%,19%,16%
Net Profit +,17,18,25,41,61,76,87,110
EPS in Rs,2.49,2.37,2.49,5.90,7.90,9.06,10.22,13.02
Dividend Payout %,-0%,-0%,-0%,21%,15%,13%,12%,10%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,35,35,35,35,37,40,41,41
Reserves,41,57,72,118,354,616,705,870
Borrowings +,29,42,51,67,25,8,-0,29
Other Liabilities +,15,25,33,39,43,86,123,274
Total Liabilities,120,159,192,259,460,750,868,"1,213"
Fixed Assets +,62,62,125,117,162,253,419,727
CWIP,22,40,4,43,47,51,17,29
Investments,0,0,14,-0,21,4,81,46
Other Assets +,36,56,49,99,230,443,351,411
Total Assets,120,159,192,259,460,750,868,"1,213"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,17,23,41,22,34,73,102,133
Cash from Investing Activity +,-32,-29,-47,-37,-102,-90,-204,-198
Cash from Financing Activity +,10,12,5,16,127,176,-21,22
Net Cash Flow,-5,7,-1,1,59,158,-124,-43
Free Cash Flow,-15,-5,6,-25,-28,-1,18,-52
CFO/OP,62%,86%,110%,39%,56%,76%,91%,93%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,77,73,41,88,99,101,102,98
Inventory Days,5,22,14,26,13,32,16,27
Days Payable,83,115,68,177,223,261,358,420
Cash Conversion Cycle,-1,-20,-13,-62,-111,-128,-240,-294
Working Capital Days,42,29,9,15,107,112,100,88
ROCE %,,20%,21%,28%,24%,18%,15%,16%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,57.70%,57.70%,57.70%,54.40%,54.40%,54.40%,54.40%,54.40%,54.40%,54.40%,54.40%,54.40%
FIIs +,4.28%,4.30%,3.85%,4.20%,4.17%,4.40%,5.04%,4.23%,4.20%,4.15%,4.16%,3.13%
DIIs +,9.87%,8.47%,9.12%,14.45%,14.36%,15.03%,14.85%,15.98%,16.01%,16.74%,16.75%,13.33%
Public +,28.15%,29.55%,29.35%,26.94%,27.08%,26.17%,25.72%,23.60%,23.76%,23.37%,23.54%,28.21%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.80%,1.64%,1.35%,1.15%,0.93%
No. of Shareholders,"62,851","66,030","70,561","73,650","78,824","80,884","82,175","80,017","79,507","79,353","76,826","69,646"

--- CAGR BOXES ---




