--- ABOUT ---
"Incorporated in 1999, Entertainment Network (India) Ltd operates FM radio broadcasting stations [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
527,111,175,270

Book Value,Dividend Yield,ROCE,ROE
159,1.81,-0.75,0.25

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,125.51,104.22,117.45,160.61,150.66,113.50,113.54,158.90,158.21,116.95,141.14,164.96,142.14
Expenses +,114.16,93.68,95.61,114.81,122.97,105.99,102.40,128.42,128.77,109.38,129.77,149.61,131.49
Operating Profit,11.35,10.54,21.84,45.80,27.69,7.51,11.14,30.48,29.44,7.57,11.37,15.35,10.65
OPM %,9.04%,10.11%,18.60%,28.52%,18.38%,6.62%,9.81%,19.18%,18.61%,6.47%,8.06%,9.31%,7.49%
Other Income +,7.08,9.39,5.92,5.94,7.75,9.26,10.55,6.58,11.62,7.96,6.75,-1.44,9.75
Interest,4.03,3.84,3.85,3.88,3.80,3.72,3.48,3.44,3.51,3.33,3.59,3.75,3.67
Depreciation,21.41,19.51,19.81,19.89,20.59,20.26,20.04,21.30,21.81,20.50,20.73,22.03,21.50
Profit before tax,-7.01,-3.42,4.10,27.97,11.05,-7.21,-1.83,12.32,15.74,-8.30,-6.20,-11.87,-4.77
Tax %,4.28%,-5.56%,17.07%,14.41%,19.82%,-24.55%,120.77%,24.76%,22.74%,-36.51%,-34.03%,-46.84%,-273.17%
Net Profit +,-7.30,-3.23,3.40,23.94,8.85,-5.45,-4.03,9.26,12.17,-5.26,-4.09,-6.30,8.27
EPS in Rs,-1.54,-0.72,0.69,5.01,1.82,-1.15,-0.87,1.92,2.53,-1.13,-0.86,-1.35,1.73
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,438,509,556,537,621,548,272,319,511,538,544,565
Expenses +,293,350,430,420,482,423,256,274,597,432,465,520
Operating Profit,145,158,126,117,139,125,16,45,-85,106,79,45
OPM %,33%,31%,23%,22%,22%,23%,6%,14%,-17%,20%,14%,8%
Other Income +,32,35,20,13,16,13,-53,14,24,28,38,23
Interest,0,0,14,5,4,19,19,17,17,15,14,14
Depreciation,33,36,54,63,67,104,99,87,90,80,83,85
Profit before tax,145,157,79,62,84,15,-155,-45,-169,40,19,-31
Tax %,27%,31%,30%,43%,36%,29%,-29%,-20%,-3%,17%,37%,-76%
Net Profit +,106,109,55,36,54,11,-110,-36,-165,33,12,-7
EPS in Rs,22.23,22.76,11.57,7.48,11.31,2.25,-23.18,-7.61,-34.59,6.81,2.42,-1.61
Dividend Payout %,4%,4%,9%,13%,9%,45%,-4%,-13%,-3%,22%,83%,-124%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,48,48,48,48,48,48,48,48,48,48,48,48
Reserves,627,761,810,840,888,870,754,713,544,724,729,710
Borrowings +,0,250,123,104,0,0,0,235,197,193,177,171
Other Liabilities +,115,123,157,167,210,403,310,110,413,292,240,278
Total Liabilities,789,"1,182","1,138","1,158","1,145","1,321","1,112","1,106","1,201","1,256","1,193","1,206"
Fixed Assets +,53,371,715,674,693,847,666,641,546,497,440,387
CWIP,0,357,66,63,22,1,2,1,1,1,5,0
Investments,550,237,117,165,145,236,223,217,283,308,355,387
Other Assets +,186,217,240,256,285,237,222,248,372,450,393,432
Total Assets,789,"1,182","1,138","1,158","1,145","1,321","1,112","1,106","1,201","1,256","1,193","1,206"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,95,109,104,106,119,119,31,40,93,127,26,86
Cash from Investing Activity +,-89,-338,52,-74,2,-92,13,6,-40,-41,-30,-17
