--- ABOUT ---
"Incorporated in 2010, Essar Shipping Ltd is in the business of fleet operating and chartering activities and operates in international and coastal voyages [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
502,24.2,43.3 / 21.6,

Book Value,Dividend Yield,ROCE,ROE
-100,0.00,,

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,14,11,12,3,3,3,148,3,-143,2,0,0,0
Expenses +,5,8,25,19,34,7,154,11,-113,6,3,5,4
Operating Profit,9,3,-13,-17,-32,-4,-6,-8,-30,-5,-3,-4,-4
OPM %,62%,23%,-113%,-641%,"-1,248%",-175%,-4%,-267%,,-279%,"-31,800%","-11,175%","-9,050%"
Other Income +,328,46,-3,2,23,-1,677,70,64,48,6,-50,-4
Interest,-44,11,10,16,45,29,28,23,21,16,18,33,28
Depreciation,4,11,11,11,-0,0,0,0,0,0,0,0,0
Profit before tax,376,26,-37,-41,-53,-35,642,39,13,27,-16,-88,-36
Tax %,-0%,-0%,-2%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
Net Profit +,363,26,-36,-41,-53,-35,642,40,13,27,-16,-88,-36
EPS in Rs,17.56,1.26,-1.74,-2.12,-3.11,-1.69,31.04,1.92,0.62,1.32,-0.76,-4.26,-1.72
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,911","1,720","2,194","1,208","1,309","1,344",472,328,61,20,10,2
Expenses +,"1,684","1,441","1,815",962,977,"1,084",442,265,28,87,60,18
Operating Profit,227,279,379,246,332,261,30,63,32,-67,-50,-16
OPM %,12%,16%,17%,20%,25%,19%,6%,19%,53%,-331%,-483%,-898%
Other Income +,243,199,-69,"-1,201","-3,430","-1,342",13,319,"1,764",75,807,-1
Interest,477,542,467,387,396,433,489,356,132,81,101,94
Depreciation,424,464,390,304,282,172,174,106,41,32,1,1
Profit before tax,-432,-528,-547,"-1,646","-3,776","-1,686",-620,-81,"1,624",-105,657,-112
Tax %,6%,4%,7%,0%,0%,0%,0%,0%,-2%,-1%,-0%,-0%
Net Profit +,-459,-550,-583,"-1,685","-3,771","-1,687",-621,-78,"1,650",-104,660,-112
EPS in Rs,-22.36,-26.58,-28.19,-80.44,-182.40,-81.24,-29.97,-3.79,79.73,-5.71,31.89,-5.41
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,205,207,207,207,207,207,207,207,207,207,207,207
Reserves,"6,675","3,126","2,428","1,163","-2,117","-4,428","-5,020","-5,121","-2,949","-3,014","-2,587","-2,280"
Borrowings +,"5,142","5,324","5,613","4,628","4,771","4,641","4,599","3,912","2,704","2,642","1,631","1,615"
Other Liabilities +,"1,430","1,506","1,248","1,647","1,701","1,925","2,298","2,171","1,085","1,076","1,048",775
Total Liabilities,"13,452","10,163","9,496","7,645","4,563","2,345","2,084","1,170","1,047",911,300,317
Fixed Assets +,"9,814","6,449","5,835","5,253","3,149","1,003",884,112,58,26,27,44
CWIP,78,79,137,78,11,11,16,-0,-0,-0,180,228
Investments,63,-0,37,-0,42,-0,6,40,38,0,0,-0
Other Assets +,"3,497","3,635","3,487","2,314","1,361","1,332","1,178","1,018",951,885,92,45
Total Assets,"13,452","10,163","9,496","7,645","4,563","2,345","2,084","1,170","1,047",911,300,317

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,559,345,274,487,157,210,97,140,514,-46,531,-130
Cash from Investing Activity +,379,26,13,719,64,75,-22,478,463,111,-335,27
Cash from Financing Activity +,-961,-374,-285,"-1,188",-236,-263,-86,-627,-969,-71,-211,-212
Net Cash Flow,-23,-2,2,18,-15,22,-12,-9,7,-6,-15,-315
Free Cash Flow,721,371,306,677,196,177,41,551,560,-47,351,-177
CFO/OP,248%,140%,75%,201%,53%,88%,129%,200%,"1,465%",71%,"-1,081%",820%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,58,71,20,30,43,20,23,27,79,337,538,262
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,58,71,20,30,43,20,23,27,79,337,538,262
Working Capital Days,-152,-52,-458,-631,-835,-831,"-2,899","-3,503","-14,147","-37,890","-42,427","-168,511"
ROCE %,0%,0%,1%,0%,2%,13%,-30%,,,-208%,,

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.37%,73.75%,73.75%,73.75%,73.75%,73.75%,73.75%,73.75%,73.75%,73.75%,73.75%,73.75%
FIIs +,0.00%,0.00%,0.01%,0.04%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
DIIs +,0.03%,0.02%,0.02%,0.02%,0.02%,0.02%,0.03%,0.03%,0.02%,0.02%,0.02%,0.02%
Public +,25.60%,26.22%,26.22%,26.19%,26.21%,26.22%,26.21%,26.21%,26.22%,26.22%,26.22%,26.22%
No. of Shareholders,"1,05,303","1,02,708","1,08,331","1,12,595","1,23,972","1,35,076","1,33,207","1,32,524","1,31,305","1,30,956","1,29,753","1,28,307"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,-50%
5 Years:,-67%
3 Years:,-69%
TTM:,-83%

Compounded Profit Growth
10 Years:,7%
5 Years:,15%
3 Years:,-20%
TTM:,-167%

Stock Price CAGR
10 Years:,0%
5 Years:,16%
3 Years:,28%
1 Year:,-16%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,%
Last Year:,%

