--- ABOUT ---
"Incorporated in 1985, Ester Industries Ltd is a manufacturer of polyester film and engineering plastics. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
905,92.7,133 / 68.6,

Book Value,Dividend Yield,ROCE,ROE
80.2,0.65,2.76,-3.53

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,294.66,257.59,261.37,267.76,276.73,286.15,331.16,345.58,319.26,338.20,354.19,338.98,343.82
Expenses +,284.67,257.48,271.58,287.26,270.75,274.97,291.34,286.06,282.80,317.89,339.91,322.55,301.82
Operating Profit,9.99,0.11,-10.21,-19.50,5.98,11.18,39.82,59.52,36.46,20.31,14.28,16.43,42.00
OPM %,3.39%,0.04%,-3.91%,-7.28%,2.16%,3.91%,12.02%,17.22%,11.42%,6.01%,4.03%,4.85%,12.22%
Other Income +,-1.34,9.40,9.78,4.62,3.22,6.21,2.62,5.41,2.66,8.65,3.05,4.53,1.31
Interest,13.79,16.76,17.71,17.92,17.98,16.76,18.46,16.44,15.66,15.48,17.23,15.99,16.21
Depreciation,14.49,16.28,16.82,17.18,17.75,17.29,17.24,17.13,17.09,17.29,17.34,17.64,17.66
Profit before tax,-19.63,-23.53,-34.96,-49.98,-26.53,-16.66,6.74,31.36,6.37,-3.81,-17.24,-12.67,9.44
Tax %,-9.53%,-6.25%,-12.93%,-10.32%,-10.55%,-3.36%,55.19%,20.85%,69.23%,87.66%,-8.41%,-2.13%,16.53%
Net Profit +,-17.75,-22.06,-30.44,-44.82,-23.72,-16.10,3.02,24.82,1.96,-7.16,-15.78,-12.41,7.87
EPS in Rs,-2.13,-2.65,-3.65,-5.37,-2.52,-1.71,0.32,2.64,0.21,-0.73,-1.62,-1.27,0.81
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,671,698,884,928,895,768,992,"1,110","1,114","1,063","1,282","1,375"
Expenses +,448,663,842,853,823,698,760,939,"1,022","1,086","1,135","1,282"
Operating Profit,223,35,42,74,72,71,231,171,93,-23,147,93
OPM %,33%,5%,5%,8%,8%,9%,23%,15%,8%,-2%,12%,7%
Other Income +,1,6,5,5,3,5,8,60,137,26,16,18
Interest,13,35,26,35,37,36,19,25,36,70,67,65
Depreciation,18,27,29,30,32,32,35,37,44,68,69,70
Profit before tax,193,-21,-8,14,5,7,185,169,149,-135,28,-24
Tax %,33%,-34%,-32%,41%,21%,33%,26%,19%,8%,-10%,51%,13%
Net Profit +,129,-14,-5,8,4,5,137,137,137,-121,14,-27
EPS in Rs,20.58,-2.21,-0.84,1.33,0.61,0.55,16.49,16.39,16.42,-12.88,1.46,-2.81
Dividend Payout %,19%,0%,0%,38%,0%,0%,21%,20%,3%,0%,0%,-9%

--- BALANCE SHEET ---
,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,31,31,31,31,31,42,42,42,42,47,47,49
Reserves,246,232,226,232,241,250,470,580,702,671,726,734
Borrowings +,224,304,335,363,376,316,208,639,816,773,660,729
Other Liabilities +,122,60,60,72,67,80,142,168,155,153,140,162
Total Liabilities,623,627,652,698,714,688,862,"1,428","1,715","1,643","1,573","1,674"
Fixed Assets +,363,350,376,390,399,385,377,390,979,989,977,978
CWIP,5,17,5,18,12,23,76,435,79,83,39,36
Investments,1,1,0,0,0,0,1,0,154,69,75,78
Other Assets +,254,258,272,290,303,280,407,604,503,502,482,581
Total Assets,623,627,652,698,714,688,862,"1,428","1,715","1,643","1,573","1,674"

--- CASH FLOW ---
,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,83,47,23,52,68,81,146,62,58,44,112,89
Cash from Investing Activity +,-222,-36,-27,-57,-36,-20,-147,-392,-199,42,-56,-116
