--- ABOUT ---
"Incorporated in 2000, Excelsoft Technologies Ltd is a software and SaaS company focused on digital learning and online assessment solutions, combining technology platforms, AI tools and professional services to support education and training globally [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
903,78.4,143,19.4

Book Value,Dividend Yield,ROCE,ROE
50.2,0.00,13.6,9.83

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,54,55,70,56,65,71,81
Expenses +,40,37,42,46,47,51,57
Operating Profit,14,18,28,10,18,20,25
OPM %,26%,33%,41%,18%,27%,28%,30%
Other Income +,4,4,5,4,4,1,5
Interest,1,1,1,1,1,1,1
Depreciation,6,6,6,6,6,6,6
Profit before tax,11,15,27,8,14,13,23
Tax %,16%,36%,25%,23%,26%,23%,27%
Net Profit +,9,10,20,6,11,10,17
EPS in Rs,54.49,0.96,2.05,0.59,1.06,0.89,1.44
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,103,125,158,195,198,233,273
Expenses +,66,59,97,127,143,160,199
Operating Profit,37,66,61,68,55,73,73
OPM %,36%,53%,39%,35%,28%,31%,27%
Other Income +,1,2,2,3,2,15,14
Interest,13,19,14,14,10,5,4
Depreciation,22,33,24,27,29,25,24
Profit before tax,4,16,25,30,18,60,59
Tax %,219%,31%,40%,26%,30%,42%,27%
Net Profit +,-5,11,15,22,13,35,43
EPS in Rs,-31.69,71.10,94.25,140.62,79.89,3.47,3.77
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,2,2,2,100,115
Reserves,208,234,249,276,296,271,463
Borrowings +,168,152,131,121,78,35,7
Other Liabilities +,38,28,34,38,45,64,93
Total Liabilities,416,415,416,436,421,470,678
Fixed Assets +,346,315,330,349,336,135,176
CWIP,11,37,13,0,0,0,0
Investments,0,0,0,0,0,0,0
Other Assets +,58,64,73,88,85,336,502
Total Assets,416,415,416,436,421,470,678

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,28,63,61,56,56,53,50
Cash from Investing Activity +,-123,-27,-24,-15,-16,7,-156
Cash from Financing Activity +,95,-36,-35,-27,-52,-56,130
Net Cash Flow,-0,1,1,14,-12,4,24
Free Cash Flow,-80,62,58,41,40,290,-19
CFO/OP,78%,100%,109%,93%,112%,99%,88%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,111,110,83,85,86,80,62
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,111,110,83,85,86,80,62
Working Capital Days,-145,-57,-91,-41,11,17,60
ROCE %,,9%,10%,11%,7%,16%,14%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,59.08%,59.08%
FIIs +,2.18%,1.37%
DIIs +,4.90%,4.06%
Public +,33.83%,35.48%
No. of Shareholders,"93,564","80,392"

--- CAGR BOXES ---




