--- ABOUT ---
"Fertilizers & Chemicals Travancore Ltd (FACT), incorporated in the year 1943, is the first large-scale fertiliser plant in India at Udyogamandal, Kochi, Kerala. The company is engaged in the manufacturing and selling of fertilizers, its by-products and Caprolactam. It is under the administrative control of the Department of Fertilizers, Ministry of Chemicals & Fertilizers, Government of India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"57,256",885,"1,059","3,866"

Book Value,Dividend Yield,ROCE,ROE
21.2,0.02,8.65,1.61

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales +,"1,722","1,249","1,233","1,663","1,097","1,062",600,"1,449",949,"1,053","1,043","1,629","1,568"
Expenses +,"1,523","1,065","1,086","1,531","1,054","1,025",656,"1,414",918,968,"1,019","1,590","1,611"
Operating Profit,199,184,147,132,43,37,-57,35,32,85,24,39,-43
OPM %,12%,15%,12%,8%,4%,4%,-9%,2%,3%,8%,2%,2%,-3%
Other Income +,36,52,-7,39,54,-129,60,48,57,76,52,51,39
Interest,62,61,63,61,62,61,62,61,62,60,62,62,62
Depreciation,7,9,5,5,5,11,5,6,12,13,7,8,9
Profit before tax,166,165,72,105,30,-164,-64,15,15,88,7,21,-74
Tax %,0%,0%,0%,0%,0%,-63%,-24%,28%,46%,20%,40%,2%,-8%
Net Profit +,166,165,72,105,30,-61,-49,11,8,71,4,21,-68
EPS in Rs,2.56,2.56,1.11,1.63,0.47,-0.95,-0.75,0.17,0.12,1.09,0.07,0.32,-1.05
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"1,981","1,746","1,867","1,927","1,955","2,770","3,259","4,425","6,198","5,051","4,051","5,293"
Expenses +,"2,155","1,966","1,821","1,759","1,945","2,491","2,708","3,829","5,443","4,693","3,956","5,188"
Operating Profit,-174,-220,45,168,10,279,551,596,755,358,95,105
OPM %,-9%,-13%,2%,9%,0%,10%,17%,13%,12%,7%,2%,2%
Other Income +,27,41,18,42,457,"1,004",68,22,136,-42,241,219
Interest,201,257,305,321,281,289,245,244,248,247,246,246
Depreciation,25,23,21,17,23,18,23,27,30,27,37,36
Profit before tax,-373,-459,-263,-129,163,976,350,346,613,42,54,42
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,-206%,23%,
Net Profit +,-373,-459,-263,-129,163,976,350,346,613,128,41,28
EPS in Rs,-5.76,-7.09,-4.06,-1.99,2.51,15.08,5.42,5.35,9.47,1.98,0.64,0.43
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,11%,49%,61%,

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,647,647,647,647,647,647,647,647,647,647,647,647
Reserves,"-1,499","-1,957","-2,159","-2,286","-2,119","-1,138",-827,15,627,711,724,728
Borrowings +,"1,119","1,856","2,402","2,278","2,274","1,821","1,822","1,838","1,842","1,810","1,805","3,837"
Other Liabilities +,"1,451","1,174",715,"1,215","1,547","1,316","1,756","2,276","2,379","2,682","2,860","1,466"
Total Liabilities,"1,718","1,720","1,605","1,854","2,348","2,646","3,399","4,775","5,494","5,850","6,036","6,677"
Fixed Assets +,330,314,297,295,296,299,286,816,814,827,951,948
CWIP,25,22,25,18,18,39,55,43,105,224,216,243
Investments,4,4,46,59,69,78,86,98,113,130,158,158
Other Assets +,"1,359","1,381","1,238","1,482","1,966","2,229","2,972","3,819","4,463","4,669","4,710","5,328"
Total Assets,"1,718","1,720","1,605","1,854","2,348","2,646","3,399","4,775","5,494","5,850","6,036","6,677"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,192,-237,31,224,-410,256,"1,021",152,638,280,140
Cash from Investing Activity +,-9,-4,75,-3,416,289,-854,-158,-765,213,-282
Cash from Financing Activity +,-181,224,-94,-207,-45,-504,-36,8,-5,-107,-75
Net Cash Flow,2,-17,12,14,-40,42,130,3,-132,386,-217
Free Cash Flow,182,-241,24,215,0,"1,186",988,88,556,126,-13
CFO/OP,-110%,107%,69%,133%,"-4,256%",92%,184%,24%,84%,78%,147%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,2,2,99,69,76,51,12,14,28,11,26
Inventory Days,147,124,158,184,197,138,112,93,103,134,128
Days Payable,181,167,109,150,120,49,76,77,37,54,60
Cash Conversion Cycle,-32,-41,148,102,152,141,47,30,94,91,94
Working Capital Days,-158,25,-1,-20,13,-66,-228,-159,-120,-175,-239
ROCE %,,-55%,6%,25%,1%,27%,40%,33%,30%,17%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%
FIIs +,0.05%,0.07%,0.11%,0.11%,0.12%,0.07%,0.10%,0.14%,0.20%,0.21%,0.21%,0.21%
DIIs +,0.01%,8.58%,8.59%,8.61%,8.60%,8.60%,8.61%,8.59%,8.61%,0.05%,0.05%,0.06%
Government +,8.96%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,8.96%,8.96%,8.96%
