--- ABOUT ---
"Finolex Cables Limited is a leading manufacturer of electrical and telecommunication cables in India. Operating for more than 50 years, Finolex has been able to maintain its leadership position as one of the most diversified wires and cables companies in the country. Besides manufacturing a wide variety of wires and cables, Finolex has also forayed into the manufacturing of Fast-Moving Electrical Goods (FMEG) and home appliances. Over the years, the Company has established itself as a preferred electrical solutions provider for retail and institutional markets in India and created a strong brand name. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"17,807","1,164","1,185",25.0

Book Value,Dividend Yield,ROCE,ROE
398,0.69,16.0,12.3

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,224","1,204","1,187","1,222","1,401","1,230","1,312","1,182","1,595","1,396","1,376","1,599","1,951"
Expenses +,"1,079","1,058","1,041","1,088","1,239","1,104","1,206","1,044","1,424","1,259","1,231","1,441","1,771"
Operating Profit,146,146,146,134,162,127,106,138,171,136,145,158,180
OPM %,12%,12%,12%,11%,12%,10%,8%,12%,11%,10%,11%,10%,9%
Other Income +,98,74,72,75,100,202,57,67,104,80,76,74,140
Interest,1,0,0,0,1,0,0,0,0,0,0,0,0
Depreciation,15,10,11,11,12,11,12,12,12,14,14,15,17
Profit before tax,228,210,206,198,250,318,151,193,261,203,206,216,303
Tax %,23%,24%,25%,24%,25%,23%,22%,24%,27%,20%,21%,24%,26%
Net Profit +,175,160,154,151,186,244,118,147,192,163,163,164,224
EPS in Rs,11.44,10.49,10.08,9.87,12.17,15.95,7.71,9.63,12.54,10.63,10.63,10.73,14.67
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,360","2,445","2,815","3,078","2,877","2,768","3,768","4,481","5,014","5,319","6,321"
Expenses +,"2,002","2,049","2,374","2,604","2,494","2,398","3,339","3,972","4,426","4,776","5,702"
Operating Profit,358,396,441,474,384,370,429,509,588,543,620
OPM %,15%,16%,16%,15%,13%,13%,11%,11%,12%,10%,10%
Other Income +,125,160,153,178,169,300,398,188,321,428,370
Interest,9,4,1,1,2,1,2,1,2,2,2
Depreciation,58,48,44,41,39,39,39,46,44,47,59
Profit before tax,416,504,549,610,512,631,787,649,864,922,929
Tax %,21%,21%,40%,33%,24%,27%,24%,22%,25%,24%,23%
Net Profit +,329,400,330,407,391,461,599,504,652,701,714
EPS in Rs,21.49,26.17,21.58,26.64,25.57,30.17,39.18,32.97,42.61,45.82,46.67
Dividend Payout %,14%,11%,19%,17%,22%,18%,15%,21%,19%,17%,19%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,31,31,31,31,31,31,31,31,31,31,31
Reserves,"1,745","2,110","2,398","2,706","2,973","3,384","3,891","4,340","4,915","5,465","6,055"
Borrowings +,51,1,1,1,8,7,9,14,18,20,19
Other Liabilities +,272,297,354,417,395,464,563,596,671,771,885
Total Liabilities,"2,099","2,440","2,784","3,154","3,407","3,886","4,494","4,980","5,635","6,287","6,990"
Fixed Assets +,432,415,409,404,387,394,380,435,444,583,850
CWIP,3,8,5,10,27,26,87,21,168,210,105
Investments,881,"1,159","1,523","1,767","1,121","1,571","2,014","2,610","3,584","3,986","4,195"
Other Assets +,783,857,847,973,"1,872","1,894","2,013","1,915","1,439","1,507","1,840"
Total Assets,"2,099","2,440","2,784","3,154","3,407","3,886","4,494","4,980","5,635","6,287","6,990"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,339,213,236,154,309,114,473,356,577,207,49
Cash from Investing Activity +,-195,-126,-134,-110,587,-859,-378,-225,-440,-82,153
Cash from Financing Activity +,-64,-75,-57,-75,-86,-86,-87,-97,-112,-128,-129
Net Cash Flow,81,11,44,-30,810,-831,8,35,26,-3,73
Free Cash Flow,327,178,199,110,277,59,406,325,577,207,-105
CFO/OP,114%,86%,84%,67%,109%,63%,141%,96%,125%,64%,32%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,19,19,23,25,24,23,17,18,13,17,21
Inventory Days,70,98,90,95,104,134,80,69,53,61,73
Days Payable,19,40,32,34,28,31,23,21,22,21,16
Cash Conversion Cycle,70,76,80,86,100,126,74,66,45,57,78
Working Capital Days,45,52,60,73,82,202,159,120,68,59,170
ROCE %,,26%,24%,24%,18%,20%,21%,16%,19%,18%,16%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,35.92%,35.92%,35.92%,35.92%,35.86%,35.86%,35.86%,35.86%,35.86%,35.86%,35.86%,35.86%
FIIs +,11.25%,11.77%,11.06%,11.58%,11.64%,11.32%,10.99%,10.57%,10.67%,9.90%,9.42%,9.62%
DIIs +,15.56%,15.58%,15.93%,15.87%,16.83%,16.73%,16.25%,16.07%,15.57%,15.88%,15.77%,16.44%
Public +,37.27%,36.73%,37.09%,36.65%,35.66%,36.10%,36.91%,37.50%,37.92%,38.36%,38.96%,38.10%
No. of Shareholders,"1,25,344","1,28,513","1,25,351","1,28,440","1,12,071","1,24,788","1,37,311","1,57,533","1,59,021","1,76,353","1,89,711","1,82,413"

--- CAGR BOXES ---




