--- ABOUT ---
"Fine Organic Industries is engaged in and outside India as manufacturers, processors, suppliers, distributors, dealers, importers, exporters of wide range of oleochemical-based additives used in foods, plastics, cosmetics, coatings and other specialty application in various industries."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"16,206","5,286","5,494",39.4

Book Value,Dividend Yield,ROCE,ROE
869,0.21,21.5,16.6

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,597,547,540,488,547,550,596,517,607,588,597,555,625
Expenses +,395,407,410,371,403,410,446,414,487,466,463,461,496
Operating Profit,202,140,130,117,144,139,150,103,120,123,134,94,129
OPM %,34%,26%,24%,24%,26%,25%,25%,20%,20%,21%,22%,17%,21%
Other Income +,13,14,17,17,22,24,22,25,26,47,21,21,35
Interest,1,1,1,1,1,1,0,0,1,1,0,0,3
Depreciation,13,12,14,15,15,12,13,13,15,12,13,14,18
Profit before tax,201,143,132,119,150,151,159,115,130,157,142,101,143
Tax %,26%,30%,22%,21%,24%,25%,26%,28%,25%,26%,24%,27%,18%
Net Profit +,149,100,103,94,115,113,117,83,97,117,109,74,117
EPS in Rs,48.74,32.54,33.71,30.73,37.36,36.94,38.30,26.97,31.68,38.19,35.40,24.11,38.32
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,660,778,856,"1,060","1,038","1,133","1,876","3,023","2,123","2,269","2,366"
Expenses +,514,633,697,827,803,935,"1,513","2,194","1,591","1,757","1,886"
Operating Profit,146,145,158,234,235,198,363,829,532,512,480
OPM %,22%,19%,19%,22%,23%,17%,19%,27%,25%,23%,20%
Other Income +,8,4,16,20,20,17,33,64,71,98,124
Interest,7,4,3,2,5,6,5,5,2,2,4
Depreciation,30,24,20,17,35,47,40,48,57,52,56
Profit before tax,117,121,151,234,216,162,352,841,544,555,543
Tax %,35%,36%,37%,40%,24%,26%,26%,26%,24%,26%,23%
Net Profit +,76,78,95,136,165,120,260,618,412,410,417
EPS in Rs,157.74,161.22,31.09,44.43,53.74,39.24,84.67,201.60,134.34,133.89,136.03
Dividend Payout %,29%,9%,23%,16%,13%,28%,11%,4%,7%,8%,8%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,15,15,15,15,15,15,15,15,15
Reserves,249,323,380,485,604,716,944,"1,526","1,906","2,280","2,649"
Borrowings +,102,40,54,128,125,89,59,29,4,3,68
Other Liabilities +,63,76,81,74,108,127,219,237,182,213,266
Total Liabilities,419,445,530,702,852,948,"1,236","1,807","2,108","2,511","2,999"
Fixed Assets +,125,97,88,78,217,196,229,214,268,363,390
CWIP,6,3,32,106,6,26,14,40,30,27,62
Investments,0,11,11,10,33,31,31,39,36,35,38
Other Assets +,289,334,399,508,597,694,962,"1,513","1,774","2,085","2,508"
Total Assets,419,445,530,702,852,948,"1,236","1,807","2,108","2,511","2,999"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,45,65,98,219,134,67,485,635,204,430
Cash from Investing Activity +,,-16,-52,-93,-85,-40,-32,-128,-396,-676,-409
Cash from Financing Activity +,,-55,-17,92,-37,-41,-68,-69,-59,-34,-0
Net Cash Flow,,-26,-3,97,98,53,-33,289,180,-506,20
Free Cash Flow,,34,13,5,146,88,6,405,549,77,288
CFO/OP,,65%,73%,79%,119%,89%,41%,86%,148%,68%,117%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,49,52,62,54,47,52,59,42,54,53,54
Inventory Days,72,68,58,50,79,63,72,91,78,100,104
Days Payable,50,47,46,30,51,49,47,36,41,43,45
Cash Conversion Cycle,71,72,75,74,74,66,84,97,91,110,113
Working Capital Days,80,69,80,76,63,65,79,76,77,104,92
ROCE %,,35%,38%,44%,32%,22%,39%,65%,31%,26%,21%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,3.78%,3.78%,3.58%,4.47%,4.94%,4.88%,5.22%,4.66%,4.80%,4.57%,4.43%,4.40%
DIIs +,12.24%,12.17%,11.84%,10.76%,11.12%,11.56%,11.52%,12.04%,11.94%,12.02%,11.80%,11.65%
Public +,8.99%,9.05%,9.58%,9.77%,8.92%,8.56%,8.27%,8.31%,8.26%,8.41%,8.78%,8.96%
No. of Shareholders,"1,34,261","1,35,252","1,41,370","1,46,686","1,31,494","1,22,482","1,15,433","1,12,554","1,05,097","97,992","93,942","88,948"

--- CAGR BOXES ---




