--- ABOUT ---
"Incorporated in 1967, Foods & Inns Ltd is in business of processing and marketing fruit pulps, concentrates and spray dried fruit and vegetable powders, Powder of various spices, frozen vegetables and snacks, medicated products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
415,56.4,129 / 44.0,15.0

Book Value,Dividend Yield,ROCE,ROE
77.0,0.53,8.85,5.01

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,333,288,237,150,345,247,169,189,397,236,193,150,289
Expenses +,300,257,204,132,307,221,145,171,349,210,175,134,249
Operating Profit,33,32,33,18,38,26,24,19,48,26,18,17,40
OPM %,10%,11%,14%,12%,11%,11%,14%,10%,12%,11%,9%,11%,14%
Other Income +,1,2,0,2,3,4,2,3,3,2,3,2,5
Interest,9,9,10,10,16,14,13,16,15,12,13,12,11
Depreciation,3,4,4,4,4,5,5,5,5,6,7,6,6
Profit before tax,22,20,19,5,20,11,8,1,30,10,1,1,28
Tax %,31%,29%,29%,28%,74%,37%,-37%,0%,23%,29%,32%,64%,31%
Net Profit +,15,14,13,4,5,7,11,1,23,7,1,0,19
EPS in Rs,2.98,2.68,2.51,0.70,0.92,0.96,1.53,0.11,3.18,0.97,0.09,0.06,2.65
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,359,335,354,335,339,392,371,632,999,"1,020",992,868
Expenses +,315,306,326,305,312,359,347,580,898,897,872,768
Operating Profit,44,30,28,30,26,33,24,52,102,123,120,100
OPM %,12%,9%,8%,9%,8%,8%,6%,8%,10%,12%,12%,12%
Other Income +,4,4,15,7,119,4,11,6,7,6,12,12
Interest,22,20,24,22,16,13,16,21,30,49,62,47
Depreciation,11,8,10,10,12,12,12,13,14,16,21,25
Profit before tax,15,5,9,5,118,11,5,24,65,64,50,40
Tax %,19%,90%,48%,26%,8%,3%,28%,35%,27%,43%,16%,31%
Net Profit +,12,1,5,3,109,11,4,15,47,37,42,28
EPS in Rs,2.84,0.14,-0.30,0.71,21.71,2.20,0.78,3.04,9.31,6.47,5.71,3.77
Dividend Payout %,3%,59%,-34%,14%,0%,9%,26%,8%,5%,5%,5%,8%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,2,2,2,5,5,5,5,6,7,7
Reserves,50,50,57,60,168,174,177,192,307,393,532,558
Borrowings +,153,199,177,190,99,134,164,223,342,469,440,432
Other Liabilities +,76,55,110,114,92,106,81,154,156,160,311,304
Total Liabilities,280,306,346,366,361,420,427,574,811,"1,027","1,290","1,301"
Fixed Assets +,88,106,136,127,119,133,127,133,173,246,327,335
CWIP,17,1,1,2,2,3,18,55,61,39,11,10
Investments,0,0,0,0,0,0,0,1,12,12,4,4
Other Assets +,175,198,210,236,240,283,282,384,565,729,948,952
Total Assets,280,306,346,366,361,420,427,574,811,"1,027","1,290","1,301"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,68,-20,61,15,-18,-2,15,15,-73,-22,15,132
Cash from Investing Activity +,-8,-8,-30,-10,120,-20,-20,-52,-77,-95,-30,-72
Cash from Financing Activity +,-60,28,-24,-14,-99,16,-10,29,134,60,2,-38
Net Cash Flow,-0,-0,8,-9,2,-5,-15,-8,-17,-56,-12,22
Free Cash Flow,58,-31,31,4,101,-30,-5,-34,-137,-86,-41,94
CFO/OP,158%,-60%,230%,62%,26%,8%,68%,38%,-58%,-10%,24%,146%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,35,50,50,70,69,76,81,55,55,63,79,61
Inventory Days,150,188,181,200,193,205,199,186,173,197,272,442
Days Payable,67,45,104,131,62,115,94,115,65,48,143,168
Cash Conversion Cycle,119,194,127,139,200,166,186,125,163,212,207,334
Working Capital Days,-59,-64,-77,-74,34,31,21,16,33,49,94,108
ROCE %,17%,11%,13%,11%,7%,8%,7%,12%,17%,15%,12%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,28.74%,28.82%,27.71%,20.58%,16.00%,25.47%,25.47%,25.37%,25.37%,25.38%,25.40%,25.39%
FIIs +,0.62%,0.76%,0.12%,0.29%,1.60%,1.49%,1.37%,1.44%,0.00%,0.05%,0.14%,0.11%
DIIs +,0.21%,0.10%,0.15%,0.00%,0.05%,0.00%,1.14%,1.26%,1.26%,1.13%,1.13%,1.13%
Public +,70.43%,70.32%,72.03%,79.13%,82.33%,73.04%,72.03%,71.93%,73.36%,73.43%,73.32%,73.38%
No. of Shareholders,"16,452","17,741","19,749","21,455","21,354","22,476","23,927","23,490","23,648","23,222","22,794","22,365"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,10%
5 Years:,19%
3 Years:,-5%
TTM:,-13%

Compounded Profit Growth
10 Years:,46%
5 Years:,48%
3 Years:,-14%
TTM:,-32%

Stock Price CAGR
10 Years:,11%
5 Years:,-5%
3 Years:,-31%
1 Year:,-43%

Return on Equity
10 Years:,8%
5 Years:,9%
3 Years:,8%
Last Year:,5%

