--- ABOUT ---
"Gujarat Ambuja Exports is engaged in the manufacturing of Corn Starch Derivatives, Soya Derivatives, Feed Ingredients, Cotton Yarn, and Edible Oils. Since its incorporation in 1991, GAEL strives to serve the Food, Pharmaceutical, Feed, and many other industries with a long-term growth strategy in the Agro-Processing sector. (Source: Company Website)"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,338",160,178 / 101,23.9

Book Value,Dividend Yield,ROCE,ROE
71.8,0.16,12.5,9.76

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,428","1,163","1,116","1,302","1,346","1,090","1,125","1,131","1,267","1,291","1,487","1,484","1,467"
Expenses +,"1,322","1,061","1,012","1,176","1,235",985,"1,015","1,008","1,204","1,195","1,411","1,385","1,272"
Operating Profit,107,102,103,126,111,106,110,123,62,96,76,99,195
OPM %,7%,9%,9%,10%,8%,10%,10%,11%,5%,7%,5%,7%,13%
Other Income +,14,27,42,39,37,29,20,9,25,30,19,28,26
Interest,4,6,6,3,3,3,4,3,6,5,9,6,7
Depreciation,23,30,30,30,30,31,31,32,32,35,35,33,34
Profit before tax,93,92,109,131,115,100,94,97,49,86,51,88,180
Tax %,25%,23%,24%,23%,21%,24%,26%,27%,35%,24%,25%,25%,25%
Net Profit +,69,71,83,101,91,77,69,71,32,65,38,66,135
EPS in Rs,1.51,1.55,1.80,2.20,1.99,1.67,1.51,1.56,0.70,1.42,0.83,1.44,2.95
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,122","3,016","3,092","2,531","2,736","3,817","4,705","4,670","4,909","4,927","4,613","5,729"
Expenses +,"2,016","2,821","2,897","2,367","2,549","3,527","4,171","3,983","4,433","4,484","4,211","5,262"
Operating Profit,106,194,195,165,188,289,535,687,476,443,401,466
OPM %,5%,6%,6%,6%,7%,8%,11%,15%,10%,9%,9%,8%
Other Income +,5,9,10,9,10,2,27,54,73,144,82,103
Interest,21,22,21,15,10,9,6,6,13,18,17,28
Depreciation,30,37,47,61,65,101,103,97,95,121,126,138
Profit before tax,61,145,137,98,123,181,452,638,441,448,341,404
Tax %,18%,22%,19%,14%,16%,20%,25%,26%,25%,23%,27%,25%
Net Profit +,50,113,111,84,104,146,338,475,330,346,249,304
EPS in Rs,0.90,2.04,2.01,1.52,1.87,3.18,7.37,10.36,7.20,7.54,5.44,6.63
Dividend Payout %,17%,10%,9%,14%,11%,8%,4%,3%,5%,0%,5%,5%

--- BALANCE SHEET ---
,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,28,28,28,28,28,23,23,23,23,46,46,46
Reserves,528,628,729,800,889,"1,304","1,634","2,095","2,411","2,723","2,956","3,249"
Borrowings +,361,183,401,309,329,160,163,281,229,199,231,441
Other Liabilities +,223,364,154,148,176,250,342,354,289,342,353,424
Total Liabilities,"1,140","1,203","1,312","1,284","1,421","1,736","2,162","2,753","2,952","3,310","3,587","4,160"
Fixed Assets +,289,458,479,543,562,787,731,771,"1,042","1,037","1,179","1,185"
CWIP,169,38,64,63,101,12,106,246,87,153,235,443
Investments,44,44,42,52,73,22,180,714,650,840,938,"1,061"
Other Assets +,638,662,727,626,686,915,"1,146","1,022","1,172","1,280","1,234","1,472"
Total Assets,"1,140","1,203","1,312","1,284","1,421","1,736","2,162","2,753","2,952","3,310","3,587","4,160"

--- CASH FLOW ---
,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-4,294,-120,253,135,241,298,596,241,213,341,228
Cash from Investing Activity +,-95,-79,-73,-130,-130,-60,-302,-777,-72,-253,-336,-401
Cash from Financing Activity +,96,-209,187,-124,-3,-97,1,100,-76,-55,-13,176
Net Cash Flow,-2,6,-6,-0,2,84,-3,-81,93,-95,-8,4
Free Cash Flow,-130,208,-223,130,18,156,149,312,44,4,47,-153
CFO/OP,18%,165%,-45%,165%,82%,96%,78%,111%,72%,68%,107%,69%

--- RATIOS ---
,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,30,13,18,16,23,15,17,18,21,24,28,28
Inventory Days,79,67,75,82,73,74,77,76,69,81,79,69
Days Payable,29,40,10,12,14,17,18,21,15,18,17,13
Cash Conversion Cycle,79,41,83,86,82,72,76,73,75,87,90,84
Working Capital Days,10,14,21,30,29,42,44,31,44,56,56,96
ROCE %,10%,19%,15%,9%,11%,,28%,30%,18%,16%,11%,13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,63.84%,63.84%,63.84%,63.84%,63.84%,63.84%,63.84%,63.84%,63.84%,63.84%,63.84%,63.84%
FIIs +,3.99%,3.93%,4.09%,4.22%,4.24%,1.99%,1.87%,2.02%,2.17%,2.04%,1.60%,2.18%
DIIs +,0.16%,0.43%,1.16%,2.36%,1.39%,0.63%,0.39%,0.51%,0.19%,0.60%,0.57%,0.82%
Public +,32.02%,31.80%,30.92%,29.57%,30.52%,33.53%,33.90%,33.62%,33.80%,33.51%,33.97%,33.14%
No. of Shareholders,"88,910","82,358","79,575","1,00,832","1,18,488","1,40,571","1,43,454","1,39,416","1,37,348","1,34,837","1,26,326","1,14,043"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,8%
5 Years:,4%
3 Years:,5%
TTM:,24%

Compounded Profit Growth
10 Years:,12%
5 Years:,-2%
3 Years:,-2%
TTM:,24%

Stock Price CAGR
10 Years:,26%
5 Years:,14%
3 Years:,9%
1 Year:,43%

Return on Equity
10 Years:,%
5 Years:,13%
3 Years:,10%
Last Year:,10%

