--- ABOUT ---
"Galaxy Surfactants Ltd was Incorporated in 1986. It’s a leading manufacturer of Performance Surfactants and Specialty Care products with over 205 product grades. These products are used in consumer-centric Home and Personal care products like hair care, oral care, skin care, cosmetics, soap, shampoo, lotion, detergent, cleaning products, etc. Preferred suppliers to leading MNC’s, Regional and Local FMCG brands. [1] The company is India’s Largest Manufacturer of Oleo chemical-based Surfactants and Specialty Care Products for Home Care and Personal Care Industries [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"6,897","1,945","2,750",24.9

Book Value,Dividend Yield,ROCE,ROE
774,1.13,13.5,10.8

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,980,942,983,940,929,974,"1,063","1,042","1,145","1,278","1,326","1,329","1,315"
Expenses +,845,819,858,828,827,850,935,936,"1,018","1,154","1,216","1,210","1,193"
Operating Profit,135,123,125,112,102,124,128,106,127,124,110,119,122
OPM %,14%,13%,13%,12%,11%,13%,12%,10%,11%,10%,8%,9%,9%
Other Income +,7,2,3,6,24,5,9,4,8,11,6,-7,0
Interest,6,6,5,6,5,4,4,5,6,7,7,9,8
Depreciation,23,24,25,25,26,27,28,28,28,29,30,31,33
Profit before tax,113,96,98,88,94,99,104,77,100,99,79,73,80
Tax %,20%,22%,21%,19%,18%,19%,19%,16%,24%,20%,16%,19%,22%
Net Profit +,91,75,77,71,78,80,85,65,76,79,66,59,62
EPS in Rs,25.53,21.20,21.84,20.13,21.86,22.48,23.89,18.22,21.40,22.42,18.75,16.63,17.61
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,870","1,799","2,158","2,432","2,761","2,595","2,782","3,684","4,462","3,792","4,221","5,248"
Expenses +,"1,681","1,563","1,886","2,144","2,408","2,226","2,334","3,284","3,894","3,330","3,737","4,773"
Operating Profit,190,236,271,288,353,369,449,401,568,462,484,475
OPM %,10%,13%,13%,12%,13%,14%,16%,11%,13%,12%,11%,9%
Other Income +,2,6,10,10,5,6,11,13,10,35,26,10
Interest,34,34,27,31,30,24,13,13,22,22,19,31
Depreciation,45,45,47,49,51,62,74,71,83,100,110,123
Profit before tax,112,163,207,219,277,289,372,329,473,375,380,332
Tax %,40%,37%,29%,28%,31%,20%,19%,20%,19%,20%,20%,19%
Net Profit +,67,103,148,158,191,230,302,263,381,301,305,267
EPS in Rs,19.03,28.97,41.64,44.57,53.87,64.99,85.22,74.12,107.46,85.03,86.00,75.41
Dividend Payout %,21%,31%,14%,16%,15%,22%,21%,24%,20%,26%,5%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,35,35,35,35,35,35,35,35,35,35,35,35
Reserves,342,412,539,683,841,"1,032","1,266","1,539","1,847","2,144","2,327","2,709"
Borrowings +,451,412,393,348,298,396,289,421,327,187,210,235
Other Liabilities +,231,250,315,385,389,348,458,602,518,539,877,894
Total Liabilities,"1,060","1,109","1,283","1,452","1,563","1,812","2,049","2,597","2,728","2,906","3,450","3,874"
Fixed Assets +,459,436,456,447,519,748,712,760,923,973,"1,030","1,174"
CWIP,7,51,10,25,83,66,124,205,139,158,262,181
Investments,0,0,0,0,0,6,43,0,0,198,299,474
Other Assets +,594,623,817,980,962,992,"1,170","1,630","1,665","1,576","1,859","2,045"
Total Assets,"1,060","1,109","1,283","1,452","1,563","1,812","2,049","2,597","2,728","2,906","3,450","3,874"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,41,170,111,145,283,316,365,5,573,518,421,333
Cash from Investing Activity +,-26,-59,-43,-54,-166,-149,-166,-82,-141,-341,-290,-378
Cash from Financing Activity +,-17,-110,-57,-90,-119,-144,-165,59,-264,-189,-157,-51
Net Cash Flow,-2,0,11,1,-2,23,34,-18,168,-11,-27,-96
Free Cash Flow,15,116,68,89,115,174,258,-150,429,362,205,198
CFO/OP,49%,98%,62%,71%,101%,104%,97%,16%,118%,129%,101%,85%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,43,51,59,63,56,62,62,63,50,57,59,52
