--- ABOUT ---
"Incorporated in 2015, Ganges Securities Ltd deals in securities mainly of group companies and in immovable properties. It is also into tea business [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
119,119,190,44.4

Book Value,Dividend Yield,ROCE,ROE
540,0.00,0.76,0.44

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,4.47,5.89,13.33,12.97,2.64,7.72,15.16,13.10,2.00,6.36,15.51,11.24,3.00
Expenses +,7.77,6.21,4.49,11.66,6.91,5.97,6.23,11.60,7.67,5.48,10.56,9.01,6.61
Operating Profit,-3.30,-0.32,8.84,1.31,-4.27,1.75,8.93,1.50,-5.67,0.88,4.95,2.23,-3.61
OPM %,-73.83%,-5.43%,66.32%,10.10%,-161.74%,22.67%,58.91%,11.45%,-283.50%,13.84%,31.91%,19.84%,-120.33%
Other Income +,0.68,0.17,0.17,0.65,0.16,-0.12,0.18,-0.19,0.73,0.60,0.04,0.19,0.15
Interest,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
Depreciation,0.19,0.19,0.20,0.20,0.19,0.19,0.19,0.19,0.47,0.16,0.20,0.22,0.20
Profit before tax,-2.82,-0.34,8.81,1.75,-4.31,1.44,8.92,1.12,-5.42,1.32,4.79,2.20,-3.66
Tax %,-2.84%,52.94%,24.29%,23.43%,-6.96%,27.08%,18.95%,28.57%,-31.55%,21.97%,39.25%,33.64%,-26.23%
Net Profit +,-2.74,-0.52,6.67,1.34,-4.01,1.05,7.22,0.80,-3.71,1.03,2.91,1.46,-2.71
EPS in Rs,-2.74,-0.52,6.67,1.34,-4.01,1.05,7.22,0.80,-3.71,1.03,2.91,1.46,-2.71
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,0.00,28.70,33.47,32.09,31.87,34.81,34.41,41.93,35.68,38.82,36.11
Expenses +,0.04,20.80,20.37,22.43,22.47,22.84,26.00,29.74,28.73,31.37,31.66
Operating Profit,-0.04,7.90,13.10,9.66,9.40,11.97,8.41,12.19,6.95,7.45,4.45
OPM %,,27.53%,39.14%,30.10%,29.49%,34.39%,24.44%,29.07%,19.48%,19.19%,12.32%
Other Income +,0.00,0.11,0.19,0.32,0.12,0.51,1.61,1.38,-0.25,-0.73,0.98
Interest,0.00,0.18,0.82,0.51,0.16,0.08,0.20,0.17,0.01,0.01,0.01
Depreciation,0.00,1.23,1.25,0.73,0.65,0.70,0.74,0.73,0.78,1.04,0.79
Profit before tax,-0.04,6.60,11.22,8.74,8.71,11.70,9.08,12.67,5.91,5.67,4.63
Tax %,0.00%,11.36%,17.74%,13.96%,18.03%,16.32%,11.89%,23.05%,41.12%,10.76%,42.12%
Net Profit +,-0.04,5.85,9.23,7.52,7.14,9.79,7.99,9.75,3.48,5.06,2.69
EPS in Rs,,5.85,9.23,7.52,7.14,9.79,7.99,9.75,3.48,5.06,2.69
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.05,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Reserves,-0.04,75.08,84.25,303.91,198.40,327.78,613.72,441.15,535.23,666.25,529.86
Borrowings +,0.00,11.50,6.25,2.45,2.58,2.47,2.63,0.00,0.00,0.00,0.00
Other Liabilities +,0.00,4.75,4.80,6.07,6.20,5.94,14.36,6.14,25.06,55.26,40.94
Total Liabilities,0.01,101.33,105.30,322.43,217.18,346.19,640.71,457.29,570.29,731.51,580.80
Fixed Assets +,0.00,11.47,11.34,11.11,11.71,12.00,12.07,12.28,13.83,13.90,15.00
