--- ABOUT ---
"Gateway Distripacks is an integrated inter-modal logistics service provider. It has a network of 9 Inland Container Depots and Container Freight Stations strategically located across the country, operating a fleet of 34 trainsets along with 500+ trailers for transportation between its facilities and maritime ports, as well as first & last mile connectivity to provide end to end solutions to the EXIM industry. The company offers general & bonded warehousing, rail & road transportation, container handling services and other value added services."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,045",60.9,76.5,11.8

Book Value,Dividend Yield,ROCE,ROE
45.9,3.28,10.8,11.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,377,370,399,393,375,353,390,403,535,550,567,560,534
Expenses +,284,274,295,295,292,268,293,306,427,431,447,438,416
Operating Profit,93,95,103,98,83,85,97,97,108,119,120,122,118
OPM %,25%,26%,26%,25%,22%,24%,25%,24%,20%,22%,21%,22%,22%
Other Income +,16,6,4,4,8,5,5,395,-241,4,3,3,5
Interest,12,11,12,12,12,11,11,10,15,15,16,15,14
Depreciation,26,25,23,24,23,26,26,26,37,37,39,39,39
Profit before tax,71,66,73,66,57,53,65,455,-186,72,69,72,70
Tax %,4%,3%,-1%,3%,0%,7%,8%,-0%,3%,13%,3%,7%,9%
Net Profit +,69,64,74,65,56,49,60,456,-191,62,66,67,64
EPS in Rs,1.37,1.26,1.46,1.27,1.10,0.97,1.20,9.11,-3.86,1.21,1.34,1.36,1.21
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,691,730,"1,292","1,179","1,374","1,421","1,536","1,681","2,212"
Expenses +,521,586,977,866,"1,004","1,052","1,156","1,295","1,732"
Operating Profit,171,144,315,314,369,369,380,386,480
OPM %,25%,20%,24%,27%,27%,26%,25%,23%,22%
Other Income +,8,12,20,11,34,27,23,164,15
Interest,12,14,103,80,65,46,47,48,59
Depreciation,47,50,133,131,128,104,95,115,153
Profit before tax,119,92,98,113,210,246,261,387,283
Tax %,12%,34%,-6%,17%,-7%,2%,1%,3%,8%
Net Profit +,105,61,104,94,224,242,258,374,259
EPS in Rs,5.21,3.01,5.11,4.68,4.48,4.80,5.13,7.42,5.12
Dividend Payout %,0%,0%,0%,0%,28%,42%,39%,27%,39%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,202,202,109,125,500,500,500,500,500
Reserves,156,217,"1,208","1,350","1,137","1,277","1,433","1,704","1,793"
Borrowings +,532,590,950,718,619,530,510,720,646
Other Liabilities +,57,62,166,205,171,190,201,514,583
Total Liabilities,947,"1,070","2,433","2,398","2,428","2,496","2,644","3,437","3,522"
Fixed Assets +,699,759,"1,963","1,845","1,790","1,897","1,922","2,610","2,662"
CWIP,30,56,5,29,10,15,36,63,29
Investments,81,138,60,0,141,141,204,79,97
Other Assets +,138,116,404,523,487,444,481,686,734
Total Assets,947,"1,070","2,433","2,398","2,428","2,496","2,644","3,437","3,522"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,132,140,303,308,363,324,321,385,469
Cash from Investing Activity +,-128,-185,-19,24,-41,-207,-117,-110,-126
Cash from Financing Activity +,1,43,-336,-228,-211,-215,-272,-267,-338
Net Cash Flow,6,-3,-52,103,112,-98,-67,8,5
Free Cash Flow,42,8,299,269,319,109,248,370,354
CFO/OP,91%,111%,107%,105%,107%,98%,96%,109%,110%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,38,30,37,40,31,35,37,59,44
Inventory Days,,,,,,,,,23
Days Payable,,,,,,,,,345
Cash Conversion Cycle,38,30,37,40,31,35,37,59,-278
Working Capital Days,4,9,-41,-55,-51,-41,-29,-15,2
ROCE %,,11%,,9%,12%,13%,13%,11%,11%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,32.33%,32.33%,32.33%,32.32%,32.32%,32.32%,32.32%,32.32%,32.32%,32.32%,33.03%,33.93%
FIIs +,13.79%,12.85%,13.43%,12.39%,11.82%,10.51%,9.64%,8.43%,7.64%,7.69%,6.49%,6.66%
DIIs +,40.29%,41.79%,41.56%,42.65%,43.60%,42.88%,39.73%,39.34%,37.55%,36.03%,35.67%,33.99%
Public +,13.61%,13.04%,12.69%,12.65%,12.26%,14.28%,18.31%,19.93%,22.49%,23.95%,24.80%,25.43%
No. of Shareholders,"60,495","69,794","81,046","89,419","93,227","1,05,146","1,18,158","1,22,166","1,28,030","1,29,833","1,29,852","1,27,411"

--- CAGR BOXES ---




