--- ABOUT ---
"Incorporated in 1984, GeeCee Ventures Ltd is in the business of real estate development, financials services & renewable energy [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
740,354,419 / 216,17.6

Book Value,Dividend Yield,ROCE,ROE
399,0.00,6.31,5.21

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,4,11,9,14,63,31,29,59,16,8,18,16,33
Expenses +,19,4,3,3,41,17,13,33,11,4,5,9,4
Operating Profit,-15,7,5,10,22,14,16,26,4,4,12,7,29
OPM %,-344%,65%,60%,75%,35%,46%,54%,45%,28%,54%,69%,42%,87%
Other Income +,1,0,0,0,0,0,0,0,0,0,0,0,0
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,1,1,1,1,1,1,1,1,1,1
Profit before tax,-14,7,5,10,22,14,15,25,4,4,12,6,29
Tax %,-22%,18%,6%,6%,18%,22%,17%,23%,8%,17%,13%,24%,17%
Net Profit +,-11,6,4,9,18,11,13,20,4,3,10,5,24
EPS in Rs,-5.32,2.72,2.13,4.40,8.56,5.17,6.00,9.33,1.86,1.60,4.90,2.36,11.27
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,57,144,94,201,150,45,42,96,40,97,135,75
Expenses +,49,111,64,170,109,24,26,70,25,52,73,23
Operating Profit,8,33,30,31,41,21,16,26,15,45,62,52
OPM %,14%,23%,32%,16%,28%,47%,38%,27%,37%,47%,46%,70%
Other Income +,8,7,3,1,6,1,2,1,1,0,-0,1
Interest,0,0,0,0,0,0,0,0,0,0,1,0
Depreciation,2,3,2,2,2,2,2,2,2,2,2,2
Profit before tax,14,38,31,30,45,20,16,25,14,43,59,51
Tax %,2%,6%,10%,-2%,20%,19%,37%,24%,19%,14%,20%,17%
Net Profit +,13,36,28,31,36,16,10,19,12,37,47,42
EPS in Rs,7.09,16.55,13.10,14.23,16.67,7.70,4.91,9.25,5.56,17.81,22.36,20.12
Dividend Payout %,21%,9%,0%,11%,0%,0%,39%,0%,36%,11%,9%,10%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,19,22,22,22,22,21,21,21,21,21,21,21
Reserves,282,319,357,388,432,408,464,516,540,624,759,814
Borrowings +,0,0,0,0,0,0,0,0,0,0,0,0
Other Liabilities +,73,51,40,30,26,35,55,32,55,83,411,579
Total Liabilities,374,392,419,440,480,464,540,569,617,728,"1,191","1,414"
Fixed Assets +,35,33,37,35,33,30,28,26,25,34,30,25
CWIP,1,0,0,0,0,0,0,0,0,0,0,0
Investments,33,51,172,225,313,146,370,308,300,328,498,471
Other Assets +,305,307,210,179,135,289,142,236,292,366,664,919
Total Assets,374,392,419,440,480,464,540,569,617,728,"1,191","1,414"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,15,-2,-147,-23,7,155,-92,5,68,-21,216,-91
Cash from Investing Activity +,30,3,19,28,-9,-3,-50,0,-33,63,-21,48
Cash from Financing Activity +,-1,-0,-0,-4,0,-12,-0,-4,-0,-4,-5,-4
Net Cash Flow,44,0,-128,2,-2,141,-143,1,35,38,190,-48
Free Cash Flow,11,-3,-147,-23,10,155,-92,5,67,-34,214,-91
CFO/OP,200%,3%,-470%,-66%,30%,764%,-556%,41%,499%,-31%,373%,-146%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,32,59,127,56,19,31,44,6,14,24,13,7
Inventory Days,"2,547",398,968,232,319,"2,903","2,355","1,346","6,569","2,472","2,325","27,985"
Days Payable,44,16,34,18,54,294,220,60,60,74,35,144
Cash Conversion Cycle,"2,535",442,"1,061",269,284,"2,641","2,180","1,292","6,523","2,422","2,304","27,848"
Working Capital Days,662,301,641,254,255,868,780,815,"1,916",854,64,865
ROCE %,3%,10%,9%,8%,9%,4%,4%,5%,3%,7%,8%,6%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,67.72%,67.72%,67.72%,67.72%,67.72%,67.72%,67.72%,67.72%,67.72%,67.72%,67.72%,67.72%
FIIs +,0.01%,0.00%,0.01%,0.00%,0.01%,0.10%,0.15%,0.03%,0.03%,0.01%,0.00%,0.00%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.11%,0.13%,0.13%
Public +,32.28%,32.29%,32.27%,32.29%,32.28%,32.19%,32.15%,32.25%,32.14%,32.16%,32.16%,32.15%
No. of Shareholders,"7,711","7,718","7,362","7,305","7,408","8,236","7,816","7,664","7,474","7,243","7,144","7,004"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,-6%
5 Years:,12%
3 Years:,23%
TTM:,-45%

Compounded Profit Growth
10 Years:,3%
5 Years:,33%
3 Years:,54%
TTM:,-11%

Stock Price CAGR
10 Years:,10%
5 Years:,21%
3 Years:,27%
1 Year:,-8%

Return on Equity
10 Years:,5%
5 Years:,5%
3 Years:,6%
Last Year:,5%

