--- ABOUT ---
"Genesys International Corporation Ltd is engaged in providing Geographical Information Services comprising of photogrammetry, remote sensing, cartography, data conversion, terrestrial and 3D geo-content including location navigation mapping and other computer based related services. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,466",351,674 / 198,40.5

Book Value,Dividend Yield,ROCE,ROE
168,0.00,8.23,5.74

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,47,35,33,59,71,56,72,89,94,71,77,76,104
Expenses +,30,29,25,29,35,35,43,47,44,41,47,60,70
Operating Profit,16,6,8,31,36,20,29,43,50,30,30,16,34
OPM %,35%,17%,23%,52%,51%,37%,41%,48%,53%,42%,39%,21%,33%
Other Income +,1,1,1,3,0,1,1,2,0,1,4,6,3
Interest,1,1,1,1,1,1,2,3,3,3,3,3,3
Depreciation,11,11,11,11,11,12,12,16,15,15,16,17,17
Profit before tax,6,-5,-3,21,24,9,16,26,32,12,15,2,17
Tax %,64%,4%,21%,26%,39%,40%,32%,21%,40%,43%,20%,51%,26%
Net Profit +,2,-5,-3,16,15,5,11,21,19,7,12,1,13
EPS in Rs,0.57,-1.41,-0.87,4.19,3.76,1.36,2.83,5.20,4.76,1.71,2.88,0.26,2.96
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,60,47,64,114,115,112,80,120,181,198,311,328
Expenses +,47,40,48,78,96,98,81,92,122,117,168,218
Operating Profit,13,7,16,36,19,13,-2,28,59,81,143,109
OPM %,21%,16%,25%,32%,17%,12%,-2%,23%,32%,41%,46%,33%
Other Income +,2,6,3,4,3,4,-30,-42,6,5,4,15
Interest,2,2,2,2,3,3,4,3,3,5,10,12
Depreciation,8,7,13,14,19,21,19,19,37,44,55,65
Profit before tax,5,5,5,24,0,-7,-54,-36,25,37,83,46
Tax %,11%,6%,-41%,28%,"1,108%",-23%,-5%,11%,40%,42%,32%,29%
Net Profit +,4,2,6,17,-4,-5,-52,-40,15,22,56,33
EPS in Rs,1.43,0.73,2.11,5.50,1.73,0.61,-13.75,4.28,5.05,5.58,14.12,7.80
Dividend Payout %,9%,17%,6%,2%,7%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,15,15,15,16,16,16,16,19,20,20,21
Reserves,193,195,152,209,208,197,158,189,387,469,536,683
Borrowings +,12,14,22,24,26,16,14,26,39,60,122,173
Other Liabilities +,25,37,135,136,134,136,117,88,61,86,100,96
Total Liabilities,244,262,324,385,383,365,304,319,506,635,778,972
Fixed Assets +,21,22,179,217,208,203,194,138,157,156,128,287
CWIP,0,0,0,0,0,0,0,19,65,113,156,1
Investments,122,156,25,11,11,15,8,6,51,0,0,0
Other Assets +,101,84,120,157,165,147,102,156,232,366,495,684
