--- ABOUT ---
"Established 1983, GHCL Limited is engaged in the business of manufacturing and trading of Inorganic Chemicals (Soda Ash). [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,003",435,668,8.77

Book Value,Dividend Yield,ROCE,ROE
386,2.76,17.4,13.0

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,120","1,019",805,798,823,830,793,779,781,796,721,757,791
Expenses +,771,719,592,648,639,614,582,549,563,599,564,598,615
Operating Profit,349,299,213,150,184,217,211,230,218,197,157,159,176
OPM %,31%,29%,26%,19%,22%,26%,27%,30%,28%,25%,22%,21%,22%
Other Income +,-3,230,11,14,17,18,17,29,23,27,17,16,14
Interest,10,8,7,6,5,4,4,4,4,2,2,3,2
Depreciation,27,24,26,26,26,27,28,28,28,27,28,29,27
Profit before tax,309,497,191,133,170,203,196,227,209,195,145,143,160
Tax %,27%,14%,25%,25%,26%,26%,21%,26%,28%,26%,26%,26%,28%
Net Profit +,227,426,143,100,125,151,155,168,150,144,107,106,116
EPS in Rs,23.70,44.60,14.94,10.43,13.04,15.73,16.17,17.59,15.69,15.00,11.11,11.53,12.58
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,356","2,531","2,784","2,919","3,341","3,305","2,491","3,052","4,551","3,447","3,183","3,064"
Expenses +,"1,828","1,901","2,103","2,313","2,582","2,576","1,886","2,322","3,048","2,596","2,306","2,375"
Operating Profit,528,629,681,607,759,729,605,730,"1,503",851,877,690
OPM %,22%,25%,24%,21%,23%,22%,24%,24%,33%,25%,28%,22%
Other Income +,-15,-3,37,38,16,16,18,211,119,270,88,73
Interest,171,165,137,127,127,120,74,51,39,27,17,10
Depreciation,85,82,86,110,117,131,111,87,94,102,112,111
Profit before tax,257,380,495,407,531,495,437,802,"1,489",991,836,642
Tax %,29%,32%,23%,13%,34%,20%,25%,19%,23%,20%,25%,26%
Net Profit +,182,258,380,356,351,397,326,650,"1,142",794,624,472
EPS in Rs,18.19,25.78,38.04,36.59,35.77,41.75,34.33,68.14,119.41,82.94,65.18,51.39
Dividend Payout %,12%,0%,13%,14%,14%,7%,16%,22%,15%,14%,18%,23%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,100,100,99,97,98,95,95,95,96,96,96,92
Reserves,670,936,"1,247","1,513","1,827","2,054","2,389","2,852","3,860","2,883","3,393","3,460"
Borrowings +,"1,324","1,365","1,463","1,322","1,302","1,254",782,788,361,210,119,83
Other Liabilities +,758,548,694,695,767,766,712,"1,261",816,581,578,665
Total Liabilities,"2,851","2,949","3,504","3,628","3,995","4,169","3,978","4,995","5,133","3,770","4,185","4,300"
Fixed Assets +,"1,934","2,049","2,410","2,502","2,591","2,664","2,675","2,474","1,731","1,842","1,844","1,821"
CWIP,7,37,26,74,117,122,81,213,109,55,256,450
Investments,2,15,9,10,12,9,15,17,380,420,651,"1,042"
Other Assets +,909,848,"1,059","1,043","1,275","1,375","1,207","2,292","2,914","1,453","1,435",987
Total Assets,"2,851","2,949","3,504","3,628","3,995","4,169","3,978","4,995","5,133","3,770","4,185","4,300"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,416,509,458,590,530,624,621,643,856,797,638,687
Cash from Investing Activity +,-127,-249,-375,-279,-271,-206,-109,-337,-409,-534,-358,-291
Cash from Financing Activity +,-296,-252,-113,-308,-258,-339,-569,-98,-530,-338,-230,-451
Net Cash Flow,-8,8,-30,2,1,80,-57,209,-83,-75,50,-55
Free Cash Flow,284,258,82,308,257,418,510,306,506,691,336,424
CFO/OP,91%,96%,83%,109%,82%,101%,120%,116%,86%,116%,98%,124%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,38,26,36,29,32,30,33,27,18,19,24,21
Inventory Days,193,194,187,182,199,198,245,294,177,185,217,199
Days Payable,155,110,107,109,106,102,121,107,53,55,57,94
Cash Conversion Cycle,76,110,117,101,125,126,158,214,142,149,183,126
Working Capital Days,-39,-48,-30,-12,10,26,61,87,50,50,58,43
ROCE %,22%,25%,24%,19%,21%,19%,15%,19%,36%,21%,24%,17%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,19.06%,19.06%,19.03%,19.04%,19.03%,19.03%,19.03%,19.03%,18.97%,18.97%,19.83%,19.87%
FIIs +,26.04%,25.27%,24.66%,24.99%,24.76%,25.70%,25.41%,26.06%,26.41%,25.67%,25.22%,24.66%
