--- ABOUT ---
"GlaxoSmithKline Pharmaceuticals research, manufacture and make available a broad range of medicines and vaccines that benefit people.(Source : Company Web-site)"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"39,505","2,332","3,500",41.1

Book Value,Dividend Yield,ROCE,ROE
134,2.44,61.4,45.6

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,787,762,957,805,930,815,"1,011",949,974,805,980,"1,041",995
Expenses +,618,618,668,587,673,584,689,658,641,554,644,670,644
Operating Profit,170,144,289,218,257,231,322,292,333,251,336,371,351
OPM %,22%,19%,30%,27%,28%,28%,32%,31%,34%,31%,34%,36%,35%
Other Income +,38,54,28,-135,32,36,39,35,41,44,36,50,36
Interest,1,0,0,0,1,0,0,0,1,0,1,1,1
Depreciation,17,16,18,17,18,16,17,19,15,16,17,20,13
Profit before tax,190,181,299,65,271,249,344,308,359,279,354,400,373
Tax %,30%,27%,27%,30%,28%,27%,27%,25%,27%,27%,27%,26%,26%
Net Profit +,133,132,218,46,194,182,252,230,263,205,257,296,278
EPS in Rs,7.88,7.81,12.84,2.70,11.48,10.76,14.91,13.57,15.52,12.10,15.20,17.45,16.40
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015 15m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,305","2,838","2,908","2,871","3,128","3,224","2,926","3,278","3,252","3,454","3,749","3,822"
Expenses +,"2,672","2,360","2,489","2,363","2,527","2,567","2,327","2,516","2,447","2,545","2,570","2,512"
Operating Profit,633,478,420,508,601,657,598,762,804,909,"1,179","1,309"
OPM %,19%,17%,14%,18%,19%,20%,20%,23%,25%,26%,31%,34%
Other Income +,149,125,119,70,131,-262,9,"1,401",103,-21,149,166
Interest,0,0,0,0,1,6,4,2,2,2,1,3
Depreciation,25,25,27,38,49,83,79,68,66,70,67,66
Profit before tax,756,578,511,540,683,306,525,"2,093",839,816,"1,260","1,406"
Tax %,37%,35%,34%,35%,35%,70%,32%,19%,27%,28%,26%,26%
Net Profit +,476,376,337,351,445,93,358,"1,695",611,590,928,"1,036"
EPS in Rs,28.12,22.20,19.88,20.70,26.29,5.50,21.14,100.04,36.05,34.83,54.75,61.15
Dividend Payout %,111%,113%,75%,85%,76%,727%,142%,90%,89%,92%,99%,93%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,85,85,85,85,169,169,169,169,169,169,169,169
Reserves,"1,744","2,099","1,922","1,973","1,970","1,651","1,309","2,494","1,572","1,608","1,782","2,098"
Borrowings +,3,2,2,1,1,0,35,20,16,19,10,33
Other Liabilities +,"1,384",869,995,"1,889","1,771","1,315","1,602","1,950","1,570","1,760","2,147","2,023"
Total Liabilities,"3,216","3,055","3,004","3,947","3,911","3,136","3,115","4,633","3,327","3,557","4,108","4,324"
Fixed Assets +,123,204,258,325,432,758,387,331,330,321,284,281
CWIP,115,268,605,923,"1,003",120,13,30,20,14,14,33
Investments,0,6,0,0,0,0,0,366,518,813,"1,118","1,392"
Other Assets +,"2,977","2,577","2,140","2,700","2,477","2,257","2,715","3,907","2,458","2,408","2,692","2,618"
Total Assets,"3,216","3,055","3,004","3,947","3,911","3,136","3,115","4,633","3,327","3,557","4,108","4,324"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,338,139,234,473,409,490,578,811,484,582,"1,290",903
Cash from Investing Activity +,180,499,301,-104,-153,-57,418,-406,808,9,-46,397
Cash from Financing Activity +,-497,-638,-511,-307,-358,-428,-696,-524,"-1,543",-562,-769,-737
Net Cash Flow,21,-0,24,62,-102,6,300,-119,-251,29,475,563
Free Cash Flow,175,-69,-24,639,166,336,536,"2,371",451,573,"1,273",870
CFO/OP,93%,72%,94%,133%,101%,103%,121%,122%,93%,92%,116%,93%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,11,16,21,19,14,11,27,23,22,23,28,26
Inventory Days,91,156,111,147,131,135,159,144,131,144,126,124
Days Payable,74,97,73,149,109,100,135,156,122,171,186,154
Cash Conversion Cycle,27,75,60,17,36,46,50,11,31,-4,-31,-4
Working Capital Days,-48,26,7,-90,-72,-38,-39,-94,-57,-64,-99,-91
ROCE %,42%,29%,22%,26%,31%,33%,38%,37%,36%,51%,63%,61%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,2.41%,2.50%,2.93%,3.48%,4.02%,4.36%,4.50%,4.52%,4.89%,4.79%,4.63%,4.62%
DIIs +,10.25%,10.01%,8.64%,7.90%,7.51%,7.34%,7.30%,7.79%,7.71%,7.75%,7.70%,7.68%
Government +,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,12.35%,12.48%,13.42%,13.62%,13.48%,13.30%,13.21%,12.69%,12.41%,12.45%,12.67%,12.69%
No. of Shareholders,"1,19,032","1,15,268","1,14,663","1,18,994","1,18,515","1,19,228","1,19,625","1,21,885","1,23,629","1,22,904","1,22,460","1,21,763"

--- CAGR BOXES ---




