--- ABOUT ---
"Incorporated in 2011, Global Education Ltd is an educational service and consultancy provider [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
547,107,122,20.6

Book Value,Dividend Yield,ROCE,ROE
25.8,1.40,29.2,22.0

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,21.98,14.68,23.25,18.50,18.44,14.48,24.63,16.70,16.48,14.83,25.92,29.00,24.14
Expenses +,7.13,5.39,8.81,6.51,10.68,6.68,10.94,10.46,9.96,8.80,17.32,19.17,12.79
Operating Profit,14.85,9.29,14.44,11.99,7.76,7.80,13.69,6.24,6.52,6.03,8.60,9.83,11.35
OPM %,67.56%,63.28%,62.11%,64.81%,42.08%,53.87%,55.58%,37.37%,39.56%,40.66%,33.18%,33.90%,47.02%
Other Income +,0.55,2.46,0.88,1.59,0.76,1.96,1.03,2.64,0.68,0.55,2.52,0.31,0.50
Interest,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,2.26,1.00,1.05,1.11,1.17,0.68,0.69,0.74,1.48,0.98,1.14,1.20,1.16
Profit before tax,13.14,10.74,14.27,12.47,7.35,9.08,14.03,8.14,5.72,5.60,9.98,8.94,10.69
Tax %,24.96%,20.58%,23.34%,26.62%,28.57%,22.25%,24.02%,25.55%,25.17%,24.82%,26.05%,25.39%,23.11%
Net Profit +,9.84,8.54,10.93,9.15,5.25,7.07,10.65,6.06,4.27,4.22,7.38,6.68,8.22
EPS in Rs,1.94,1.68,2.15,1.80,1.05,1.39,2.10,1.20,0.83,0.83,1.45,1.31,1.62
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,32,30,26,39,62,74,72,94
Expenses +,21,20,15,23,28,30,37,58
Operating Profit,10,10,11,17,34,44,35,36
OPM %,33%,34%,42%,42%,55%,59%,48%,38%
Other Income +,2,2,2,2,2,5,6,4
Interest,0,0,0,0,0,0,0,0
Depreciation,2,3,3,4,6,4,4,4
Profit before tax,10,9,11,15,30,45,37,35
Tax %,30%,28%,26%,26%,26%,25%,24%,25%
Net Profit +,7,7,8,11,23,34,28,26
EPS in Rs,1.36,1.30,1.55,2.13,4.44,6.65,5.54,5.21
Dividend Payout %,9%,24%,13%,28%,23%,30%,27%,10%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,2,10,10,10,10,10
Reserves,23,28,35,37,55,79,100,121
Borrowings +,0,0,0,0,0,0,0,0
Other Liabilities +,4,4,4,6,9,9,6,9
Total Liabilities,29,35,41,52,74,98,116,140
Fixed Assets +,3,4,3,16,13,12,14,18
CWIP,0,0,0,0,0,1,2,0
Investments,0,5,5,0,19,26,43,62
Other Assets +,26,26,34,36,41,59,58,60
Total Assets,29,35,41,52,74,98,116,140

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,2,-3,-1,21,26,22,24,18
Cash from Investing Activity +,4,-7,2,-14,-16,-13,-20,-13
Cash from Financing Activity +,-2,-2,-1,-4,-4,-10,-7,-5
Net Cash Flow,4,-11,-1,3,6,-1,-3,-1
Free Cash Flow,1,-6,-3,1,21,18,18,11
CFO/OP,49%,1%,13%,149%,99%,76%,94%,74%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,71,78,227,102,84,131,144,164
Inventory Days,4,12,74,121,23,31,45,34
Days Payable,68,105,323,606,187,108,56,62
Cash Conversion Cycle,6,-14,-22,-383,-79,54,132,136
Working Capital Days,99,239,397,231,125,196,223,170
ROCE %,,35%,33%,,54%,58%,37%,29%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.16%,73.16%,70.94%,70.94%,70.94%,70.94%,71.24%,71.73%,72.00%,72.00%,72.50%,72.73%
FIIs +,0.07%,0.07%,0.14%,0.07%,0.07%,0.00%,0.00%,0.08%,0.00%,0.03%,0.45%,0.40%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.06%
Public +,26.77%,26.77%,28.92%,28.99%,29.00%,29.06%,28.76%,28.18%,28.00%,27.97%,26.99%,26.81%
No. of Shareholders,"14,144","14,224","19,179","20,638","20,349","20,390","23,408","25,032","24,081","22,554","19,760","17,712"

--- CAGR BOXES ---




