--- ABOUT ---
"Gujarat Mineral Development Corporation is primarily engaged in 2 sectors i.e. mining and power. [1] Its projects include Lignite, Bauxite, Fluorspar, Multi-Metal, Manganese, Power, Wind and Solar. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"19,490",613,772 / 375,34.7

Book Value,Dividend Yield,ROCE,ROE
222,1.65,10.8,8.34

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,948,766,383,564,750,818,593,653,786,733,528,579,814
Expenses +,559,519,332,444,562,607,453,562,593,563,458,478,710
Operating Profit,390,247,51,121,189,211,140,92,194,169,69,101,104
OPM %,41%,32%,13%,21%,25%,26%,24%,14%,25%,23%,13%,17%,13%
Other Income +,238,64,77,60,72,60,62,114,118,78,583,101,185
Interest,-0,1,1,1,1,1,1,1,0,1,1,1,5
Depreciation,21,19,18,20,22,21,21,26,27,22,22,22,49
Profit before tax,608,291,109,160,238,249,181,179,285,224,629,179,235
Tax %,27%,25%,32%,27%,21%,26%,29%,18%,21%,27%,26%,26%,17%
Net Profit +,442,219,75,117,187,184,128,148,226,164,466,133,194
EPS in Rs,13.90,6.88,2.35,3.67,5.89,5.79,4.02,4.64,7.11,5.15,14.65,4.18,6.10
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,434","1,179","1,537","2,051","1,880","1,449","1,329","2,732","3,498","2,463","2,851","2,653"
Expenses +,909,890,"1,119","1,583","1,324","1,323","1,335","2,011","2,161","1,853","2,213","2,210"
Operating Profit,525,289,418,468,556,126,-6,721,"1,337",609,637,443
OPM %,37%,24%,27%,23%,30%,9%,-0%,26%,38%,25%,22%,17%
Other Income +,253,156,181,121,-70,173,-241,158,396,271,355,947
Interest,2,1,1,2,2,2,2,3,2,3,2,7
Depreciation,138,131,151,119,96,92,94,98,81,80,95,115
Profit before tax,637,313,447,469,388,205,-343,778,"1,649",798,895,"1,268"
Tax %,21%,30%,27%,26%,43%,28%,-90%,43%,27%,25%,23%,25%
Net Profit +,501,219,325,347,220,146,-36,446,"1,204",597,686,957
EPS in Rs,15.75,6.89,10.22,10.90,6.91,4.61,-1.12,14.02,37.88,18.78,21.57,30.08
Dividend Payout %,19%,44%,29%,32%,29%,43%,-18%,31%,30%,51%,47%,32%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,64,64,64,64,64,64,64,64,64,64,64,64
Reserves,"3,180","3,633","3,937","4,288","4,254","4,032","4,003","4,758","5,722","6,036","6,348","7,009"
Borrowings +,679,0,0,0,0,0,1,1,2,3,126,317
Other Liabilities +,"1,045","1,012","1,120","1,044",894,967,905,"1,064","1,166","1,266","1,214","1,594"
Total Liabilities,"4,966","4,709","5,121","5,395","5,211","5,063","4,973","5,886","6,953","7,369","7,752","8,983"
Fixed Assets +,"1,771","1,719","2,075","2,147","2,131","2,058","1,585","1,510","1,454","1,551","1,553","3,039"
CWIP,958,31,21,11,1,4,6,23,28,292,741,215
Investments,121,644,657,782,429,264,299,596,491,566,484,464
Other Assets +,"2,117","2,314","2,368","2,456","2,651","2,737","3,083","3,756","4,979","4,960","4,974","5,265"
Total Assets,"4,966","4,709","5,121","5,395","5,211","5,063","4,973","5,886","6,953","7,369","7,752","8,983"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,101,204,452,241,142,1,147,481,933,110,"1,059",744
Cash from Investing Activity +,-13,-67,-350,-138,23,84,87,-674,-787,254,-808,-613
Cash from Financing Activity +,-111,-115,-115,-97,-134,-77,-63,-7,-137,-365,-183,-154
Net Cash Flow,-23,22,-13,6,31,8,170,-199,8,-0,68,-23
Free Cash Flow,27,205,-6,35,72,-9,135,443,908,-366,424,-289
CFO/OP,61%,126%,140%,95%,61%,127%,-292%,98%,103%,56%,135%,202%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,21,30,28,20,29,35,40,27,19,15,11,10
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,21,30,28,20,29,35,40,27,19,15,11,10
Working Capital Days,240,356,228,178,228,271,290,153,147,228,177,263
ROCE %,16%,8%,12%,11%,14%,5%,1%,18%,31%,13%,14%,11%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.00%,74.00%,74.00%,74.00%,74.00%,74.00%,74.00%,74.00%,74.00%,74.00%,74.00%,74.00%
FIIs +,3.08%,1.89%,1.76%,1.82%,1.60%,1.68%,1.94%,2.15%,2.25%,3.32%,2.30%,3.76%
DIIs +,1.51%,1.00%,0.89%,0.75%,1.00%,0.78%,0.75%,0.76%,0.79%,0.76%,0.86%,0.94%
Government +,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,21.41%,23.09%,23.34%,23.43%,23.36%,23.54%,23.33%,23.10%,22.97%,21.92%,22.84%,21.31%
No. of Shareholders,"1,31,640","1,56,002","1,79,043","2,29,463","2,41,725","2,52,024","2,51,813","2,50,538","2,27,850","2,24,558","2,37,220","2,41,551"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,8%
5 Years:,15%
3 Years:,-9%
TTM:,-7%

Compounded Profit Growth
10 Years:,10%
5 Years:,8%
3 Years:,-22%
TTM:,-17%

Stock Price CAGR
10 Years:,24%
5 Years:,52%
3 Years:,54%
1 Year:,57%

Return on Equity
10 Years:,10%
5 Years:,12%
3 Years:,10%
Last Year:,8%

