--- ABOUT ---
"GNA Axles is engaged in the Business of manufacturing auto components for the four-wheeler industry, primary product being Rear Axles, Shafts, Spindles & other Automobiles Components for sale in domestic and foreign market."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,774",413,471,15.2

Book Value,Dividend Yield,ROCE,ROE
234,0.73,14.3,12.2

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,384,374,404,357,371,400,388,375,378,344,348,375,411
Expenses +,324,315,349,310,335,345,335,323,327,294,287,306,354
Operating Profit,59,59,55,47,36,55,53,52,50,50,61,69,57
OPM %,15%,16%,14%,13%,10%,14%,14%,14%,13%,15%,18%,18%,14%
Other Income +,0,1,1,0,0,1,1,1,1,1,0,1,0
Interest,2,3,3,2,3,4,2,4,3,4,3,4,3
Depreciation,12,12,15,13,13,14,14,15,14,16,16,19,19
Profit before tax,45,45,37,32,20,38,38,35,34,31,42,47,37
Tax %,25%,26%,26%,30%,18%,26%,24%,27%,26%,27%,26%,33%,16%
Net Profit +,34,33,28,22,17,28,29,25,25,23,31,32,31
EPS in Rs,7.93,7.72,6.43,5.23,3.90,6.47,6.65,5.91,5.93,5.36,7.27,7.44,7.18
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,509,513,670,928,909,890,"1,270","1,583","1,506","1,540","1,478"
Expenses +,426,433,567,783,784,746,"1,090","1,350","1,309","1,329","1,240"
Operating Profit,82,80,103,145,124,144,181,233,197,211,238
OPM %,16%,16%,15%,16%,14%,16%,14%,15%,13%,14%,16%
Other Income +,0,3,3,0,1,2,1,1,2,3,3
Interest,16,13,7,8,14,9,11,11,12,12,13
Depreciation,27,24,25,35,42,41,50,49,53,57,70
Profit before tax,39,47,74,103,70,96,121,175,135,144,158
Tax %,34%,37%,31%,36%,24%,26%,26%,25%,26%,26%,26%
Net Profit +,26,30,51,66,53,71,89,130,100,107,117
EPS in Rs,8.56,6.89,11.86,15.35,12.29,16.46,20.69,30.35,23.28,24.94,27.24
Dividend Payout %,0%,0%,8%,9%,0%,15%,12%,10%,9%,12%,11%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,21,21,21,21,21,21,21,43,43,43
Reserves,123,275,320,380,425,496,574,693,759,857,961
Borrowings +,139,117,142,170,194,197,222,203,213,259,218
Other Liabilities +,170,163,199,211,180,245,225,253,204,206,298
Total Liabilities,447,577,682,782,821,960,"1,042","1,171","1,219","1,365","1,520"
Fixed Assets +,147,132,191,229,244,295,291,306,344,406,459
CWIP,0,3,0,16,61,0,0,12,8,0,35
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,299,443,492,538,515,665,751,853,866,959,"1,027"
Total Assets,447,577,682,782,821,960,"1,042","1,171","1,219","1,365","1,520"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,74,-90,60,72,119,33,41,105,98,92,214
Cash from Investing Activity +,-16,-8,-78,-88,-123,-28,-46,-66,-86,-111,-155
Cash from Financing Activity +,-58,98,19,16,4,-5,4,-39,-13,26,-66
Net Cash Flow,-0,-0,0,-0,-0,0,-0,0,-0,7,-7
Free Cash Flow,60,-101,-22,-16,15,3,-4,30,10,-18,56
CFO/OP,107%,-88%,81%,75%,112%,41%,41%,65%,68%,62%,107%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,116,130,128,123,119,180,136,129,138,151,151
Inventory Days,105,126,132,96,90,100,82,75,84,80,117
Days Payable,177,174,157,113,102,150,88,89,77,76,129
Cash Conversion Cycle,44,82,103,107,106,130,130,115,145,155,139
Working Capital Days,13,51,67,78,83,106,89,85,102,122,133
ROCE %,,17%,18%,21%,14%,15%,17%,21%,15%,14%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,68.15%,68.15%,68.15%,68.16%,68.16%,67.81%,67.89%,68.83%,68.95%,68.95%,68.58%,68.43%
FIIs +,1.05%,1.12%,0.37%,0.20%,0.28%,0.61%,0.48%,0.41%,0.56%,0.32%,0.35%,1.27%
DIIs +,11.32%,10.83%,10.95%,11.01%,11.23%,11.77%,12.42%,11.31%,11.32%,11.38%,11.42%,11.00%
Public +,19.48%,19.90%,20.54%,20.63%,20.32%,19.82%,19.21%,19.45%,19.17%,19.34%,19.64%,19.29%
No. of Shareholders,"36,170","45,728","49,424","50,805","50,100","48,620","47,945","48,139","46,814","46,289","45,285","40,050"

--- CAGR BOXES ---




