--- ABOUT ---
"Incorporated in 2010, Go Fashion Limited (GFIL) is one of the largest women's bottom-wear brands in India. The company is engaged in the development, design, sourcing, marketing, and retailing of a range of women's bottom-wear products under the brand, 'Go Colors' . The company offers one of the widest portfolios of bottom-wear products among women's apparel retailers in terms of colors and styles. As of May 31, 2021, Go Colors sold bottom-wear in over 50 styles in more than 120 colors. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,912",354,925,108

Book Value,Dividend Yield,ROCE,ROE
,0.00,22.7,19.3

Face Value
10.0

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018
Sales +,68,119,190
Expenses +,70,106,157
Operating Profit,-2,13,33
OPM %,-3%,11%,18%
Other Income +,1,1,1
Interest,0,1,2
Depreciation,1,2,4
Profit before tax,-2,10,29
Tax %,0%,51%,38%
Net Profit +,-2,5,18
EPS in Rs,-3.94,5.07,17.71
Dividend Payout %,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018
Equity Capital,5,10,10
Reserves,35,35,129
Borrowings +,25,32,52
Other Liabilities +,7,12,15
Total Liabilities,72,89,205
Fixed Assets +,9,19,26
CWIP,0,1,2
Investments,0,0,74
Other Assets +,63,69,103
Total Assets,72,89,205

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018
Cash from Operating Activity +,-21,3,-8
Cash from Investing Activity +,16,-12,-86
Cash from Financing Activity +,16,-0,99
Net Cash Flow,11,-9,5
Free Cash Flow,-21,3,-8
CFO/OP,"1,105%",48%,12%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018
Debtor Days,75,67,54
Inventory Days,389,247,257
Days Payable,79,53,49
Cash Conversion Cycle,384,261,262
Working Capital Days,203,119,120
ROCE %,,16%,23%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,52.78%,52.78%,52.78%,52.78%,52.78%,52.78%,52.78%,52.78%,52.78%,52.78%,52.78%,54.20%
FIIs +,11.02%,11.00%,12.05%,12.15%,12.69%,11.79%,11.97%,11.70%,9.68%,8.60%,7.51%,4.41%
DIIs +,31.99%,32.07%,31.02%,31.87%,31.44%,32.82%,32.86%,33.26%,34.57%,35.00%,32.83%,28.43%
Public +,4.20%,4.15%,4.14%,3.19%,3.08%,2.62%,2.39%,2.25%,2.97%,3.61%,6.89%,12.97%
No. of Shareholders,"33,136","30,556","30,048","26,459","27,285","24,238","24,201","25,179","29,485","29,433","31,325","34,748"

--- CAGR BOXES ---




