--- ABOUT ---
"Godrej Properties Limited (GPL) is the real estate development arm of the Godrej Group, which was started in 1897 and is today one of India’s most successful conglomerates. Godrej Properties brings the Godrej Group philosophy of innovation, sustainability, and excellence to the real estate industry. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"54,097","1,796","2,451 / 1,434",29.0

Book Value,Dividend Yield,ROCE,ROE
636,0.56,8.28,10.2

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,646",936,343,330,"1,426",739,"1,093",969,"2,122",435,740,498,"3,458"
Expenses +,"1,300","1,085",438,397,"1,303",926,"1,064",960,"2,047",705,"1,336",695,"2,936"
Operating Profit,346,-149,-95,-66,123,-187,29,9,75,-270,-596,-197,522
OPM %,21%,-16%,-28%,-20%,9%,-25%,3%,1%,4%,-62%,-80%,-40%,15%
Other Income +,284,379,262,218,526,960,253,271,559,"1,186","1,210",514,434
Interest,54,30,48,43,31,41,45,42,46,33,22,31,52
Depreciation,7,7,7,14,16,17,18,18,21,22,26,32,36
Profit before tax,570,193,111,95,601,716,219,220,567,861,566,255,869
Tax %,20%,31%,35%,34%,20%,28%,-52%,28%,33%,30%,29%,24%,26%
Net Profit +,454,134,73,63,478,519,334,158,378,598,403,194,645
EPS in Rs,14.82,4.49,2.40,2.24,16.95,18.70,12.06,5.40,12.68,19.92,13.45,6.48,21.58
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,843","2,123","1,583","1,604","2,817","2,441",765,"1,825","2,252","3,036","4,923","5,131"
Expenses +,"1,586","1,986","1,330","1,819","2,639","2,181","1,214","1,880","2,045","3,165","4,997","5,585"
Operating Profit,257,137,253,-216,178,260,-449,-56,207,-130,-74,-453
OPM %,14%,6%,16%,-13%,6%,11%,-59%,-3%,9%,-4%,-2%,-9%
Other Income +,83,146,150,499,419,473,568,761,787,"1,326","2,044","3,256"
Interest,5,41,104,150,234,220,185,167,174,152,174,137
Depreciation,10,14,14,16,14,21,20,21,24,45,74,116
Profit before tax,326,228,284,117,348,493,-86,516,795,"1,000","1,723","2,551"
Tax %,28%,30%,27%,26%,27%,44%,121%,32%,22%,25%,19%,28%
Net Profit +,236,160,207,87,253,274,-189,351,621,747,"1,389","1,841"
EPS in Rs,9.58,7.33,9.56,4.01,11.04,10.73,-6.82,12.68,20.55,26.08,46.48,61.43
Dividend Payout %,21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,100,108,108,108,115,126,139,139,139,139,151,151
Reserves,"1,747","1,657","1,896","1,102","2,354","4,678","8,181","8,536","9,125","9,853","17,162","19,005"
Borrowings +,"3,486","3,123","3,980","3,703","3,516","3,715","4,542","5,196","6,431","10,679","12,641","15,894"
Other Liabilities +,"2,030","1,691","1,197","3,358","2,107","1,586","3,385","3,932","7,410","15,063","25,496","46,845"
Total Liabilities,"7,363","6,578","7,181","8,271","8,092","10,106","16,247","17,804","23,105","35,735","55,450","81,894"
Fixed Assets +,117,107,102,113,97,113,174,183,218,997,"1,271","1,711"
CWIP,73,1,0,71,100,163,229,340,653,250,116,169
Investments,0,664,760,"1,454","2,637","3,571","5,243","4,883","2,534","3,150","5,951","5,511"
Other Assets +,"7,173","5,807","6,319","6,633","5,259","6,259","10,600","12,397","19,700","31,337","48,112","74,503"
Total Assets,"7,363","6,578","7,181","8,271","8,092","10,106","16,247","17,804","23,105","35,735","55,450","81,894"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
