--- ABOUT ---
"Established in 1990, [1] Greenply Industries Limited is amongst the leading plywood manufacturers in India with a 26% share of the organized market. Greenply offers a wide range of panel products including plywood, block boards, decorative veneers, doors, and film-faced plywood, among others. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,643",292,352,36.4

Book Value,Dividend Yield,ROCE,ROE
71.6,0.17,14.3,11.7

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,427,430,568,582,600,584,640,614,649,601,689,673,776
Expenses +,399,404,519,532,543,531,587,564,602,548,638,622,690
Operating Profit,28,27,48,50,57,53,53,51,46,52,51,51,87
OPM %,7%,6%,8%,9%,10%,9%,8%,8%,7%,9%,7%,8%,11%
Other Income +,4,-3,-2,16,4,6,2,3,6,18,2,-3,-13
Interest,3,8,12,15,9,10,14,5,13,19,13,10,13
Depreciation,8,11,14,15,15,15,15,15,15,15,16,17,17
Profit before tax,22,5,21,37,38,34,26,33,24,36,23,22,44
Tax %,50%,82%,33%,26%,25%,2%,32%,27%,32%,21%,31%,35%,29%
Net Profit +,11,1,14,27,28,33,18,24,17,28,16,14,31
EPS in Rs,0.90,0.07,1.13,2.17,2.29,2.67,1.42,1.96,1.32,2.28,1.28,1.15,2.46
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,567","1,646","1,668",912,"1,412","1,420","1,165","1,563","1,663","2,180","2,488","2,739"
Expenses +,"1,355","1,403","1,421",848,"1,266","1,265","1,050","1,413","1,530","1,994","2,284","2,498"
Operating Profit,211,243,247,64,146,156,115,150,133,185,204,241
OPM %,13%,15%,15%,7%,10%,11%,10%,10%,8%,9%,8%,9%
Other Income +,15,7,4,86,6,-48,6,12,12,12,16,4
Interest,38,31,19,8,19,21,17,12,9,43,43,55
Depreciation,47,50,51,18,22,26,23,26,26,55,60,65
Profit before tax,141,170,181,124,111,61,81,125,111,100,117,125
Tax %,12%,24%,31%,11%,28%,22%,25%,24%,17%,30%,22%,28%
Net Profit +,124,128,125,111,80,47,61,95,91,70,92,90
EPS in Rs,10.31,10.63,10.23,9.02,6.50,3.85,4.97,7.73,7.44,5.66,7.34,7.17
Dividend Payout %,6%,6%,6%,7%,6%,10%,8%,6%,7%,9%,7%,7%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,12,12,12,12,12,12,12,12,12,12,12,12
Reserves,474,602,760,865,323,366,424,526,632,697,796,882
Borrowings +,332,270,446,712,250,279,203,309,695,549,515,515
Other Liabilities +,331,316,356,521,302,305,275,311,341,405,627,552
Total Liabilities,"1,149","1,200","1,575","2,111",887,962,915,"1,159","1,680","1,663","1,951","1,962"
Fixed Assets +,533,542,526,580,252,314,308,353,459,865,857,907
CWIP,14,9,269,770,17,5,6,110,513,12,44,50
Investments,35,29,26,18,22,24,23,26,6,43,67,55
Other Assets +,567,620,754,742,596,619,578,671,702,742,983,950
Total Assets,"1,149","1,200","1,575","2,111",887,962,915,"1,159","1,680","1,663","1,951","1,962"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,187,191,212,113,98,58,228,92,62,111,219,247
Cash from Investing Activity +,-105,-63,-363,-328,-89,-58,-124,-130,-410,-144,-147,-152
Cash from Financing Activity +,-82,-100,190,164,-28,-19,-92,80,318,47,-83,-78
Net Cash Flow,1,28,39,-50,-19,-20,12,42,-30,14,-11,16
Free Cash Flow,102,122,-158,-216,14,2,210,-138,-350,-21,145,91
CFO/OP,102%,94%,102%,246%,84%,55%,211%,82%,49%,80%,122%,116%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,60,74,65,114,79,92,61,44,50,42,47,54
Inventory Days,76,55,65,150,72,77,96,88,98,96,127,82
Days Payable,92,99,86,142,99,101,109,84,86,92,132,101
Cash Conversion Cycle,45,30,45,122,52,68,47,47,63,46,43,35
Working Capital Days,17,24,10,-0,13,15,7,4,29,22,23,22
ROCE %,15%,24%,19%,10%,12%,21%,15%,18%,11%,11%,12%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,52.14%,52.12%,51.97%,52.00%,52.01%,52.01%,51.66%,51.69%,51.69%,51.69%,51.80%,51.90%
FIIs +,2.15%,2.07%,4.10%,4.13%,4.91%,5.60%,5.76%,5.42%,4.52%,4.49%,4.35%,4.19%
DIIs +,32.41%,32.39%,29.76%,30.31%,30.33%,30.66%,30.91%,31.05%,32.41%,32.41%,32.12%,31.83%
Public +,13.29%,13.41%,14.16%,13.54%,12.75%,11.73%,11.69%,11.85%,11.38%,11.42%,11.74%,12.10%
No. of Shareholders,"47,710","49,204","46,179","51,375","48,073","54,007","52,918","53,465","53,182","52,563","52,376","53,767"

--- CAGR BOXES ---




