--- ABOUT ---
"Established in 2006, GTPL Hathway Limited is India’s largest MSO providing Digital Cable TV services and is one of the largest Private Wireline Broadband service provider in India. The Company is the largest Digital Cable TV and Wireline Broadband Service Provider in Gujarat & is a leading Digital Cable TV Service provider in West Bengal. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
723,64.3,127,45.0

Book Value,Dividend Yield,ROCE,ROE
102,3.11,3.37,1.39

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,692,774,779,851,808,843,856,887,891,904,959,933,924
Expenses +,591,655,655,730,695,730,748,782,786,797,855,819,843
Operating Profit,101,120,124,121,113,113,107,105,105,107,104,113,80
OPM %,15%,15%,16%,14%,14%,13%,13%,12%,12%,12%,11%,12%,9%
Other Income +,-10,6,11,10,7,7,7,9,8,5,6,6,10
Interest,3,4,5,6,7,7,6,9,8,9,9,10,11
Depreciation,100,74,82,91,90,92,90,93,94,91,91,94,100
Profit before tax,-11,48,48,33,22,22,18,13,11,12,11,15,-20
Tax %,-4%,26%,25%,26%,26%,31%,24%,27%,3%,40%,31%,24%,-32%
Net Profit +,-11,35,36,25,16,15,14,10,11,7,7,12,-14
EPS in Rs,-1.04,3.19,3.04,2.11,1.17,1.27,1.14,0.90,0.95,0.94,0.82,0.98,-1.34
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,623,736,908,"1,091","1,246","2,384","2,467","2,414","2,664","3,212","3,477","3,719"
Expenses +,474,583,697,797,905,"1,921","1,947","1,881","2,198","2,735","3,045","3,314"
Operating Profit,149,154,211,294,340,464,520,533,466,477,432,405
OPM %,24%,21%,23%,27%,27%,19%,21%,22%,18%,15%,12%,11%
Other Income +,9,8,33,17,-44,-30,51,24,32,34,30,28
Interest,42,47,64,42,51,45,23,14,10,23,30,39
Depreciation,84,107,139,171,202,232,260,253,319,337,369,376
Profit before tax,33,8,41,98,43,158,288,290,169,151,64,18
Tax %,39%,54%,36%,42%,43%,44%,27%,25%,26%,26%,23%,31%
Net Profit +,20,4,26,56,25,88,210,219,125,112,49,12
EPS in Rs,83.50,0.75,4.10,5.43,1.68,6.91,16.73,17.75,10.13,9.51,4.26,1.40
Dividend Payout %,0%,7%,24%,18%,60%,43%,24%,23%,39%,42%,47%,143%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,98,98,112,112,112,112,112,112,112,112,112
Reserves,331,282,289,545,552,616,768,919,991,"1,047","1,051","1,034"
Borrowings +,240,466,546,328,345,223,165,130,149,288,313,502
Other Liabilities +,542,628,776,916,"1,004","1,194","1,273","1,141","1,420","1,571","1,759","1,627"
Total Liabilities,"1,115","1,474","1,709","1,902","2,014","2,145","2,318","2,303","2,672","3,019","3,236","3,276"
Fixed Assets +,696,904,"1,054","1,210","1,214","1,325","1,393","1,507","1,768","2,029","2,058","2,221"
CWIP,11,61,60,38,32,32,71,92,113,88,118,66
