--- ABOUT ---
"Incorporated in 1982, Halder Venture Ltd does trading and export of rice [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
296,238,326 / 177,10.3

Book Value,Dividend Yield,ROCE,ROE
144,0.42,13.5,17.3

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,159,136,121,134,253,166,175,356,147,103,98,145,300
Expenses +,154,131,114,130,236,156,163,336,147,97,108,134,280
Operating Profit,5,6,7,4,17,10,12,20,0,6,-10,11,20
OPM %,3%,4%,6%,3%,7%,6%,7%,6%,0%,6%,-10%,8%,7%
Other Income +,-0,1,0,1,5,2,-0,14,11,9,10,17,9
Interest,3,4,3,5,6,5,6,6,9,8,6,6,7
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,2
Profit before tax,0,2,3,-2,15,6,5,27,1,6,-7,21,20
Tax %,28%,52%,20%,-0%,29%,28%,25%,22%,917%,52%,57%,2%,5%
Net Profit +,0,1,2,-2,10,4,4,21,-8,3,-11,21,19
EPS in Rs,0.19,1.03,2.12,-2.04,10.95,4.20,3.95,22.40,-6.78,2.28,-8.77,16.59,13.02
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,2,4,200,233,258,288,620,884,364,644,844,646
Expenses +,2,4,190,223,247,276,589,852,348,609,801,618
Operating Profit,-0,-0,10,11,11,13,30,31,16,34,44,28
OPM %,-0%,-2%,5%,5%,4%,4%,5%,4%,4%,5%,5%,4%
Other Income +,0,0,2,2,3,3,5,13,5,7,28,45
Interest,-0,-0,5,5,6,7,7,10,9,19,27,27
Depreciation,-0,-0,3,3,3,3,3,3,4,5,5,6
Profit before tax,0,0,4,4,5,6,26,32,8,17,39,40
Tax %,-0%,50%,34%,33%,27%,25%,29%,29%,26%,32%,46%,21%
Net Profit +,-0,0,3,3,3,5,18,23,6,12,21,32
EPS in Rs,-0.00,0.01,2.88,2.96,3.53,4.87,19.40,23.75,6.24,12.28,16.98,23.11
Dividend Payout %,,-0%,-0%,-0%,-0%,-0%,2%,1%,5%,3%,2%,-0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,3,3,3,3,3,3,3,3,3,4,12
Reserves,38,38,42,44,45,47,42,47,49,131,149,167
Borrowings +,0,0,57,72,67,83,192,107,193,238,298,361
Other Liabilities +,0,0,27,46,42,37,60,111,109,71,141,68
Total Liabilities,42,42,130,165,158,169,296,268,354,444,592,608
Fixed Assets +,0,0,30,32,32,29,27,30,51,49,47,123
CWIP,-0,-0,0,0,-0,-0,1,15,-0,2,2,22
Investments,39,39,27,26,26,-0,-0,-0,-0,-0,-0,-0
Other Assets +,3,3,72,107,100,140,268,224,302,393,542,462
Total Assets,42,42,130,165,158,169,296,268,354,444,592,608

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-3,-0,-1,-1,11,-36,-98,115,-71,-2,25,15
Cash from Investing Activity +,-0,-0,4,11,-7,25,-2,-20,-11,-19,-62,-40
Cash from Financing Activity +,3,0,-2,-5,-6,10,102,-92,77,26,34,34
Net Cash Flow,0,-0,0,4,-3,-1,3,3,-4,5,-3,10
Free Cash Flow,-3,-0,-8,-6,8,-37,-99,95,-81,-12,-43,-27
CFO/OP,,456%,-14%,-11%,116%,-287%,-313%,395%,-420%,11%,65%,59%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,52,269,57,57,66,63,85,41,110,107,49,66
Inventory Days,610,-0,69,98,69,117,63,44,211,110,164,184
Days Payable,50,,2,33,0,5,1,17,34,33,59,20
Cash Conversion Cycle,612,269,125,122,134,175,146,68,287,185,154,229
Working Capital Days,520,239,25,20,25,64,40,36,83,39,25,30
ROCE %,0%,0%,11%,7%,8%,9%,15%,16%,6%,11%,16%,13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.68%,65.68%,65.68%,65.68%,65.68%,65.68%,65.68%,73.84%,73.84%,73.84%,73.84%,73.69%
Public +,34.32%,34.31%,34.30%,34.31%,34.31%,34.31%,34.32%,26.16%,26.17%,26.18%,26.17%,26.32%
No. of Shareholders,"1,754","1,761","1,731","1,768","1,480","1,351","1,465","1,605","1,588","3,386","2,833","2,646"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,65%
5 Years:,1%
3 Years:,21%
TTM:,-23%

Compounded Profit Growth
10 Years:,122%
5 Years:,9%
3 Years:,69%
TTM:,35%

Stock Price CAGR
10 Years:,%
5 Years:,33%
3 Years:,38%
1 Year:,11%

Return on Equity
10 Years:,17%
5 Years:,18%
3 Years:,15%
Last Year:,17%

