--- ABOUT ---
"Incorporated in July 1979, Happy Forgings Limited is an Indian manufacturer specializing in designing and manufacturing heavy forgings and high-precision machined components. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"13,826","1,465","1,490",45.8

Book Value,Dividend Yield,ROCE,ROE
226,0.27,18.2,15.2

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,302,330,343,342,343,341,361,354,352,354,377,391,424
Expenses +,217,230,249,247,246,244,256,253,250,253,262,271,291
Operating Profit,86,100,94,95,97,98,105,101,102,101,116,120,133
OPM %,28%,30%,27%,28%,28%,29%,29%,29%,29%,29%,31%,31%,31%
Other Income +,2,3,1,3,7,8,13,7,10,10,6,8,6
Interest,5,3,4,4,1,1,2,2,2,2,2,2,4
Depreciation,14,15,16,17,16,18,20,19,20,21,22,22,25
Profit before tax,68,85,74,78,87,86,97,87,90,89,99,104,111
Tax %,25%,25%,25%,25%,25%,26%,27%,26%,24%,26%,26%,24%,25%
Net Profit +,51,64,55,58,66,64,71,65,68,66,73,79,84
EPS in Rs,5.66,7.16,6.17,6.15,6.98,6.77,7.58,6.85,7.18,6.97,7.79,8.37,8.86
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,585,860,"1,197","1,358","1,409","1,546"
Expenses +,426,629,856,971,"1,002","1,076"
Operating Profit,159,231,341,388,407,471
OPM %,27%,27%,28%,29%,29%,30%
Other Income +,6,6,6,13,37,31
Interest,12,7,12,12,8,10
Depreciation,36,38,54,65,77,89
Profit before tax,117,192,280,324,360,402
Tax %,26%,26%,25%,25%,26%,25%
Net Profit +,86,142,209,243,267,302
EPS in Rs,965.92,15.90,23.32,25.79,28.38,31.97
Dividend Payout %,0%,0%,6%,16%,11%,13%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,18,18,19,19,19
Reserves,636,770,970,"1,594","1,831","2,109"
Borrowings +,153,240,219,143,228,330
Other Liabilities +,76,102,119,130,138,175
Total Liabilities,874,"1,130","1,326","1,886","2,215","2,633"
Fixed Assets +,415,456,678,744,908,"1,116"
CWIP,40,212,75,127,123,229
Investments,0,0,0,0,80,237
Other Assets +,419,461,573,"1,016","1,105","1,050"
Total Assets,874,"1,130","1,326","1,886","2,215","2,633"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,60,80,209,189,292,445
Cash from Investing Activity +,-59,-166,-172,-470,-320,-497
Cash from Financing Activity +,-0,83,-37,281,40,65
Net Cash Flow,1,-3,-0,1,12,13
Free Cash Flow,-32,-111,35,-5,12,-16
CFO/OP,59%,53%,80%,71%,92%,114%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,103,94,94,96,110,93
Inventory Days,176,173,112,137,143,134
Days Payable,55,42,32,34,28,34
Cash Conversion Cycle,225,226,175,199,226,193
Working Capital Days,82,76,71,102,97,133
ROCE %,,22%,26%,23%,19%,18%

--- SHAREHOLDING PATTERN ---
,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,78.60%,78.60%,78.60%,78.60%,78.60%,78.57%,78.54%,78.52%,78.50%,78.48%
FIIs +,2.06%,1.12%,2.24%,2.27%,2.28%,2.19%,2.17%,2.03%,1.84%,1.73%
DIIs +,5.83%,16.92%,16.69%,17.14%,17.06%,17.07%,16.98%,17.02%,16.73%,16.48%
Public +,13.50%,3.35%,2.47%,1.98%,2.05%,2.18%,2.31%,2.45%,2.94%,3.30%
No. of Shareholders,"1,34,839","93,587","74,090","65,376","64,982","64,670","63,790","61,075","61,484","57,815"

--- CAGR BOXES ---




