--- ABOUT ---
"Incorporated in 2017, Hardwyn India Ltd is in the business of wholesale and retail trade of Architectural Hardware and Glass fittings, Kitchen Hardware, Accessories and Appliances [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,230",25.2,28.3,93.1

Book Value,Dividend Yield,ROCE,ROE
8.32,0.00,4.81,3.30

Face Value
1.00

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,36.86,31.94,39.90,44.15,40.93,51.65,46.39,45.64,42.94,50.69,49.08,57.15
Expenses +,35.27,29.67,33.25,38.18,38.49,45.43,39.99,42.66,37.25,43.91,46.06,51.42
Operating Profit,1.59,2.27,6.65,5.97,2.44,6.22,6.40,2.98,5.69,6.78,3.02,5.73
OPM %,4.31%,7.11%,16.67%,13.52%,5.96%,12.04%,13.80%,6.53%,13.25%,13.38%,6.15%,10.03%
Other Income +,0.20,0.08,0.07,0.15,0.03,0.09,0.26,0.39,0.05,0.03,0.14,0.32
Interest,0.16,0.20,0.51,0.30,0.16,0.16,0.59,0.29,0.17,0.20,0.23,0.50
Depreciation,0.07,0.07,0.14,0.94,0.42,0.45,0.44,0.45,0.41,0.46,0.47,0.51
Profit before tax,1.56,2.08,6.07,4.88,1.89,5.70,5.63,2.63,5.16,6.15,2.46,5.04
Tax %,28.85%,28.85%,29.00%,31.56%,29.10%,29.12%,28.95%,29.28%,29.46%,29.27%,27.24%,31.94%
Net Profit +,1.11,1.48,4.31,3.33,1.34,4.04,3.99,1.86,3.63,4.35,1.79,3.43
EPS in Rs,0.02,0.03,0.09,0.07,0.03,0.08,0.08,0.04,0.07,0.09,0.04,0.07
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,164,152,184,200
Expenses +,150,136,166,179
Operating Profit,14,16,18,21
OPM %,8%,11%,10%,11%
Other Income +,1,0,1,1
Interest,1,1,1,1
Depreciation,0,1,2,2
Profit before tax,13,15,16,19
Tax %,29%,30%,29%,30%
Net Profit +,9,10,11,13
EPS in Rs,0.19,0.21,0.23,0.27
Dividend Payout %,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,26,35,49,49
Reserves,346,348,345,357
Borrowings +,5,9,10,6
Other Liabilities +,41,54,62,53
Total Liabilities,418,445,465,466
Fixed Assets +,347,351,350,351
CWIP,0,0,0,0
Investments,0,0,0,0
Other Assets +,71,94,115,115
Total Assets,418,445,465,466

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-1,2,2,7
Cash from Investing Activity +,-0,-6,-1,-3
Cash from Financing Activity +,1,4,-0,-5
Net Cash Flow,0,0,0,0
Free Cash Flow,-1,-3,1,5
CFO/OP,21%,40%,35%,62%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,56,75,85,84
Inventory Days,91,143,140,112
Days Payable,81,113,100,81
Cash Conversion Cycle,66,105,125,115
Working Capital Days,64,84,92,107
ROCE %,,4%,4%,5%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,43.77%,43.77%,43.77%,43.77%,43.77%,43.77%,43.77%,43.77%,43.77%,43.77%,43.77%,43.77%
FIIs +,0.83%,0.46%,0.46%,0.46%,0.46%,0.48%,0.07%,0.91%,0.01%,0.01%,0.63%,0.64%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.46%,0.46%,0.46%,0.46%,0.46%,0.46%
Public +,55.40%,55.78%,55.75%,55.76%,55.77%,55.75%,55.70%,54.86%,55.77%,55.75%,55.13%,55.12%
No. of Shareholders,"18,643","21,331","23,743","32,194","34,480","36,436","59,250","60,240","58,407","55,803","53,048","49,218"

--- CAGR BOXES ---




