--- ABOUT ---
"Incorporated in 1978, Harrison Malayalam Ltd is engaged in plantations of tea and rubber [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
387,210,238,13.3

Book Value,Dividend Yield,ROCE,ROE
96.6,0.00,15.3,17.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,117.92,95.85,121.73,129.55,140.98,97.66,137.30,142.25,136.71,116.46,134.40,141.09,147.13
Expenses +,115.44,96.15,120.70,120.75,140.07,101.92,129.95,128.42,130.14,108.25,135.08,132.32,138.54
Operating Profit,2.48,-0.30,1.03,8.80,0.91,-4.26,7.35,13.83,6.57,8.21,-0.68,8.77,8.59
OPM %,2.10%,-0.31%,0.85%,6.79%,0.65%,-4.36%,5.35%,9.72%,4.81%,7.05%,-0.51%,6.22%,5.84%
Other Income +,2.52,2.22,1.52,2.63,-5.20,3.44,1.71,2.65,4.02,2.79,11.75,3.71,5.59
Interest,3.12,3.02,3.41,3.36,3.35,3.24,3.32,3.58,2.95,3.46,2.97,3.03,3.18
Depreciation,1.43,1.17,1.29,1.39,1.92,1.56,1.63,1.70,2.46,1.58,1.68,1.81,1.89
Profit before tax,0.45,-2.27,-2.15,6.68,-9.56,-5.62,4.11,11.20,5.18,5.96,6.42,7.64,9.11
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit +,0.44,-2.28,-2.15,6.68,-9.56,-5.61,4.11,11.20,5.19,5.96,6.42,7.64,9.11
EPS in Rs,0.24,-1.23,-1.16,3.61,-5.17,-3.03,2.22,6.05,2.81,3.22,3.47,4.13,4.92
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,325,284,365,382,352,385,449,470,485,486,512,539
Expenses +,342,320,352,369,364,362,394,438,457,476,488,514
Operating Profit,-17,-36,13,13,-12,24,55,31,27,10,23,25
OPM %,-5%,-13%,4%,3%,-3%,6%,12%,7%,6%,2%,5%,5%
Other Income +,4,10,10,9,6,6,3,7,7,1,12,24
Interest,14,14,14,13,14,16,14,11,12,13,13,13
Depreciation,7,6,5,4,4,4,4,4,4,6,7,7
Profit before tax,-35,-46,4,4,-24,9,40,23,18,-7,15,29
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,-35,-46,4,4,-24,9,40,23,18,-7,15,29
EPS in Rs,-19.06,-24.69,2.21,2.41,-13.02,5.01,21.85,12.48,9.61,-3.95,8.05,15.75
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,18,18,18,18,18,18,18,18,18,18,18,18
Reserves,268,223,84,85,60,60,97,120,138,125,136,160
Borrowings +,113,112,95,96,121,114,99,89,95,98,103,111
Other Liabilities +,114,148,163,181,173,211,192,193,194,221,215,212
Total Liabilities,513,501,361,381,373,403,407,420,445,463,472,502
Fixed Assets +,428,424,277,277,280,285,285,286,291,298,296,296
CWIP,2,1,8,11,10,13,22,36,58,72,88,104
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,83,76,76,93,83,106,100,98,97,93,88,102
Total Assets,513,501,361,381,373,403,407,420,445,463,472,502

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,10,13,21,20,-7,33,41,38,31,33,23,25
Cash from Investing Activity +,-4,4,4,-7,-6,-9,-11,-14,-27,-22,-16,-18
