--- ABOUT ---
"HDFC Life Insurance Company is engaged in carrying on the business of life insurance. The Company offers a range of individual and group insurance solutions. The portfolio comprises of various insurance and investment products such as Protection, Pension, Savings,(Source : 202003 Annual Report Page No: 175)"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,28,578",592,821,67.2

Book Value,Dividend Yield,ROCE,ROE
82.3,0.35,10.3,11.3

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"20,857","23,371","23,142","26,927","28,041","26,934","28,497","17,300","24,191","29,463","20,651","29,428","19,890"
Expenses +,"21,215","23,045","23,557","26,663","27,766","26,623","28,807","16,852","23,814","29,024","20,336","29,157","19,782"
Operating Profit,-358,326,-415,264,275,311,-310,448,377,439,315,271,108
OPM %,-2%,1%,-2%,1%,1%,1%,-1%,3%,2%,1%,2%,1%,1%
Other Income +,882,114,136,103,174,90,279,-29,124,164,157,174,428
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,525,440,-279,367,450,401,-30,419,500,604,471,445,537
Tax %,31%,5%,-235%,-0%,8%,-20%,"-1,541%",-1%,5%,9%,5%,6%,7%
Net Profit +,362,417,378,368,412,479,435,421,475,548,448,418,497
EPS in Rs,1.68,1.94,1.76,1.71,1.91,2.23,2.02,1.96,2.21,2.54,2.08,1.94,2.31
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"27,215","18,141","30,647","32,260","38,855","29,380","71,528","67,126","70,207","101,482","92,922","99,432"
Expenses +,"26,341","17,187","29,674","31,186","37,640","28,239","70,294","66,348","70,127","100,836","91,894","98,298"
Operating Profit,874,953,972,"1,074","1,215","1,141","1,235",778,80,646,"1,028","1,133"
OPM %,3%,5%,3%,3%,3%,4%,2%,1%,0%,1%,1%,1%
Other Income +,79,108,139,282,136,369,445,766,"1,437",410,366,924
Interest,-14,8,9,11,14,0,0,0,0,0,0,0
Depreciation,43,45,41,44,45,47,51,56,76,79,104,0
Profit before tax,924,"1,008","1,061","1,300","1,291","1,463","1,629","1,487","1,441",977,"1,290","2,057"
Tax %,15%,19%,16%,15%,1%,11%,16%,11%,5%,-61%,-40%,7%
Net Profit +,786,817,887,"1,107","1,278","1,297","1,361","1,327","1,368","1,574","1,811","1,912"
EPS in Rs,3.94,4.09,4.44,5.50,6.33,6.43,6.73,6.28,6.37,7.32,8.41,8.86
Dividend Payout %,18%,22%,25%,25%,26%,0%,30%,27%,30%,27%,25%,24%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,"1,995","1,995","1,998","2,012","2,017","2,019","2,021","2,113","2,149","2,151","2,153","2,158"
Reserves,546,"1,108","1,828","2,693","3,625","4,788","6,619","13,501","10,844","12,515","14,002","15,592"
Borrowings +,0,0,0,0,0,0,600,600,950,950,"2,950","3,099"
Other Liabilities +,"66,767","73,441","91,270","105,778","124,378","125,417","170,415","214,521","234,126","287,071","330,307","369,654"
Total Liabilities,"69,309","76,544","95,097","110,483","130,020","132,224","179,655","230,734","248,069","302,687","349,412","390,502"
Fixed Assets +,346,335,337,336,370,322,585,"6,605",997,"1,549","2,143",746
CWIP,6,12,16,5,10,8,14,20,31,28,109,0
Investments,"67,024","74,144","91,723","106,590","124,958","127,256","173,564","216,551","238,197","291,128","334,756","375,448"
Other Assets +,"1,932","2,053","3,020","3,551","4,682","4,637","5,493","7,559","8,844","9,982","12,404","14,308"
Total Assets,"69,309","76,544","95,097","110,483","130,020","132,224","179,655","230,734","248,069","302,687","349,412","390,502"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"4,459","5,687","6,230","6,739","9,868","7,388","9,703","5,943","6,883","10,721","15,597","22,625"
Cash from Investing Activity +,"-3,514","-3,962","-5,177","-4,421","-10,182","-7,789","-8,952",-801,"-10,071","-13,622","-13,633","-23,871"
Cash from Financing Activity +,-168,-212,-236,-196,-337,38,678,-238,"1,985",-403,"1,607",-275
Net Cash Flow,777,"1,513",817,"2,122",-651,-364,"1,429","4,904","-1,203","-3,304","3,572","-1,521"
Free Cash Flow,"4,352","5,654","6,183","6,706","9,825","7,351","9,643","5,887","6,797","10,587","15,300","22,341"
CFO/OP,510%,597%,641%,627%,813%,672%,806%,789%,"9,190%","1,444%","1,543%","2,014%"

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,0,0,0,0,2,0,0,0,0,0,0,0
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,0,0,0,0,2,0,0,0,0,0,0,0
Working Capital Days,-11,-27,-20,-25,-16,-17,-13,-11,-12,-8,-6,-6
ROCE %,41%,36%,31%,31%,23%,24%,20%,12%,10%,5%,7%,10%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,50.33%,50.39%,50.37%,50.37%,50.37%,50.34%,50.32%,50.32%,50.28%,50.25%,50.21%,50.21%
FIIs +,30.89%,30.53%,31.28%,30.03%,26.63%,25.63%,25.14%,24.96%,24.75%,24.82%,24.27%,22.52%
DIIs +,6.16%,6.87%,6.56%,7.93%,11.24%,13.25%,13.72%,14.10%,14.57%,14.59%,15.23%,17.25%
