--- ABOUT ---
"Incorporated in 1989, Sastasundar Ventures Ltd is in the business of digital network of healthcare and portfolio management services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,006",316,375,524

Book Value,Dividend Yield,ROCE,ROE
201,0.00,-0.05,0.29

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,313,336,358,374,307,270,274,281,286,298,301,346,374
Expenses +,324,327,355,371,317,273,278,305,311,292,324,356,399
Operating Profit,-11,9,3,3,-11,-2,-5,-24,-25,6,-23,-10,-25
OPM %,-4%,3%,1%,1%,-3%,-1%,-2%,-8%,-9%,2%,-8%,-3%,-7%
Other Income +,9,12,10,20,18,29,-167,-14,22,25,5,14,13
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,3,2,2,2,3,2,1,1,1,1,1,2,2
Profit before tax,-6,19,11,21,5,25,-174,-39,-5,30,-19,1,-15
Tax %,288%,-29%,-23%,4%,-583%,-103%,-13%,2%,-478%,12%,-17%,60%,-12%
Net Profit +,-48,-0,-12,-3,22,41,-155,-38,18,27,-15,0,-13
EPS in Rs,-10.75,0.41,-2.55,-0.24,5.17,9.79,-34.39,-8.47,4.30,7.52,-3.99,0.36,-3.51
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,52,89,135,162,222,388,551,"1,798","1,060","1,432","1,159","1,319"
Expenses +,62,116,155,175,255,440,561,684,"1,168","1,456","1,177","1,371"
Operating Profit,-10,-28,-20,-13,-33,-52,-10,"1,114",-107,-24,-19,-52
OPM %,-19%,-31%,-15%,-8%,-15%,-13%,-2%,62%,-10%,-2%,-2%,-4%
Other Income +,2,-0,2,7,0,1,1,3,-5,4,-179,57
Interest,1,2,3,1,3,1,3,3,2,1,0,1
Depreciation,6,7,7,6,6,5,4,4,8,9,6,7
Profit before tax,-15,-37,-28,-12,-42,-58,-16,"1,109",-122,-30,-204,-2
Tax %,-0%,-1%,2%,19%,3%,-9%,4%,22%,-19%,-119%,-34%,-39%
Net Profit +,-15,-37,-29,-15,-43,-52,-17,865,-99,6,-134,-1
EPS in Rs,-4.68,-11.51,-9.00,-3.73,-11.81,-12.19,-3.27,197.05,-22.70,2.79,-28.66,0.37
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,32,32,32,32,32,32,32,32,32,32,32,32
Reserves,223,186,163,144,111,178,168,795,722,731,638,609
Borrowings +,5,19,21,12,2,8,12,2,9,4,1,26
Other Liabilities +,22,20,35,48,86,98,80,449,441,383,300,269
Total Liabilities,281,256,251,235,230,316,293,"1,278","1,204","1,149",970,936
Fixed Assets +,137,126,125,117,116,114,110,93,107,110,102,117
CWIP,3,0,0,1,1,0,0,0,1,0,10,1
Investments,22,10,17,46,36,56,43,666,513,676,575,519
Other Assets +,119,120,110,71,77,146,139,518,583,363,283,299
Total Assets,281,256,251,235,230,316,293,"1,278","1,204","1,149",970,936

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-12,-12,-2,-49,-30,-69,-31,-207,-112,36,-17,-74
Cash from Investing Activity +,7,-1,4,15,-2,-22,21,220,133,-34,-1,171
Cash from Financing Activity +,4,13,5,33,26,103,4,-11,-2,-2,-0,-80
Net Cash Flow,-1,-0,7,-2,-6,11,-5,1,19,-0,-19,18
Free Cash Flow,-28,-18,-0,-55,-33,-71,-31,-212,-128,22,-27,-89
CFO/OP,106%,43%,17%,377%,89%,133%,288%,-8%,104%,-172%,68%,133%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,87,34,52,9,13,14,9,4,12,9,3,2
Inventory Days,337,91,80,73,59,77,57,71,69,34,40,44
Days Payable,165,38,69,24,26,50,29,21,22,13,21,26
Cash Conversion Cycle,259,87,62,58,46,41,38,55,59,31,22,20
Working Capital Days,344,182,49,61,61,54,44,46,93,58,47,16
ROCE %,-6%,-14%,-12%,-8%,-19%,-25%,-6%,-7%,-11%,-3%,-1%,-0%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.92%,73.92%,73.92%,73.92%,73.92%,73.92%,73.93%,74.11%,74.24%,74.24%,74.69%,74.84%
FIIs +,0.31%,0.32%,0.49%,0.56%,0.61%,0.99%,1.71%,1.60%,1.88%,2.04%,2.25%,2.17%
DIIs +,0.17%,0.17%,0.86%,0.96%,1.35%,1.98%,1.85%,2.06%,2.09%,2.07%,2.07%,2.60%
Public +,25.60%,25.60%,24.73%,24.57%,24.12%,23.11%,22.50%,22.21%,21.79%,21.65%,20.99%,20.38%
No. of Shareholders,"14,752","14,633","14,053","14,544","14,493","15,360","14,093","13,693","13,452","13,012","12,287","11,845"

--- CAGR BOXES ---




