--- ABOUT ---
"Incoprorated in 1992, Hexaware Technologies Ltd provides AI based digital & technology solutions [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"30,526",500,900,20.8

Book Value,Dividend Yield,ROCE,ROE
103,2.30,30.1,24.9

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2020,Jun 2020,Sep 2020,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,542","1,569","1,586","2,616","2,749","2,936","3,136","3,154","3,208","3,261","3,484","3,478","3,613"
Expenses +,"1,308","1,298","1,308","2,285","2,331","2,504","2,645","2,664","2,680","2,856","2,882","3,100","3,042"
Operating Profit,234,271,277,331,418,431,491,490,528,404,601,378,571
OPM %,15%,17%,18%,13%,15%,15%,16%,16%,16%,12%,17%,11%,16%
Other Income +,44,-4,-6,10,10,30,11,24,4,160,10,102,22
Interest,11,15,13,7,10,12,23,21,22,21,26,31,29
Depreciation,52,64,57,94,60,69,74,76,74,75,89,124,91
Profit before tax,215,189,201,240,358,380,406,417,436,468,497,326,473
Tax %,18%,19%,19%,20%,22%,28%,26%,23%,25%,19%,26%,10%,26%
Net Profit +,175,152,163,193,279,275,300,321,327,380,370,292,352
EPS in Rs,5.86,5.10,5.42,6.42,9.31,4.53,4.98,5.25,5.38,6.24,6.08,4.78,5.75
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM
Sales +,"2,582","3,124","3,535","3,942","4,648","5,583","6,262","7,178","9,200","10,380","11,974","13,430","13,836"
Expenses +,"2,134","2,579","2,958","3,286","3,911","4,701","5,212","6,042","7,974","8,809","10,139","11,514","11,881"
Operating Profit,448,545,577,656,736,881,"1,050","1,136","1,226","1,572","1,835","1,917","1,954"
OPM %,17%,17%,16%,17%,16%,16%,17%,16%,13%,15%,15%,14%,14%
Other Income +,16,9,40,49,58,12,35,67,179,22,75,277,294
Interest,2,1,1,2,3,10,52,38,38,42,71,106,107
Depreciation,44,48,55,63,65,103,232,224,244,284,279,361,378
Profit before tax,418,505,560,641,727,779,800,941,"1,123","1,268","1,560","1,727","1,763"
Tax %,23%,22%,25%,22%,20%,18%,22%,20%,21%,21%,25%,21%,
Net Profit +,320,393,419,500,583,641,622,749,884,998,"1,174","1,368","1,393"
EPS in Rs,10.64,13.04,13.88,16.83,19.62,21.49,20.69,24.93,29.44,33.22,19.36,22.41,22.85
Dividend Payout %,89%,66%,40%,24%,43%,40%,17%,32%,75%,53%,45%,51%,

--- BALANCE SHEET ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,60,60,60,59,59,60,60,60,60,61,61,61
Reserves,"1,230","1,373","1,681","1,948","2,332","2,706","3,176","3,728","4,063","4,574","5,296","6,255"
Borrowings +,0,0,0,0,0,143,236,374,456,394,574,681
Other Liabilities +,463,587,570,538,742,"1,260","1,666","1,511","1,934","2,173","3,063","3,906"
Total Liabilities,"1,754","2,021","2,311","2,545","3,133","4,169","5,138","5,674","6,514","7,202","8,994","10,902"
Fixed Assets +,514,533,479,541,574,"2,038","2,478","2,391","2,588","2,454","3,760","5,130"
CWIP,35,116,323,256,224,86,10,12,6,55,131,50
Investments,186,41,21,21,13,3,0,123,0,251,0,145
Other Assets +,"1,019","1,330","1,488","1,726","2,322","2,042","2,649","3,147","3,920","4,442","5,104","5,577"
Total Assets,"1,754","2,021","2,311","2,545","3,133","4,169","5,138","5,674","6,514","7,202","8,994","10,902"

--- CASH FLOW ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Cash from Operating Activity +,413,393,473,476,549,596,"1,438",980,821,"1,516","1,548","1,739"
Cash from Investing Activity +,119,14,-197,-95,-8,"-1,001",-416,-210,13,-284,-663,-914
Cash from Financing Activity +,-535,-314,-249,-280,-250,-169,-242,-602,-721,-750,-682,-831
Net Cash Flow,-3,93,26,102,290,-573,780,167,113,482,203,-6
Free Cash Flow,353,257,251,381,488,467,"1,397",871,702,"1,452","1,417","1,576"
CFO/OP,118%,95%,107%,99%,96%,86%,151%,104%,87%,113%,101%,110%

--- RATIOS ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Debtor Days,52,51,45,50,63,64,47,70,75,65,60,56
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,52,51,45,50,63,64,47,70,75,65,60,56
Working Capital Days,16,19,26,36,35,18,2,9,8,0,-9,-16
ROCE %,34%,37%,35%,34%,33%,30%,27%,26%,26%,27%,30%,30%

--- SHAREHOLDING PATTERN ---
,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,62.59%,62.52%,62.45%,62.44%,62.44%,62.34%,91.16%,74.71%,74.57%,74.55%,74.30%,74.30%
FIIs +,16.06%,16.76%,17.85%,16.97%,16.82%,14.03%,2.94%,10.59%,9.76%,8.31%,8.15%,4.20%
DIIs +,12.35%,11.88%,11.58%,12.41%,12.86%,13.12%,0.00%,9.06%,9.87%,11.13%,11.31%,15.04%
Public +,9.01%,8.84%,8.12%,8.17%,7.88%,10.51%,5.90%,5.65%,5.61%,5.99%,5.97%,6.18%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,0.01%,0.27%,0.26%
No. of Shareholders,"80,498","78,733","79,592","82,412","80,897","85,690","60,408","1,20,600","1,09,853","1,14,719","1,11,984","1,18,229"

--- CAGR BOXES ---




