--- ABOUT ---
"Incorporated in 1989, Handson Global Management Ltd is in the business of providing Software and IT enabled services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
66.3,52.6,84.8,

Book Value,Dividend Yield,ROCE,ROE
29.6,0.00,-0.37,-9.91

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,3.13,3.57,4.29,3.99,4.27,5.57,5.58,5.80,5.51,13.61,18.95,14.25,12.67
Expenses +,2.63,3.03,3.59,3.35,3.46,4.65,4.68,4.96,4.48,11.24,17.86,16.67,14.71
Operating Profit,0.50,0.54,0.70,0.64,0.81,0.92,0.90,0.84,1.03,2.37,1.09,-2.42,-2.04
OPM %,15.97%,15.13%,16.32%,16.04%,18.97%,16.52%,16.13%,14.48%,18.69%,17.41%,5.75%,-16.98%,-16.10%
Other Income +,0.58,0.40,0.48,0.42,0.47,0.44,0.48,0.92,0.44,0.52,0.81,0.66,1.49
Interest,0.04,0.04,0.03,0.03,0.03,0.05,0.05,0.04,0.04,0.08,0.14,0.44,0.43
Depreciation,0.16,0.16,0.16,0.16,0.16,0.25,0.25,0.25,0.25,0.41,0.60,0.80,0.81
Profit before tax,0.88,0.74,0.99,0.87,1.09,1.06,1.08,1.47,1.18,2.40,1.16,-3.00,-1.79
Tax %,4.55%,31.08%,26.26%,27.59%,25.69%,27.36%,25.93%,9.52%,-12.71%,28.33%,56.90%,4.33%,20.67%
Net Profit +,0.84,0.52,0.73,0.63,0.81,0.78,0.80,1.32,1.32,1.73,0.50,-3.12,-2.15
EPS in Rs,0.67,0.41,0.58,0.50,0.64,0.62,0.64,1.05,1.05,1.37,0.40,-2.48,-1.71
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,16.40,15.15,15.43,13.60,10.54,10.97,9.66,10.06,12.06,16.12,22.47,59.48
Expenses +,18.21,14.86,15.36,13.39,10.28,9.45,7.31,7.68,9.66,13.43,18.78,60.46
Operating Profit,-1.81,0.29,0.07,0.21,0.26,1.52,2.35,2.38,2.40,2.69,3.69,-0.98
OPM %,-11.04%,1.91%,0.45%,1.54%,2.47%,13.86%,24.33%,23.66%,19.90%,16.69%,16.42%,-1.65%
Other Income +,0.57,1.12,1.01,4.18,0.96,1.24,1.72,1.35,3.90,1.76,2.27,3.47
Interest,0.41,0.61,0.62,0.25,0.00,0.72,0.12,0.09,0.16,0.13,0.17,1.09
Depreciation,1.01,0.97,0.85,1.07,0.53,0.55,0.62,0.62,0.60,0.63,1.00,2.63
Profit before tax,-2.66,-0.17,-0.39,3.07,0.69,1.49,3.33,3.02,5.54,3.69,4.79,-1.23
Tax %,-6.77%,258.82%,151.28%,22.80%,75.36%,55.03%,22.52%,28.81%,17.51%,27.37%,11.90%,148.78%
Net Profit +,-155.79,-275.64,-145.56,2.38,0.18,0.67,2.57,2.15,4.57,2.69,4.22,-3.05
EPS in Rs,-124.12,-219.94,-116.15,1.90,0.14,0.53,2.04,1.71,3.63,2.14,3.35,-2.42
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,12.51,12.53,12.53,12.54,12.59,12.59,12.59,12.60,12.60,12.60,12.60,12.60
