--- ABOUT ---
"Hikal is a partner to companies in the Pharmaceuticals, Crop Protection, and Specialty Chemicals industry. The company is in the business of supplying research services, active ingredients and intermediates for its customers. Hikal's manufacturing facilities have been inspected and approved by leading multinational companies in the Crop protection and Pharmaceutical sectors. The Crop protection facilities are located at Taloja and Mahad {Maharashtra). The Pharmaceutical manufacturing facilities are situated in Jigani (Bengaluru) and Panoli (Gujarat). Hikal's R & D facilities are located in Pune. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,525",205,373,69.6

Book Value,Dividend Yield,ROCE,ROE
97.2,0.68,3.52,2.95

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,545,388,435,448,514,407,453,448,552,380,318,494,519
Expenses +,457,338,377,383,420,349,378,376,429,355,311,412,414
Operating Profit,88,50,58,65,94,58,75,72,123,25,7,83,105
OPM %,16%,13%,13%,14%,18%,14%,17%,16%,22%,7%,2%,17%,20%
Other Income +,0,1,1,0,0,0,0,4,0,1,2,-35,-40
Interest,13,14,13,14,15,20,19,19,18,17,15,16,15
Depreciation,27,28,29,29,32,32,32,33,38,39,41,41,42
Profit before tax,49,10,17,22,47,7,25,24,68,-30,-47,-9,8
Tax %,26%,29%,25%,25%,28%,26%,26%,28%,26%,-26%,-26%,-36%,-73%
Net Profit +,36,7,13,16,34,5,18,17,50,-22,-35,-6,14
EPS in Rs,2.92,0.56,1.02,1.31,2.75,0.41,1.48,1.39,4.07,-1.82,-2.83,-0.48,1.17
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,872,926,"1,014","1,296","1,590","1,507","1,720","1,943","2,023","1,785","1,860","1,713"
Expenses +,689,745,813,"1,054","1,291","1,234","1,398","1,602","1,765","1,518","1,531","1,492"
Operating Profit,182,181,201,242,298,273,323,341,258,267,328,220
OPM %,21%,20%,20%,19%,19%,18%,19%,18%,13%,15%,18%,13%
Other Income +,2,2,-3,4,2,-12,5,5,5,2,5,-73
Interest,60,62,48,49,58,52,36,31,48,56,75,62
Depreciation,64,67,69,86,93,82,85,96,109,118,134,164
Profit before tax,60,53,80,112,149,127,206,219,105,96,124,-78
Tax %,32%,23%,16%,31%,31%,33%,36%,27%,26%,27%,27%,-38%
Net Profit +,40,41,68,77,103,84,133,160,78,70,91,-49
EPS in Rs,3.28,3.34,5.49,6.26,8.36,6.85,10.80,13.02,6.36,5.64,7.36,-3.96
Dividend Payout %,20%,20%,15%,13%,14%,18%,19%,12%,19%,21%,11%,-15%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,16,16,25,25,25,25,25,25,25,25
Reserves,516,547,589,653,732,792,909,"1,043","1,109","1,163","1,238","1,174"
Borrowings +,547,505,598,635,661,646,610,675,748,818,765,684
Other Liabilities +,212,206,177,237,268,306,370,470,504,482,502,483
Total Liabilities,"1,292","1,275","1,379","1,542","1,686","1,768","1,913","2,213","2,385","2,487","2,529","2,365"
Fixed Assets +,639,623,668,634,713,735,713,879,948,"1,071","1,364","1,333"
CWIP,62,66,63,118,79,161,254,295,412,414,121,94
Investments,3,3,4,3,1,1,1,11,5,5,10,10
Other Assets +,588,583,645,788,893,871,946,"1,028","1,020",997,"1,034",928
Total Assets,"1,292","1,275","1,379","1,542","1,686","1,768","1,913","2,213","2,385","2,487","2,529","2,365"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,102,186,163,139,186,285,229,294,315,187,280,302
Cash from Investing Activity +,-43,-64,-102,-110,-125,-164,-156,-284,-292,-174,-136,-145
Cash from Financing Activity +,-69,-124,-63,-25,-55,-101,-97,-6,-8,-27,-144,-160
Net Cash Flow,-10,-2,-2,4,6,20,-24,4,15,-14,0,-3
Free Cash Flow,54,127,58,33,57,127,71,21,13,-17,144,154
CFO/OP,63%,110%,91%,68%,73%,113%,85%,107%,134%,81%,94%,144%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,54,44,92,81,80,82,103,82,80,113,103,94
Inventory Days,268,229,189,158,156,147,107,121,104,134,146,172
Days Payable,117,101,93,86,68,95,92,91,103,123,133,128
Cash Conversion Cycle,205,173,188,153,168,135,118,112,81,124,116,138
Working Capital Days,-13,29,43,29,45,28,39,26,39,39,37,41
ROCE %,11%,11%,12%,13%,15%,14%,16%,15%,8%,8%,10%,4%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,68.85%,68.85%,68.85%,68.85%,68.85%,68.85%,68.85%,68.85%,68.85%,68.85%,68.85%,68.85%
FIIs +,4.57%,4.81%,6.14%,6.55%,6.66%,6.78%,6.06%,5.70%,5.35%,4.23%,2.31%,1.44%
DIIs +,2.78%,3.11%,3.15%,3.53%,3.17%,3.58%,3.48%,3.80%,4.03%,5.15%,7.05%,7.20%
Public +,23.79%,23.22%,21.85%,21.06%,21.32%,20.79%,21.61%,21.65%,21.76%,21.75%,21.78%,22.51%
No. of Shareholders,"75,110","76,126","74,657","71,840","70,978","71,912","71,801","68,907","71,391","73,404","74,117","74,270"

--- CAGR BOXES ---




