--- ABOUT ---
"Incorporated in 1958, Hindalco Industries Ltd. is a flagship company of the Aditya Birla Group. The Co and its subsidiaries are primarily engaged in the production of Aluminium and Copper. It is also engaged in the manufacturing of aluminium sheet, extrusion and light gauge products for use in packaging markets like beverage and food, can and foil products, etc. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,26,970","1,010","1,179 / 640",13.0

Book Value,Dividend Yield,ROCE,ROE
608,0.50,13.7,13.5

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"55,857","52,991","54,169","52,808","55,994","57,013","58,203","58,390","64,890","64,232","66,058","66,521","78,133"
Expenses +,"50,530","47,277","48,557","46,943","49,314","49,510","50,320","50,807","56,054","56,326","57,092","58,530","68,119"
Operating Profit,"5,327","5,714","5,612","5,865","6,680","7,503","7,883","7,583","8,836","7,906","8,966","7,991","10,014"
OPM %,10%,11%,10%,11%,12%,13%,14%,13%,14%,12%,14%,12%,13%
Other Income +,354,381,496,281,362,96,561,469,706,604,532,"-2,061","-3,146"
Interest,986,992,"1,034",944,888,859,869,817,874,754,803,881,"1,042"
Depreciation,"1,856","1,786","1,843","1,874","2,018","1,892","1,932","1,939","2,118","2,080","2,155","2,220","2,375"
Profit before tax,"2,839","3,317","3,231","3,328","4,136","4,848","5,643","5,296","6,550","5,676","6,540","2,829","3,451"
Tax %,15%,26%,32%,30%,23%,37%,31%,29%,19%,29%,28%,28%,25%
Net Profit +,"2,411","2,454","2,196","2,331","3,174","3,074","3,909","3,735","5,284","4,004","4,741","2,049","2,597"
EPS in Rs,10.73,10.92,9.77,10.37,14.12,13.68,17.39,16.62,23.51,17.82,21.10,9.12,11.56
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"104,281","98,759","100,184","115,183","130,542","118,144","132,008","195,059","223,202","215,962","238,496","274,944"
Expenses +,"95,437","90,981","87,867","101,488","115,031","103,838","114,449","166,712","200,536","192,090","206,691","240,064"
Operating Profit,"8,844","7,778","12,317","13,695","15,511","14,306","17,559","28,347","22,666","23,872","31,805","34,880"
OPM %,8%,8%,12%,12%,12%,12%,13%,15%,10%,11%,13%,13%
Other Income +,-832,"1,500","1,198","2,879","1,127",906,-987,"1,253","1,307","1,519","1,832","-4,074"
Interest,"4,178","5,134","5,742","3,911","3,778","4,197","3,738","3,768","3,646","3,858","3,419","3,480"
Depreciation,"3,493","4,347","4,457","4,506","4,777","5,091","6,628","6,729","7,086","7,521","7,881","8,830"
Profit before tax,340,-203,"3,315","8,157","8,083","5,924","6,206","19,103","13,241","14,012","22,337","18,496"
Tax %,75%,245%,43%,25%,32%,36%,44%,28%,24%,28%,28%,28%
Net Profit +,259,-702,"1,882","6,083","5,495","3,767","3,483","13,730","10,097","10,155","16,002","13,391"
EPS in Rs,4.14,-1.21,8.47,27.10,24.48,16.77,15.50,61.10,44.93,45.19,71.20,59.59
Dividend Payout %,24%,-82%,13%,4%,5%,6%,19%,6%,7%,8%,7%,8%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,207,207,223,223,222,222,222,222,222,222,222,222
Reserves,"38,122","40,402","45,836","54,629","57,279","58,095","66,311","77,969","94,584","105,924","123,487","136,361"
Borrowings +,"68,468","67,552","63,817","52,074","52,415","68,399","67,206","64,486","60,291","56,356","63,929","99,161"
Other Liabilities +,"34,950","32,986","36,268","40,088","42,056","41,902","55,083","79,178","68,392","68,221","76,662","112,051"
Total Liabilities,"141,746","141,146","146,144","147,014","151,972","168,618","188,822","221,855","223,489","230,723","264,300","347,795"
Fixed Assets +,"71,959","85,648","84,687","85,088","85,860","89,195","100,269","106,874","110,626","111,810","116,556","132,208"
CWIP,"14,111","4,214","1,814","2,063","4,097","7,721","10,202","4,945","7,700","14,867","27,397","47,569"
Investments,"12,346","12,463","15,157","10,781","9,012","9,411","17,133","14,119","14,116","15,444","24,158","24,958"
Other Assets +,"43,330","38,821","44,486","49,081","53,003","62,291","61,218","95,917","91,047","88,602","96,189","143,060"
Total Assets,"141,746","141,146","146,144","147,014","151,972","168,618","188,822","221,855","223,489","230,723","264,300","347,795"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"7,143","11,688","12,687","10,898","11,977","12,665","17,232","16,838","19,208","24,056","24,410","10,250"
Cash from Investing Activity +,"-3,873","-3,220","-2,876","5,333","-5,456","-7,101","-25,280","-6,773","-7,559","-14,267","-24,609","-26,583"
