--- ABOUT ---
"Incorporated in 1981, HLV Ltd is in the business of owning, operating & managing hotels, palaces, and resorts [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
516,7.83,14.6,3.03

Book Value,Dividend Yield,ROCE,ROE
7.25,0.00,7.85,47.2

Face Value
2.00

--- QUARTERLY RESULTS ---
,Jun 2006,Jun 2018,Sep 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020
Sales +,85,35,36,43,32,33,44,38
Expenses +,46,106,110,42,43,40,55,52
Operating Profit,40,-71,-73,1,-11,-7,-11,-15
OPM %,46%,-202%,-202%,2%,-33%,-22%,-26%,-39%
Other Income +,48,7,9,-28,6,27,215,3
Interest,9,0,0,0,0,0,0,1
Depreciation,9,3,2,3,3,3,2,4
Profit before tax,70,-67,-67,-30,-8,17,201,-17
Tax %,12%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,62,-67,-67,-30,-8,17,201,-17
EPS in Rs,0.33,-1.06,-1.06,-0.47,-0.12,0.26,3.19,-0.27
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Sales +,454,449,464,572,645,718,636,661,698,138,154,146
Expenses +,296,325,332,508,530,573,545,508,523,150,238,183
Operating Profit,158,124,132,63,114,145,92,153,175,-12,-83,-37
OPM %,35%,28%,28%,11%,18%,20%,14%,23%,25%,-9%,-54%,-25%
Other Income +,127,30,42,383,8,50,-138,-13,41,2,-25,244
Interest,27,24,54,321,405,502,198,88,90,0,0,1
Depreciation,65,68,63,102,139,181,227,240,141,13,10,12
Profit before tax,193,61,56,23,-421,-487,-470,-187,-15,-23,-119,194
Tax %,25%,32%,33%,20%,3%,-9%,-12%,-4%,0%,0%,0%,0%
Net Profit +,145,41,38,19,-433,-442,-416,-180,-15,-23,-119,194
EPS in Rs,3.84,1.09,0.98,0.48,-10.35,-9.78,-8.91,-3.86,-0.33,-0.37,-1.89,3.07
Dividend Payout %,10%,18%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Equity Capital,76,76,78,78,84,90,93,93,93,126,126,126
Reserves,"1,864","1,978","2,025","1,513","1,139",780,325,144,38,258,139,331
Borrowings +,"2,451","2,879","3,803","4,176","4,659","4,905","5,034","4,329","4,182","3,781","3,610",33
Other Liabilities +,433,406,392,484,470,510,376,396,421,396,313,169
Total Liabilities,"4,823","5,339","6,298","6,250","6,351","6,285","5,828","4,963","4,734","4,561","4,189",660
Fixed Assets +,"3,489","3,723","4,108","4,572","5,700","5,634","5,380","4,480","4,072","3,911",344,329
CWIP,935,"1,265","1,598","1,104",166,159,18,39,13,5,1,1
Investments,0,0,0,100,0,0,0,0,0,0,0,0
Other Assets +,400,351,592,474,484,492,430,443,649,645,"3,844",330
Total Assets,"4,823","5,339","6,298","6,250","6,351","6,285","5,828","4,963","4,734","4,561","4,189",660

--- CASH FLOW ---
,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Cash from Operating Activity +,203,33,69,250,153,177,231,174,220,192,209,139
Cash from Investing Activity +,-604,-547,-876,-307,-52,-14,-64,697,3,27,129,"3,824"
Cash from Financing Activity +,137,497,849,17,-83,-171,-169,-852,-233,-214,-327,"-3,976"
Net Cash Flow,-264,-17,43,-40,18,-8,-2,20,-9,4,11,-14
Free Cash Flow,-450,-565,-809,32,-122,146,236,164,232,203,346,107
CFO/OP,138%,41%,65%,412%,140%,120%,245%,116%,128%,"-1,662%",-262%,-385%

--- RATIOS ---
,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Debtor Days,25,31,37,34,33,36,29,35,37,219,155,19
Inventory Days,531,518,649,508,510,378,320,260,,,,
Days Payable,918,712,309,279,321,379,395,396,,,,
Cash Conversion Cycle,-362,-163,377,264,223,34,-46,-102,37,219,155,19
Working Capital Days,37,51,13,-481,"-1,171","-1,296",-131,-156,-170,"-1,993","-6,978",-110
ROCE %,6%,2%,2%,7%,-0%,-0%,-2%,2%,2%,0%,-2%,8%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,49.58%,49.58%,49.58%,47.03%,45.36%,41.99%,39.86%,39.07%,39.07%,39.07%,39.07%,39.07%
FIIs +,0.03%,0.00%,0.00%,0.23%,0.09%,0.16%,0.14%,0.13%,0.08%,0.09%,0.11%,0.16%
DIIs +,1.55%,1.55%,1.55%,1.55%,1.55%,1.55%,1.56%,1.56%,1.56%,1.56%,1.56%,1.55%
Public +,48.84%,48.86%,48.87%,51.19%,53.00%,56.32%,58.44%,59.22%,59.28%,59.27%,59.25%,59.22%
No. of Shareholders,"83,968","86,260","1,08,442","1,35,572","1,36,416","1,42,621","1,55,233","1,55,274","1,53,240","1,50,092","1,47,041","1,43,559"

--- CAGR BOXES ---




