--- ABOUT ---
"Hindustan Foods Limited is an India-based company, which is engaged in contract manufacturing of various FMCG products including food, home care, personal care, beverages etc. They also do manufacturing of leather shoes and accessories"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"6,608",545,585,43.4

Book Value,Dividend Yield,ROCE,ROE
97.5,0.00,14.2,14.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,660,619,675,729,731,868,883,880,959,995,"1,039","1,044","1,117"
Expenses +,611,569,621,672,670,795,813,806,880,915,953,949,"1,017"
Operating Profit,49,50,54,57,61,73,70,73,78,80,86,95,100
OPM %,7%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,9%,9%
Other Income +,1,1,2,1,3,3,3,6,3,3,4,-2,3
Interest,10,11,13,15,18,20,21,20,20,20,20,19,23
Depreciation,9,11,12,14,18,20,20,20,20,21,22,23,23
Profit before tax,31,29,31,29,28,36,32,39,42,42,47,51,57
Tax %,35%,21%,21%,24%,17%,25%,28%,27%,24%,25%,26%,23%,27%
Net Profit +,20,23,25,22,23,27,23,29,32,32,35,39,42
EPS in Rs,1.79,2.07,2.19,1.95,2.00,2.38,2.00,2.44,2.69,2.66,2.95,3.24,3.48
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,492,772,"1,386","2,040","2,598","2,755","3,564","4,251"
Expenses +,459,717,"1,305","1,927","2,425","2,533","3,270","3,888"
Operating Profit,33,55,81,113,173,222,294,363
OPM %,7%,7%,6%,6%,7%,8%,8%,9%
Other Income +,1,1,3,4,5,7,15,9
Interest,8,11,19,20,36,57,81,82
Depreciation,7,11,17,25,37,55,80,90
Profit before tax,18,34,48,71,104,117,148,200
Tax %,35%,35%,28%,38%,32%,21%,26%,25%
Net Profit +,12,22,34,45,71,93,110,149
EPS in Rs,1.76,2.07,3.25,3.96,6.31,8.12,9.33,12.47
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,13,21,21,23,23,23,24,24
Reserves,51,165,199,281,352,623,868,"1,141"
Borrowings +,100,165,218,350,516,727,892,"1,088"
Other Liabilities +,102,188,256,331,445,552,699,920
Total Liabilities,266,539,694,984,"1,335","1,924","2,483","3,174"
Fixed Assets +,133,250,271,427,554,908,"1,012","1,302"
CWIP,0,26,53,87,125,9,120,150
Investments,-0,2,0,-0,-0,-0,-0,5
Other Assets +,133,261,370,470,656,"1,007","1,351","1,716"
Total Assets,266,539,694,984,"1,335","1,924","2,483","3,174"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-5,17,74,36,99,87,114,100
Cash from Investing Activity +,-40,-145,-92,-139,-220,-381,-289,-339
Cash from Financing Activity +,43,153,34,91,128,298,209,196
Net Cash Flow,-2,24,16,-12,7,3,34,-44
Free Cash Flow,-46,-111,-5,-104,-65,-46,-118,-225
CFO/OP,-2%,45%,111%,58%,69%,46%,47%,40%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,32,18,13,13,15,23,21,22
Inventory Days,54,74,58,56,68,98,121,106
Days Payable,84,94,74,64,69,85,84,69
Cash Conversion Cycle,2,-2,-2,5,14,37,58,59
Working Capital Days,-8,7,5,4,6,17,32,36
ROCE %,,17%,17%,17%,18%,15%,14%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,64.85%,64.85%,64.85%,63.82%,63.82%,63.82%,62.22%,62.22%,61.31%,61.31%,61.31%,61.31%
FIIs +,6.59%,6.58%,6.70%,6.70%,3.02%,3.39%,5.45%,5.24%,5.84%,5.79%,5.75%,5.83%
DIIs +,6.58%,6.03%,5.96%,7.18%,13.43%,13.79%,14.06%,14.56%,14.25%,14.41%,14.59%,15.06%
Public +,22.00%,22.54%,22.50%,22.30%,19.73%,19.00%,18.27%,17.97%,18.59%,18.49%,18.34%,17.82%
No. of Shareholders,"69,988","80,587","86,147","85,364","84,136","79,846","76,794","73,822","72,312","70,011","66,618","63,403"

--- CAGR BOXES ---




