--- ABOUT ---
"Incorporated in 2002, HT Media Ltd is in the business of print, radio broad cast and digital services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
530,22.8,28.6,4.00

Book Value,Dividend Yield,ROCE,ROE
69.6,0.00,7.42,8.06

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,441.40,393.42,393.99,442.90,464.41,378.51,423.75,489.80,513.57,412.15,451.50,496.61,511.04
Expenses +,480.52,418.68,427.63,458.12,463.05,419.75,446.55,484.04,487.94,441.70,455.60,481.57,426.79
Operating Profit,-39.12,-25.26,-33.64,-15.22,1.36,-41.24,-22.80,5.76,25.63,-29.55,-4.10,15.04,84.25
OPM %,-8.86%,-6.42%,-8.54%,-3.44%,0.29%,-10.90%,-5.38%,1.18%,4.99%,-7.17%,-0.91%,3.03%,16.49%
Other Income +,53.13,51.75,1.88,43.56,32.09,48.59,55.53,40.64,68.68,39.30,47.29,-4.69,-59.07
Interest,17.02,17.40,19.59,20.93,19.86,16.93,17.79,16.43,16.19,14.69,15.45,15.37,14.83
Depreciation,31.33,30.06,29.80,28.85,30.50,26.76,24.33,23.58,23.34,23.23,24.87,22.00,22.66
Profit before tax,-34.34,-20.97,-81.15,-21.44,-16.91,-36.34,-9.39,6.39,54.78,-28.17,2.87,-27.02,-12.31
Tax %,-39.63%,-9.49%,-29.82%,-29.38%,-98.17%,-24.08%,-32.59%,150.70%,6.24%,-59.64%,251.22%,-12.29%,-21.53%
Net Profit +,-20.73,-18.98,-56.95,-15.14,-0.31,-27.59,-6.33,-3.24,51.36,-11.37,-4.34,-23.70,-9.66
EPS in Rs,-0.64,-0.79,-2.16,-0.56,0.05,-1.10,-0.33,-0.26,1.76,-0.57,-0.17,-1.00,-0.58
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,282","2,502","2,452","2,299","2,199","2,083","1,117","1,500","1,711","1,695","1,806","1,803"
Expenses +,"2,021","2,164","2,150","1,933","2,204","1,935","1,236","1,473","1,848","1,766","1,838","1,673"
Operating Profit,261,338,302,366,-5,148,-119,28,-137,-71,-33,130
OPM %,11%,14%,12%,16%,-0%,7%,-11%,2%,-8%,-4%,-2%,7%
Other Income +,162,141,226,289,191,-210,206,176,151,128,213,-34
Interest,47,63,95,81,114,99,56,55,76,78,67,60
Depreciation,100,102,125,121,108,182,137,135,132,119,98,93
Profit before tax,275,314,308,452,-36,-344,-106,14,-193,-140,15,-57
Tax %,21%,26%,22%,21%,-144%,-1%,-43%,-52%,30%,-35%,8%,-13%
Net Profit +,216,219,219,352,16,-345,-65,19,-252,-91,14,-49
EPS in Rs,7.73,7.45,7.32,13.20,-0.52,-14.86,-3.04,0.76,-9.77,-3.46,0.08,-2.33
Dividend Payout %,5%,5%,5%,3%,-77%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,46,46,46,46,46,46,46,46,46,46,46,46
Reserves,"1,856","2,036","2,186","2,498","2,465","2,109","2,043","2,037","1,753","1,668","1,620","1,573"
Borrowings +,369,"1,090","1,126","1,182","1,102",927,837,876,869,890,717,766
Other Liabilities +,"1,121","1,150","1,197","1,214","1,376","1,248","1,391","1,416","1,469","1,498","1,543","1,583"
Total Liabilities,"3,392","4,321","4,555","4,940","4,990","4,329","4,317","4,376","4,137","4,101","3,926","3,969"
Fixed Assets +,699,988,"1,434","1,416","1,401","1,449","1,319","1,209","1,138",956,897,807
CWIP,43,36,37,40,41,40,16,20,37,18,11,4
Investments,"1,389","2,221","2,263","2,535","2,322","1,762","1,944","2,053","1,836","1,776","1,822","2,043"
Other Assets +,"1,261","1,076",820,948,"1,226","1,078","1,037","1,094","1,126","1,351","1,196","1,116"
Total Assets,"3,392","4,321","4,555","4,940","4,990","4,329","4,317","4,376","4,137","4,101","3,926","3,969"

