--- ABOUT ---
"Incorporated in the year 1998, Indraprastha Gas Limited (IGL) is in the business of city gas distribution in the National Capital Territory of Delhi. IGL also supplies the gas to the near by regions of Noida, Greater Noida, Ghaziabad, Hapur, Gurugram, Meerut, Shamli, Kanpur, Muzaffarnagar, Karnal and Rewari, Hamirpur, Fatehpur, Ajmer, Pali, Rajasmand. IGL is formed as a JV promoted by GAIL (India) Limited and Bharat Petroleum Corporation (BPCL). Government of NCT of Delhi is holding 5% equity. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"23,464",168,229,15.1

Book Value,Dividend Yield,ROCE,ROE
82.2,2.54,17.9,14.0

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"3,682","3,407","3,459","3,556","3,597","3,517","3,698","3,759","3,948","3,914","4,023","4,068","4,163"
Expenses +,"3,221","2,765","2,802","2,994","3,076","2,940","3,163","3,397","3,455","3,403","3,582","3,597","3,742"
Operating Profit,461,642,657,562,521,576,535,362,493,511,441,471,421
OPM %,13%,19%,19%,16%,14%,16%,14%,10%,12%,13%,11%,12%,10%
Other Income +,139,129,152,140,161,157,174,170,202,164,178,167,166
Interest,3,2,2,2,3,2,2,2,4,3,3,2,8
Depreciation,94,99,102,102,111,114,119,122,121,124,128,132,133
Profit before tax,503,670,704,599,569,617,588,408,570,548,488,503,447
Tax %,21%,22%,22%,21%,24%,22%,23%,20%,20%,22%,21%,22%,24%
Net Profit +,398,522,553,475,433,480,454,325,453,428,385,392,339
EPS in Rs,2.84,3.73,3.95,3.40,3.10,3.44,3.25,2.33,3.25,3.06,2.76,2.81,2.43
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,681","3,686","3,815","4,535","5,765","6,485","4,941","7,710","14,133","14,000","14,928","16,168"
Expenses +,"2,887","2,910","2,851","3,409","4,506","4,949","3,446","5,816","12,089","11,612","12,934","14,324"
Operating Profit,794,775,964,"1,126","1,259","1,536","1,495","1,894","2,044","2,388","1,994","1,844"
OPM %,22%,21%,25%,25%,22%,24%,30%,25%,14%,17%,13%,11%
Other Income +,31,78,108,153,213,293,240,401,469,596,691,675
Interest,30,10,1,2,2,20,22,25,27,28,26,15
Depreciation,149,156,167,181,201,252,290,317,363,414,476,518
Profit before tax,645,687,904,"1,096","1,269","1,556","1,422","1,953","2,122","2,542","2,183","1,985"
Tax %,33%,33%,33%,34%,34%,20%,18%,23%,23%,22%,22%,22%
Net Profit +,448,458,606,722,842,"1,249","1,173","1,502","1,640","1,983","1,713","1,544"
EPS in Rs,3.20,3.27,4.33,5.16,6.02,8.92,8.38,10.73,11.71,14.18,12.27,11.07
Dividend Payout %,19%,18%,20%,19%,20%,16%,21%,26%,56%,32%,57%,14%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,140,140,140,140,140,140,140,140,140,140,280,280
Reserves,"1,975","2,430","2,872","3,507","4,176","5,218","6,194","7,446","7,791","9,493","10,336","11,224"
Borrowings +,145,0,0,0,0,96,113,108,83,81,93,98
Other Liabilities +,833,882,"1,186","1,453","1,871","2,094","2,606","3,413","4,614","4,510","4,880","5,426"
Total Liabilities,"3,093","3,452","4,198","5,100","6,187","7,548","9,054","11,107","12,628","14,225","15,590","17,028"
Fixed Assets +,"1,956","2,019","2,117","2,432","2,877","3,557","4,321","5,002","5,734","6,603","7,192","8,069"
CWIP,254,267,352,386,478,777,847,"1,379","1,434","1,396","1,543","1,518"
Investments,308,327,784,"1,316","1,778",630,"2,288","2,626","1,522","2,222","2,926","3,175"
Other Assets +,575,839,945,966,"1,054","2,584","1,598","2,101","3,939","4,003","3,929","4,267"
Total Assets,"3,093","3,452","4,198","5,100","6,187","7,548","9,054","11,107","12,628","14,225","15,590","17,028"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,664,653,946,879,"1,157","1,361","1,546","1,898","2,231","1,532","2,199","1,936"
