--- ABOUT ---
"Established in 1988, India Glycols Ltd. is engaged in the manufacturing of green technology-based bulk, specialty & performance chemicals, and natural gums, spirits, industrial gases, sugar, and nutraceuticals. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"6,419",958,"1,223 / 792",21.9

Book Value,Dividend Yield,ROCE,ROE
438,0.78,12.4,11.3

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,619,689,775,904,926,969,961,975,863,"1,040","1,092","1,102",976
Expenses +,523,589,679,802,822,843,845,852,717,891,935,927,810
Operating Profit,96,100,96,102,105,126,116,124,146,150,158,175,166
OPM %,16%,15%,12%,11%,11%,13%,12%,13%,17%,14%,14%,16%,17%
Other Income +,6,12,12,9,10,14,15,19,13,20,14,3,14
Interest,26,28,29,31,33,36,40,44,45,45,49,47,26
Depreciation,30,21,28,26,26,28,28,27,33,34,38,41,41
Profit before tax,46,64,50,54,56,76,63,71,82,91,84,91,112
Tax %,13%,20%,24%,23%,24%,20%,22%,20%,22%,19%,22%,25%,23%
Net Profit +,40,51,38,42,42,60,50,57,64,73,65,68,87
EPS in Rs,6.51,8.26,6.14,6.73,6.82,9.75,8.03,9.18,10.34,11.83,10.51,10.08,12.96
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,579","2,324","2,500","3,034","3,357","2,735","2,317","2,868","2,651","3,294","3,768","4,211"
Expenses +,"2,455","2,149","2,263","2,712","2,941","2,433","2,026","2,599","2,346","2,879","3,247","3,562"
Operating Profit,124,175,237,322,416,303,291,269,305,415,521,649
OPM %,5%,8%,9%,11%,12%,11%,13%,9%,12%,13%,14%,15%
Other Income +,-16,-47,7,23,17,24,15,260,54,30,51,51
Interest,163,139,127,125,143,97,83,70,100,121,164,167
Depreciation,89,69,72,73,76,78,80,80,94,101,115,155
Profit before tax,-144,-81,45,147,213,153,143,379,165,223,292,377
Tax %,-38%,-30%,22%,34%,38%,25%,8%,10%,15%,23%,21%,22%
Net Profit +,-89,-57,35,97,133,115,132,340,141,173,231,293
EPS in Rs,-14.32,-9.18,5.66,15.59,21.42,18.52,21.26,54.90,20.21,27.95,37.31,43.68
Dividend Payout %,0%,0%,9%,13%,14%,16%,14%,7%,19%,14%,13%,17%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,31,31,31,31,31,31,31,31,31,31,31,34
Reserves,266,687,721,814,932,"1,003","1,138","1,761","1,870","2,020","2,225","2,899"
Borrowings +,"2,264","1,236","1,095",834,"1,000",999,"1,137","1,047","1,112","1,348","1,892","1,691"
Other Liabilities +,593,"1,665","1,645","1,742","1,821","2,053","1,814","1,792","1,845","2,218","2,029","1,900"
Total Liabilities,"3,154","3,620","3,492","3,421","3,784","4,086","4,119","4,631","4,858","5,617","6,176","6,523"
Fixed Assets +,"1,146","2,029","2,111","2,156","2,173","2,228","2,193","2,318","2,717","3,205","3,829","4,554"
CWIP,162,181,91,89,137,172,126,243,125,84,98,37
Investments,4,28,25,24,21,26,27,336,318,335,381,389
Other Assets +,"1,843","1,382","1,265","1,152","1,453","1,660","1,774","1,734","1,698","1,993","1,867","1,543"
Total Assets,"3,154","3,620","3,492","3,421","3,784","4,086","4,119","4,631","4,858","5,617","6,176","6,523"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-171,"1,231",302,502,147,343,137,116,326,439,362,769
Cash from Investing Activity +,175,-78,-40,-103,-128,-151,-148,76,-330,-503,-736,-767
Cash from Financing Activity +,-4,"-1,168",-263,-399,3,-216,11,-189,-1,90,354,23
Net Cash Flow,-0,-15,-1,-0,22,-23,-0,4,-5,25,-20,25
Free Cash Flow,-53,"1,137",260,373,9,193,-11,-264,-109,-103,-391,-47
CFO/OP,-136%,705%,127%,156%,37%,127%,53%,51%,123%,108%,73%,122%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,62,57,57,40,35,76,57,51,59,43,35,30
Inventory Days,109,128,129,87,124,146,166,148,209,224,209,122
Days Payable,55,120,144,152,143,155,158,137,209,222,175,108
Cash Conversion Cycle,115,66,42,-25,17,67,65,62,60,44,70,45
Working Capital Days,-110,-94,-117,-78,-50,-64,-79,-31,-46,-63,-56,-49
ROCE %,3%,5%,9%,15%,20%,14%,10%,9%,8%,11%,12%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,61.02%,61.02%,61.02%,61.02%,61.02%,61.02%,61.02%,61.02%,61.02%,61.02%,59.63%,59.63%
FIIs +,1.16%,1.29%,1.57%,1.80%,1.75%,2.90%,2.44%,2.24%,3.44%,2.62%,2.42%,2.27%
DIIs +,1.97%,0.06%,0.11%,0.08%,0.09%,1.93%,2.00%,0.91%,1.39%,1.34%,5.22%,5.19%
Public +,35.86%,37.63%,37.30%,37.11%,37.15%,34.15%,34.54%,35.82%,34.15%,35.04%,32.72%,32.91%
No. of Shareholders,"43,853","47,476","47,259","59,579","57,768","54,751","62,408","59,736","55,149","54,863","54,301","52,848"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,6%
5 Years:,13%
