--- ABOUT ---
"Incorporated in 1995, Indo Thai Securities Ltd is in the business as stock and share brokers [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,066",237,470 / 144,46.3

Book Value,Dividend Yield,ROCE,ROE
51.8,0.04,34.6,28.6

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,2,7,8,9,7,9,9,6,6,14,24,28,38
Expenses +,12,3,3,3,2,3,4,4,8,4,4,4,6
Operating Profit,-10,4,6,6,4,6,6,2,-2,10,20,23,33
OPM %,-470%,62%,66%,67%,63%,64%,60%,30%,-34%,72%,84%,84%,85%
Other Income +,0,0,0,0,-0,0,0,0,0,0,0,0,0
Interest,0,0,0,0,0,0,0,0,0,0,0,1,1
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,-10,4,6,6,4,6,6,1,-2,10,19,23,31
Tax %,-25%,26%,22%,15%,31%,16%,19%,21%,9%,12%,26%,25%,17%
Net Profit +,-8,3,4,5,2,5,5,1,-3,9,14,17,26
EPS in Rs,-0.76,0.31,0.43,0.54,0.25,0.50,0.45,0.09,-0.22,0.72,1.19,1.33,4.78
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,37,49,45,58,8,9,22,20,8,31,27,104
Expenses +,33,42,46,45,8,21,5,7,16,11,15,18
Operating Profit,4,7,-1,13,-0,-12,17,12,-9,20,12,86
OPM %,11%,14%,-1%,22%,-4%,-128%,77%,62%,-114%,65%,44%,83%
Other Income +,-0,0,5,0,0,1,1,0,1,1,0,0
Interest,0,0,0,1,1,1,1,1,0,1,1,3
Depreciation,0,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,4,6,3,11,-2,-14,16,11,-9,20,10,83
Tax %,18%,-0%,-3%,23%,-25%,-20%,37%,13%,-20%,22%,24%,20%
Net Profit +,3,6,3,9,-1,-11,10,10,-7,15,8,66
EPS in Rs,0.30,0.63,0.33,0.87,-0.13,-1.08,1.02,0.99,-0.65,1.60,0.71,12.08
Dividend Payout %,34%,16%,30%,11%,-76%,-0%,10%,10%,-9%,10%,-0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,10,10,10,10,10,10,12,13
Reserves,30,35,37,46,47,35,45,54,49,63,168,271
Borrowings +,4,-0,-0,5,8,8,1,2,4,6,4,25
Other Liabilities +,9,4,10,15,18,18,22,42,45,42,45,66
Total Liabilities,53,49,57,75,83,70,79,109,107,122,228,374
Fixed Assets +,3,6,3,10,10,10,11,12,11,13,13,14
CWIP,2,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
