--- ABOUT ---
"Incorporated in 2000, InfoBeans Technologies Ltd is in the business of software development services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,618",167,258,18.7

Book Value,Dividend Yield,ROCE,ROE
42.6,0.15,29.2,23.2

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,92,92,91,89,97,97,98,96,103,112,125,134,142
Expenses +,81,79,80,78,79,81,79,82,84,89,94,105,114
Operating Profit,11,12,11,11,17,16,19,14,19,23,31,30,28
OPM %,12%,13%,12%,12%,18%,16%,19%,15%,19%,21%,25%,22%,20%
Other Income +,5,3,4,5,3,3,4,3,3,12,4,4,5
Interest,2,1,1,1,1,1,1,1,0,0,0,0,0
Depreciation,8,8,8,8,7,7,7,7,7,6,6,6,6
Profit before tax,6,6,6,7,12,11,16,10,15,29,29,27,27
Tax %,21%,41%,33%,19%,22%,32%,21%,32%,30%,19%,21%,29%,22%
Net Profit +,5,3,4,6,9,8,13,7,10,23,23,19,21
EPS in Rs,0.49,0.36,0.43,0.57,0.95,0.79,1.30,0.72,1.08,2.40,2.33,1.99,2.21
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,43,74,83,95,116,157,180,271,385,369,395,514
Expenses +,34,56,69,76,96,127,141,206,314,317,326,401
Operating Profit,9,18,15,19,20,29,39,66,71,51,68,113
OPM %,21%,24%,18%,20%,17%,19%,22%,24%,18%,14%,17%,22%
Other Income +,0,-1,1,2,5,8,15,18,13,15,13,25
Interest,0,0,0,0,0,2,3,5,8,6,2,1
Depreciation,3,3,3,2,3,10,16,18,30,29,27,24
Profit before tax,6,15,13,19,22,26,35,61,47,31,53,112
Tax %,12%,11%,-6%,11%,14%,17%,-5%,9%,23%,27%,28%,23%
Net Profit +,6,13,13,17,19,21,37,55,36,22,38,87
EPS in Rs,2.75,6.47,1.88,1.74,1.97,2.20,3.83,5.69,3.71,2.31,3.89,8.94
Dividend Payout %,1%,1%,2%,7%,1%,-0%,20%,4%,7%,11%,6%,11%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,18,24,24,24,24,24,24,24,24,97
Reserves,23,36,37,82,102,120,157,208,247,271,308,317
Borrowings +,0,0,4,0,0,33,39,31,36,24,20,15
Other Liabilities +,4,7,6,9,7,35,26,136,98,69,49,61
Total Liabilities,32,48,64,115,134,213,245,399,406,389,401,489
Fixed Assets +,6,5,5,4,10,101,82,223,217,170,126,123
CWIP,-0,1,0,3,-0,-0,-0,-0,-0,-0,3,1
Investments,4,3,10,35,49,56,71,36,70,83,114,165
Other Assets +,21,39,49,73,75,56,92,140,120,136,157,201
Total Assets,32,48,64,115,134,213,245,399,406,389,401,489

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,5,8,9,9,20,60,36,81,77,44,50,85
Cash from Investing Activity +,-2,-2,-7,-29,-12,-47,-20,-47,-71,-24,-27,-57
Cash from Financing Activity +,-1,-0,4,33,-1,-12,-4,-15,-14,-15,-13,-21
Net Cash Flow,2,5,7,12,6,1,12,18,-8,4,10,6
Free Cash Flow,3,5,8,4,16,-4,33,75,72,42,45,71
CFO/OP,69%,52%,62%,59%,127%,178%,109%,137%,124%,108%,94%,94%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,79,83,58,81,68,78,80,91,61,75,80,77
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,79,83,58,81,68,78,80,91,61,75,80,77
Working Capital Days,69,75,56,95,83,58,52,5,16,38,64,179
ROCE %,25%,45%,23%,23%,18%,18%,19%,27%,19%,12%,17%,29%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.19%,74.18%,74.18%,74.18%,73.98%,73.98%,73.98%,74.04%,74.44%,74.40%,74.40%,72.84%
FIIs +,0.05%,0.09%,0.09%,0.29%,0.29%,0.31%,0.54%,0.56%,0.45%,0.55%,0.55%,0.45%
DIIs +,0.02%,0.02%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.36%,0.96%,0.20%
Public +,25.74%,25.71%,25.71%,25.51%,25.72%,25.71%,25.48%,25.41%,25.11%,24.69%,24.08%,26.51%
No. of Shareholders,"26,908","28,653","29,328","28,397","28,179","27,240","25,856","25,047","25,012","23,876","23,227","32,714"

--- CAGR BOXES ---




