--- ABOUT ---
"Incorporated in 1955, Infomedia PressLtd used to be in the printing business [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
29.7,5.91,8.59,

Book Value,Dividend Yield,ROCE,ROE
2.12,0.00,-38.5,-107

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Jun 2006,Sep 2006,Dec 2006,Mar 2007,Jun 2007,Sep 2007,Dec 2007,Mar 2008
Sales +,35.47,21.26,41.84,22.76,40.62,32.65,60.71,41.62,53.68,36.56,62.50,39.83,47.77
Expenses +,31.44,18.86,35.37,22.96,36.48,30.32,50.19,35.46,50.52,34.43,54.43,42.32,45.88
Operating Profit,4.03,2.40,6.47,-0.20,4.14,2.33,10.52,6.16,3.16,2.13,8.07,-2.49,1.89
OPM %,11.36%,11.29%,15.46%,-0.88%,10.19%,7.14%,17.33%,14.80%,5.89%,5.83%,12.91%,-6.25%,3.96%
Other Income +,58.23,1.38,1.03,2.92,-1.26,4.70,1.00,0.23,5.15,0.75,1.05,1.00,0.54
Interest,0.03,0.02,0.01,0.02,0.19,0.16,1.30,1.59,2.09,1.92,2.35,2.52,3.03
Depreciation,1.84,1.83,1.69,1.67,2.45,3.45,3.82,2.31,-0.55,2.02,1.93,1.93,1.93
Profit before tax,60.39,1.93,5.80,1.03,0.24,3.42,6.40,2.49,6.77,-1.06,4.84,-5.94,-2.53
Tax %,18.20%,26.42%,25.34%,10.68%,-354.17%,18.13%,29.53%,-35.74%,26.74%,-31.13%,25.62%,-22.22%,9.88%
Net Profit +,49.40,1.28,4.12,0.78,0.90,2.67,4.30,3.17,4.96,-0.85,3.38,-4.88,-2.78
EPS in Rs,,,,,,,0.74,0.50,0.80,-0.17,0.69,-0.99,-0.56
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Sales +,124,186,184,161,145,140
Expenses +,117,161,174,211,217,168
Operating Profit,7,25,10,-50,-72,-27
OPM %,6%,13%,5%,-31%,-49%,-19%
Other Income +,11,11,3,-30,61,-7
Interest,0,5,10,11,15,5
Depreciation,8,9,8,8,8,6
Profit before tax,9,21,-5,-98,-33,-45
Tax %,22%,19%,8%,3%,0%,2%
Net Profit +,7,17,-5,-101,-33,-46
EPS in Rs,,2.82,-1.05,-20.23,,-9.14
Dividend Payout %,64%,28%,-38%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Equity Capital,23,20,20,20,50,50
Reserves,128,61,68,-30,5,-39
Borrowings +,10,67,100,104,63,21
Other Liabilities +,57,61,37,88,104,89
Total Liabilities,218,208,225,182,222,120
Fixed Assets +,51,89,97,80,92,22
CWIP,1,0,0,0,1,1
Investments,38,9,15,0,22,15
Other Assets +,129,110,113,102,107,82
Total Assets,218,208,225,182,222,120

--- CASH FLOW ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Cash from Operating Activity +,-9,12,1,-12,-17,-27
Cash from Investing Activity +,43,-50,-19,-10,-6,62
Cash from Financing Activity +,-19,-28,32,-8,43,-47
Net Cash Flow,15,-66,15,-29,20,-12
Free Cash Flow,-14,8,-0,-21,-23,-32
CFO/OP,-63%,63%,72%,20%,29%,97%

--- RATIOS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Debtor Days,94,104,88,95,123,83
Inventory Days,203,119,58,72,93,95
Days Payable,208,244,220,503,758,532
Cash Conversion Cycle,89,-21,-74,-336,-541,-354
Working Capital Days,90,92,115,20,-13,-27
ROCE %,,16%,3%,-37%,-40%,-38%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,50.69%,50.69%,50.69%,50.69%,50.69%,50.69%,50.69%,50.69%,50.69%,50.69%,50.69%,50.69%
DIIs +,1.25%,1.25%,1.25%,1.00%,1.00%,0.80%,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%
Public +,48.06%,48.07%,48.06%,48.31%,48.31%,48.51%,48.54%,48.53%,48.53%,48.54%,48.53%,48.55%
No. of Shareholders,"15,021","15,192","15,080","15,081","15,023","15,053","15,298","16,387","16,696","16,450","16,337","16,608"

--- CAGR BOXES ---




