--- ABOUT ---
"Incorporated in 2012, Inox Green Energy Services Limited is one of the major wind power operation and maintenance (""O&M"") service providers within India. The company is a subsidiary of Inox Wind Limited (""IWL""), and part of the Inox GFL group of companies. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,009",199,279,77.5

Book Value,Dividend Yield,ROCE,ROE
42.5,0.00,8.42,5.62

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,57,57,47,60,52,51,55,61,65,56,86,78,69
Expenses +,51,34,34,40,41,34,37,46,68,50,77,59,71
Operating Profit,6,23,13,20,12,17,19,16,-3,6,9,19,-3
OPM %,11%,40%,27%,33%,22%,33%,34%,26%,-5%,11%,10%,24%,-4%
Other Income +,14,0,13,-2,31,7,9,12,19,42,44,23,50
Interest,8,5,7,5,9,6,5,4,4,4,1,2,2
Depreciation,14,13,13,13,13,13,13,13,0,11,10,0,0
Profit before tax,-1,5,6,0,20,5,10,10,11,33,41,39,45
Tax %,84%,47%,8%,944%,-4%,17%,37%,50%,43%,32%,31%,37%,38%
Net Profit +,-2,3,6,-1,21,4,6,5,6,22,28,25,28
EPS in Rs,-0.02,0.08,0.20,-0.05,0.73,0.13,0.18,0.11,0.15,0.60,0.76,0.66,0.69
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,368,164,165,172,172,254,224,236,281
Expenses +,352,82,77,109,90,197,149,184,258
Operating Profit,15,82,88,63,82,57,75,52,23
OPM %,4%,50%,53%,37%,48%,23%,33%,22%,8%
Other Income +,-14,-68,-47,-112,-70,40,35,57,144
Interest,65,30,53,61,55,71,25,19,9
Depreciation,17,27,40,49,50,65,53,53,2
Profit before tax,-80,-43,-51,-158,-93,-39,31,37,157
Tax %,-29%,23%,2%,-3%,0%,-48%,12%,41%,34%
Net Profit +,-57,-53,-52,-154,-93,-20,28,22,103
EPS in Rs,"-11,328.00",-9.13,-4.52,-11.94,-3.97,-0.66,0.95,0.54,2.55
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.05,57,116,129,235,292,294,367,401
Reserves,2,-8,-20,-86,572,835,"1,051","1,600","1,306"
Borrowings +,956,"1,154","1,085","1,411",904,595,174,181,88
Other Liabilities +,551,698,"1,158","1,239",410,433,564,339,317
Total Liabilities,"1,509","1,902","2,340","2,693","2,121","2,155","2,083","2,487","2,113"
Fixed Assets +,500,512,776,765,953,"1,095",755,704,15
CWIP,10,59,26,251,133,7,7,7,6
Investments,0,71,72,33,33,0,0,446,550
Other Assets +,999,"1,260","1,465","1,645","1,002","1,052","1,320","1,330","1,542"
Total Assets,"1,509","1,902","2,340","2,693","2,121","2,155","2,083","2,487","2,113"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,65,-41,362,49,141,-26,-8,60,67
Cash from Investing Activity +,-168,-170,-306,-105,-153,-5,-63,-637,-293
Cash from Financing Activity +,82,195,-52,174,-63,-10,79,572,307
Net Cash Flow,-21,-17,3,117,-76,-42,8,-5,81
Free Cash Flow,-102,-163,66,-53,-8,-97,-8,56,65
CFO/OP,513%,-52%,423%,54%,177%,-56%,-5%,103%,344%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,242,410,552,473,144,133,213,279,216
Inventory Days,"1,891",,,,540,215,,,
Days Payable,"2,200",,,,"2,029",758,,,
Cash Conversion Cycle,-67,410,552,473,"-1,344",-409,213,279,216
Working Capital Days,-213,-784,"-2,132","-2,799","-1,105",-217,392,741,225
ROCE %,,5%,4%,2%,3%,1%,4%,3%,8%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,56.04%,55.72%,55.72%,55.72%,55.72%,56.35%,55.93%,55.93%,55.97%,55.97%,54.82%,56.12%
FIIs +,8.42%,8.33%,9.20%,8.33%,9.16%,9.12%,8.79%,8.93%,7.19%,7.88%,7.57%,8.74%
DIIs +,4.09%,2.94%,2.84%,1.75%,1.72%,3.70%,3.71%,3.72%,1.33%,1.08%,1.41%,1.50%
Public +,31.46%,33.01%,32.24%,34.21%,33.40%,30.84%,31.56%,31.42%,35.50%,35.07%,36.21%,33.65%
No. of Shareholders,"79,983","83,292","93,830","1,07,498","1,21,044","1,43,748","1,54,405","1,53,492","1,47,635","1,30,308","1,15,739","1,17,889"

--- CAGR BOXES ---




