--- ABOUT ---
"Inox Wind Limited is a part of the Inox Group. The company is engaged in the business of manufacturing Wind Turbine Generators (WTGs) and is a wind energy solutions provider servicing IPPs, Utilities, PSUs, Corporates and Retail Investors. [1] Inox Wind Ltd is a fully integrated player in the wind energy market and provides end-to-end turnkey solutions."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"15,679",90.7,178,38.7

Book Value,Dividend Yield,ROCE,ROE
36.9,0.00,10.5,7.09

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,191,349,371,503,528,640,733,911,"1,275",826,"1,119","1,207","1,244"
Expenses +,218,317,322,411,429,505,567,707,"1,021",643,891,926,"1,045"
Operating Profit,-27,31,48,93,99,135,166,204,254,184,228,282,200
OPM %,-14%,9%,13%,18%,19%,21%,23%,22%,20%,22%,20%,23%,16%
Other Income +,-0,4,16,1,21,18,11,68,36,36,43,31,61
Interest,65,70,64,63,57,56,44,34,35,34,51,50,65
Depreciation,26,29,26,28,30,42,45,47,48,49,51,53,52
Profit before tax,-119,-63,-26,3,31,55,88,190,208,138,169,209,144
Tax %,0%,2%,4%,45%,-4%,24%,4%,42%,8%,29%,29%,40%,27%
Net Profit +,-119,-65,-27,2,33,42,84,110,190,97,121,127,106
EPS in Rs,-0.85,-0.46,-0.17,0.01,0.34,0.07,0.19,0.84,1.35,0.61,0.53,0.68,0.53
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,709","4,445","3,405",465,"1,436",760,711,625,733,"1,746","3,557","4,397"
Expenses +,"2,284","3,711","2,863",548,"1,287",877,902,925,926,"1,484","2,800","3,506"
Operating Profit,425,734,542,-83,149,-116,-191,-300,-193,262,757,891
OPM %,16%,17%,16%,-18%,10%,-15%,-27%,-48%,-26%,15%,21%,20%
Other Income +,47,48,84,26,23,11,76,19,-65,46,134,172
Interest,62,98,155,171,169,244,255,283,327,240,169,200
Depreciation,20,35,44,52,66,80,88,89,98,113,182,204
Profit before tax,389,649,427,-280,-62,-430,-459,-653,-684,-45,539,659
Tax %,24%,29%,29%,-33%,-36%,-35%,-33%,-26%,4%,7%,19%,32%
Net Profit +,296,461,303,-188,-40,-279,-307,-483,-712,-48,438,449
EPS in Rs,3.14,4.88,3.21,-1.99,-0.42,-2.96,-3.24,-5.08,-5.11,-0.26,3.23,2.34
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,222,222,222,222,222,222,222,222,326,391,"1,624","1,728"
Reserves,"1,170","1,665","1,968","1,782","1,743","1,464","1,094",688,"1,387","2,417","3,423","4,654"
Borrowings +,874,"1,457","1,674","1,062","1,305","1,121","1,566","2,637","2,416","2,078","1,500","1,587"
Other Liabilities +,930,"1,434","1,291","1,032","1,471","2,485","2,582","2,417","1,912","1,867","2,246","4,099"
Total Liabilities,"3,196","4,778","5,155","4,098","4,741","5,292","5,464","5,965","6,041","6,754","8,792","12,068"
Fixed Assets +,203,527,765,985,973,"1,228","1,191","1,343","1,619","1,843","2,291","2,825"
CWIP,49,43,112,20,66,33,230,148,123,304,296,247
