--- ABOUT ---
Insecticides India is into manufacturing of agrochemicals (technicals and formulations) and biological and household products. They cater to Indian market where they directly sell to the end consumer and also sell technicals and formulations to the companies who are in the business of formulation. They also export to 30 countries with more than 100 customers through registrations. IIL has more than 75 registrations so far. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,003",688,"1,098",14.4

Book Value,Dividend Yield,ROCE,ROE
419,0.29,15.9,12.1

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,302,640,696,358,272,657,627,358,359,691,638,385,426
Expenses +,331,594,614,332,264,585,538,327,330,607,548,358,401
Operating Profit,-29,46,82,26,9,72,90,31,28,85,89,27,25
OPM %,-9%,7%,12%,7%,3%,11%,14%,9%,8%,12%,14%,7%,6%
Other Income +,0,4,0,1,5,3,2,0,3,4,3,1,5
Interest,4,3,3,3,2,2,2,1,2,4,4,5,4
Depreciation,7,7,7,7,8,7,7,8,7,7,9,9,9
Profit before tax,-39,40,72,17,4,66,82,22,22,77,79,14,16
Tax %,-25%,26%,26%,28%,-106%,25%,25%,22%,37%,25%,25%,27%,27%
Net Profit +,-29,29,53,12,8,49,61,17,14,58,59,10,12
EPS in Rs,-9.90,9.85,17.96,4.16,2.62,16.68,21.13,5.97,4.77,19.97,20.31,3.61,4.02
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,893,906,994,"1,073","1,194","1,363","1,420","1,504","1,801","1,966","2,000","2,140"
Expenses +,782,814,882,925,"1,006","1,207","1,268","1,333","1,679","1,804","1,779","1,913"
Operating Profit,111,92,112,148,188,156,153,171,122,162,221,227
OPM %,12%,10%,11%,14%,16%,11%,11%,11%,7%,8%,11%,11%
Other Income +,0,0,7,3,1,3,-2,3,1,10,8,12
Interest,33,26,20,16,15,24,7,7,13,11,7,17
Depreciation,15,16,16,17,20,24,25,26,26,29,29,36
Profit before tax,64,50,82,118,153,111,120,141,84,132,193,187
Tax %,14%,21%,27%,29%,20%,22%,21%,24%,25%,23%,26%,25%
Net Profit +,55,40,60,84,123,87,94,107,63,102,142,139
EPS in Rs,19.24,12.77,19.26,27.19,39.62,28.04,30.29,36.29,21.36,34.49,48.81,47.91
Dividend Payout %,-0%,10%,7%,5%,3%,10%,4%,6%,14%,9%,4%,4%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,13,21,21,21,21,21,21,20,30,30,29,29
Reserves,278,388,444,527,641,711,800,850,889,982,"1,056","1,191"
Borrowings +,322,206,237,114,305,191,100,54,163,87,105,157
Other Liabilities +,308,321,277,338,388,372,505,473,615,620,709,623
Total Liabilities,920,936,978,"1,000","1,356","1,294","1,426","1,396","1,696","1,719","1,898","2,000"
Fixed Assets +,210,198,185,232,240,239,239,253,263,286,282,381
CWIP,38,51,58,17,19,39,59,91,123,142,161,119
Investments,3,3,11,17,12,12,14,16,17,23,29,29
Other Assets +,670,684,725,735,"1,084","1,004","1,115","1,037","1,294","1,268","1,426","1,472"
Total Assets,920,936,978,"1,000","1,356","1,294","1,426","1,396","1,696","1,719","1,898","2,000"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-6,86,4,182,-133,242,155,135,-11,187,93,100
Cash from Investing Activity +,-34,-19,-14,-26,-49,-24,-113,9,-86,-46,-38,-86
Cash from Financing Activity +,36,-64,9,-143,172,-159,-104,-115,80,-98,-61,18
Net Cash Flow,-4,4,-0,13,-11,59,-61,30,-17,42,-5,31
Free Cash Flow,-40,67,-10,154,-171,213,108,68,-97,143,59,8
CFO/OP,1%,108%,19%,140%,-54%,175%,120%,103%,16%,124%,61%,69%

--- RATIOS ---
