--- ABOUT ---
"Incorporated in 1973, International Conveyors Ltd is engaged in the manufacturing of Conveyor Belting [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
532,83.4,115,7.78

Book Value,Dividend Yield,ROCE,ROE
66.5,0.90,20.6,17.4

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,48.83,42.66,42.76,22.55,25.96,40.39,30.77,26.09,54.60,35.46,45.30,35.34,97.03
Expenses +,39.67,36.62,33.28,18.87,23.87,34.73,25.86,25.71,44.08,30.05,34.49,29.97,78.40
Operating Profit,9.16,6.04,9.48,3.68,2.09,5.66,4.91,0.38,10.52,5.41,10.81,5.37,18.63
OPM %,18.76%,14.16%,22.17%,16.32%,8.05%,14.01%,15.96%,1.46%,19.27%,15.26%,23.86%,15.20%,19.20%
Other Income +,4.02,14.34,21.58,22.55,8.16,42.38,31.90,29.21,1.47,65.90,-32.33,35.65,-10.45
Interest,1.20,2.18,2.48,2.20,2.09,2.75,2.18,1.64,1.85,1.87,2.64,2.08,1.84
Depreciation,0.57,0.47,0.47,0.49,0.51,0.43,0.44,0.45,0.42,0.38,0.39,0.40,0.40
Profit before tax,11.41,17.73,28.11,23.54,7.65,44.86,34.19,27.50,9.72,69.06,-24.55,38.54,5.94
Tax %,31.03%,20.42%,18.53%,17.97%,20.65%,28.96%,21.59%,27.27%,-34.05%,24.60%,-29.29%,22.99%,32.83%
Net Profit +,7.87,14.11,22.90,19.31,6.07,31.87,26.81,20.00,13.03,52.07,-17.36,29.68,3.99
EPS in Rs,1.19,2.23,3.61,3.05,0.96,5.03,4.23,3.16,2.06,8.22,-2.74,4.65,0.63
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,96,84,60,56,86,99,169,205,215,134,152,213
Expenses +,91,86,54,59,86,88,149,186,186,113,130,173
Operating Profit,5,-2,6,-3,-0,11,20,20,29,21,21,40
OPM %,5%,-2%,10%,-5%,-0%,11%,12%,10%,14%,16%,14%,19%
Other Income +,4,6,8,8,9,4,9,14,14,67,105,59
Interest,5,6,6,7,10,10,5,4,4,9,8,8
Depreciation,5,3,3,3,2,2,2,2,2,2,2,2
Profit before tax,-1,-5,5,-4,-4,3,22,27,37,77,116,89
Tax %,269%,-13%,34%,46%,41%,-98%,25%,40%,23%,19%,21%,23%
Net Profit +,-3,-4,3,-7,-6,6,17,16,29,62,92,68
EPS in Rs,-0.44,-0.66,0.49,-1.10,-0.85,0.94,2.46,2.40,4.36,9.84,14.47,10.72
Dividend Payout %,-57%,-8%,10%,-5%,-6%,21%,41%,42%,25%,11%,5%,5%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,7,7,7,7,7,7,7,7,6,6,6,6
Reserves,68,62,117,143,140,116,147,210,209,267,355,418
Borrowings +,58,58,40,65,102,63,46,20,65,125,86,73
Other Liabilities +,24,11,11,15,18,22,28,69,31,42,60,71
Total Liabilities,157,138,176,230,266,207,228,305,311,439,508,569
Fixed Assets +,24,23,21,19,17,15,17,17,16,15,14,15
CWIP,3,1,1,1,1,1,0,0,0,0,0,0
Investments,42,42,101,143,170,102,147,119,157,252,299,328
Other Assets +,88,71,52,67,78,89,64,168,138,172,195,226
Total Assets,157,138,176,230,266,207,228,305,311,439,508,569

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,9,12,16,-14,5,3,49,37,4,12,15,35
Cash from Investing Activity +,-8,-3,7,-4,-32,46,-26,1,-18,-48,43,-5
