--- ABOUT ---
"Jagran Prakashan Ltd is a media conglomerate with interests spanning across printing and publication of newspapers & magazines, FM radio, digital, outdoor advertising and promotional marketing, event management and activation business. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,437",66.0,79.7,7.30

Book Value,Dividend Yield,ROCE,ROE
92.6,10.6,12.8,9.94

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,459.38,454.58,458.73,510.96,509.64,444.12,446.51,516.50,481.00,460.05,467.36,476.71,472.10
Expenses +,450.71,385.16,386.79,406.20,484.40,378.60,371.92,423.04,547.22,396.26,400.77,405.28,424.45
Operating Profit,8.67,69.42,71.94,104.76,25.24,65.52,74.59,93.46,-66.22,63.79,66.59,71.43,47.65
OPM %,1.89%,15.27%,15.68%,20.50%,4.95%,14.75%,16.71%,18.09%,-13.77%,13.87%,14.25%,14.98%,10.09%
Other Income +,52.87,21.71,18.09,26.68,24.01,23.26,27.08,21.22,34.05,51.59,30.70,27.91,13.39
Interest,10.63,7.36,6.16,6.26,7.82,5.56,12.33,5.26,5.36,5.40,5.50,5.50,3.92
Depreciation,25.71,26.91,27.31,28.10,29.03,25.66,26.99,27.24,27.93,19.62,20.65,20.50,24.86
Profit before tax,25.20,56.86,56.56,97.08,12.40,57.56,62.35,82.18,-65.46,90.36,71.14,73.34,32.26
Tax %,7.66%,22.79%,26.57%,24.31%,51.37%,28.70%,33.20%,23.68%,-21.39%,26.13%,19.96%,24.78%,81.22%
Net Profit +,23.27,43.90,41.52,73.48,6.02,41.03,41.65,62.72,-51.46,66.77,56.94,55.17,6.06
EPS in Rs,0.93,2.05,1.95,3.39,1.05,1.89,1.97,2.88,-0.73,3.09,2.69,2.49,0.78
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,770","2,079","2,283","2,304","2,363","2,097","1,289","1,616","1,856","1,934","1,888","1,876"
Expenses +,"1,323","1,489","1,643","1,721","1,829","1,665","1,061","1,256","1,602","1,663","1,728","1,627"
Operating Profit,446,590,640,583,534,433,228,360,254,271,160,250
OPM %,25%,28%,28%,25%,23%,21%,18%,22%,14%,14%,8%,13%
Other Income +,112,94,41,47,41,32,42,73,145,90,106,123
Interest,37,55,35,27,26,33,34,31,39,28,21,20
Depreciation,104,122,129,136,128,146,129,119,107,111,108,86
Profit before tax,418,508,517,467,421,286,107,282,253,223,137,267
Tax %,26%,31%,32%,33%,35%,2%,27%,23%,22%,26%,31%,31%
Net Profit +,308,351,349,311,274,281,78,217,197,165,94,185
EPS in Rs,9.42,10.73,10.63,9.63,8.79,9.72,3.19,8.44,7.58,8.44,6.02,9.05
Dividend Payout %,37%,0%,28%,31%,40%,0%,0%,0%,44%,59%,100%,110%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,65,65,65,62,59,56,56,53,44,44,44,44
Reserves,"1,071","1,566","2,090","1,977","1,816","1,862","1,940","2,085","1,704","1,885","1,904","1,972"
Borrowings +,648,591,308,148,406,281,318,352,443,247,186,110
Other Liabilities +,469,442,748,785,814,738,648,653,739,652,570,584
Total Liabilities,"2,253","2,664","3,212","2,972","3,096","2,938","2,961","3,142","2,930","2,827","2,702","2,709"
Fixed Assets +,773,"1,422","1,492","1,476","1,493","1,455","1,346","1,269","1,068",908,747,687
CWIP,72,145,76,12,3,2,2,2,2,6,12,1
Investments,357,362,535,523,506,526,839,"1,029","1,020",926,"1,068","1,165"
Other Assets +,"1,051",734,"1,109",961,"1,093",955,774,842,839,986,874,856
Total Assets,"2,253","2,664","3,212","2,972","3,096","2,938","2,961","3,142","2,930","2,827","2,702","2,709"

--- CASH FLOW ---
