--- ABOUT ---
"Incorporated in 2022, Jain Resource Recycling and its subsidiaries specialize in recycling non-ferrous metal scrap and producing lead, copper, and aluminium alloys. Its lead ingots are London Metal Exchange-registered, ensuring international quality standards. The company also trades non-ferrous metals and commodities. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"13,003",377,594,36.9

Book Value,Dividend Yield,ROCE,ROE
45.2,0.00,25.5,30.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,496","1,392","1,781","1,760","1,549","2,114","2,775","3,105"
Expenses +,"1,402","1,304","1,691","1,667","1,459","1,954","2,577","2,995"
Operating Profit,94,88,89,93,90,160,199,110
OPM %,6%,6%,5%,5%,6%,8%,7%,4%
Other Income +,10,7,13,8,6,5,2,10
Interest,21,19,21,23,16,27,26,26
Depreciation,3,3,4,4,3,3,4,4
Profit before tax,80,72,77,75,77,135,171,89
Tax %,26%,27%,24%,30%,26%,27%,26%,26%
Net Profit +,60,53,59,53,57,99,126,66
EPS in Rs,14.53,12.81,14.29,1.62,1.75,2.86,3.66,1.91
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,064","4,428","7,126","9,543"
Expenses +,"2,937","4,197","6,751","8,985"
Operating Profit,127,231,375,558
OPM %,4%,5%,5%,6%
Other Income +,43,55,36,24
Interest,34,56,91,96
Depreciation,14,16,16,15
Profit before tax,124,215,305,471
Tax %,26%,24%,27%,26%
Net Profit +,92,164,223,347
EPS in Rs,22.96,39.93,6.93,10.07
Dividend Payout %,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,40,41,65,69
Reserves,159,328,661,"1,492"
Borrowings +,739,914,928,"1,276"
Other Liabilities +,178,245,182,545
Total Liabilities,"1,116","1,529","1,836","3,382"
Fixed Assets +,74,79,89,114
CWIP,0,0,3,45
Investments,0,16,36,131
Other Assets +,"1,042","1,433","1,708","3,092"
Total Assets,"1,116","1,529","1,836","3,382"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,11,33,4,-602
Cash from Investing Activity +,-9,-93,-26,-98
Cash from Financing Activity +,3,136,-35,740
Net Cash Flow,5,76,-58,40
Free Cash Flow,-11,8,-30,-704
CFO/OP,34%,36%,21%,-91%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,30,15,7,18
Inventory Days,45,50,38,62
Days Payable,4,2,6,14
Cash Conversion Cycle,71,63,39,66
Working Capital Days,17,8,15,43
ROCE %,,23%,27%,25%

--- SHAREHOLDING PATTERN ---
,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.59%,73.59%,73.59%
FIIs +,6.42%,3.70%,3.02%
DIIs +,6.43%,8.58%,10.04%
Government +,0.00%,0.13%,0.06%
Public +,13.56%,14.00%,13.28%
No. of Shareholders,"93,291","65,796","63,099"

--- CAGR BOXES ---




