--- ABOUT ---
"Incorporated in 1983, JBM Auto Ltd is in automotive business that manufactures and sells sheet metal components, tools, dies & moulds, and buses including sale of spare parts, accessories and maintenance contract for Buses [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"17,200",727,790,76.6

Book Value,Dividend Yield,ROCE,ROE
65.0,0.12,14.8,15.6

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,010",946,"1,231","1,346","1,486","1,144","1,286","1,396","1,646","1,254","1,368","1,614","1,852"
Expenses +,903,833,"1,091","1,190","1,314","1,014","1,128","1,228","1,461","1,134","1,218","1,441","1,623"
Operating Profit,107,114,140,157,172,130,158,168,185,120,150,173,229
OPM %,11%,12%,11%,12%,12%,11%,12%,12%,11%,10%,11%,11%,12%
Other Income +,3,4,10,6,12,9,10,18,17,40,39,21,30
Interest,35,39,48,54,55,52,60,68,67,66,70,74,108
Depreciation,38,40,41,43,48,43,43,44,44,44,44,42,43
Profit before tax,37,38,60,66,82,45,65,73,90,51,74,77,108
Tax %,23%,21%,19%,21%,23%,26%,19%,22%,20%,23%,26%,23%,22%
Net Profit +,28,30,49,52,62,34,53,56,72,39,55,60,84
EPS in Rs,1.19,1.28,1.87,2.06,2.36,1.41,2.09,2.23,2.81,1.56,2.23,2.33,3.14
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,557","1,518","1,501","1,633","2,207","1,947","1,982","3,193","3,857","5,009","5,472","6,088"
Expenses +,"1,366","1,328","1,336","1,429","1,949","1,717","1,784","2,860","3,459","4,425","4,830","5,415"
Operating Profit,191,190,165,204,258,230,198,333,398,584,642,673
OPM %,12%,13%,11%,12%,12%,12%,10%,10%,10%,12%,12%,11%
Other Income +,6,6,35,24,27,16,12,21,27,30,52,129
Interest,35,53,53,49,59,64,55,76,126,197,247,318
Depreciation,40,59,50,56,75,74,76,91,130,171,175,174
Profit before tax,122,85,97,124,150,108,78,187,170,246,273,310
Tax %,24%,26%,26%,34%,35%,36%,37%,16%,26%,21%,21%,23%
Net Profit +,93,63,72,81,98,69,49,156,125,194,215,238
EPS in Rs,3.75,2.57,3.53,3.45,4.81,2.93,2.08,6.60,5.26,7.56,8.54,9.25
Dividend Payout %,13%,14%,11%,12%,9%,12%,14%,8%,12%,10%,10%,9%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,20,20,20,20,20,24,24,24,24,24,24,24
Reserves,280,323,336,397,625,680,722,873,"1,006","1,144","1,327","1,515"
Borrowings +,502,536,522,573,781,627,845,"1,388","1,703","2,127","2,630","3,029"
Other Liabilities +,451,639,471,445,580,678,873,944,807,"1,570","1,869","2,802"
Total Liabilities,"1,254","1,519","1,350","1,435","2,006","2,009","2,464","3,229","3,540","4,865","5,850","7,370"
Fixed Assets +,692,711,583,558,834,861,930,"1,213","1,540","1,729","1,720","1,620"
CWIP,12,27,35,63,70,90,300,180,268,131,73,158
Investments,16,16,76,91,48,54,54,49,74,79,94,409
Other Assets +,534,764,656,723,"1,054","1,004","1,179","1,788","1,657","2,926","3,962","5,183"
Total Assets,"1,254","1,519","1,350","1,435","2,006","2,009","2,464","3,229","3,540","4,865","5,850","7,370"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,66,145,119,69,152,370,216,-142,484,205,394,-60
Cash from Investing Activity +,-200,-116,-65,-61,-190,-123,-363,-295,-646,-443,-556,-258
Cash from Financing Activity +,138,-34,-57,-8,46,-236,140,454,159,248,224,314
Net Cash Flow,4,-4,-4,-0,9,11,-7,16,-2,10,62,-4
Free Cash Flow,-132,29,54,15,-20,249,-131,-409,-134,-19,281,-358
CFO/OP,46%,92%,84%,48%,74%,170%,117%,-37%,134%,43%,70%,5%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,54,70,75,79,101,93,91,66,44,49,67,131
Inventory Days,59,103,75,75,68,80,96,66,57,76,60,46
Days Payable,73,139,111,82,97,108,154,90,59,113,115,150
Cash Conversion Cycle,40,34,39,72,73,65,33,43,43,12,12,26
Working Capital Days,-25,-33,-19,6,32,-11,-49,-7,-20,-19,1,21
ROCE %,21%,15%,15%,17%,17%,12%,9%,14%,12%,14%,14%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,67.53%,67.53%,67.53%,67.53%,67.53%,67.53%,67.53%,67.53%,67.53%,67.53%,67.53%,67.53%
FIIs +,1.73%,2.52%,2.82%,3.34%,3.30%,3.26%,3.28%,2.75%,2.30%,1.90%,1.92%,1.97%
DIIs +,0.02%,0.03%,0.04%,0.06%,0.05%,0.06%,0.07%,0.07%,0.09%,0.08%,0.09%,0.10%
Public +,30.72%,29.91%,29.62%,29.09%,29.12%,29.14%,29.12%,29.64%,30.07%,30.47%,30.45%,30.38%
No. of Shareholders,"54,667","90,389","89,478","1,11,902","1,29,244","1,30,765","1,34,974","1,68,469","1,75,550","1,87,359","1,83,315","1,83,719"

--- CAGR BOXES ---




