--- ABOUT ---
"Incorporated in 1997, JHS Svendgaard Laboratories Ltd does manufacturing of oral and dental products for national and international brands [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
69.8,7.99,13.9,

Book Value,Dividend Yield,ROCE,ROE
20.0,0.00,-0.78,-1.11

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,21.72,15.90,18.93,14.30,21.66,24.48,19.68,22.66,25.17,23.45,22.28,23.27,32.70
Expenses +,25.28,18.02,18.52,14.36,20.82,22.51,20.52,22.41,30.55,21.79,21.37,21.60,34.34
Operating Profit,-3.56,-2.12,0.41,-0.06,0.84,1.97,-0.84,0.25,-5.38,1.66,0.91,1.67,-1.64
OPM %,-16.39%,-13.33%,2.17%,-0.42%,3.88%,8.05%,-4.27%,1.10%,-21.37%,7.08%,4.08%,7.18%,-5.02%
Other Income +,-11.54,0.41,0.20,2.34,1.37,0.32,0.86,0.27,-1.44,1.00,1.14,0.59,0.73
Interest,0.11,0.13,0.10,0.11,0.13,0.12,0.11,0.13,0.21,0.16,0.20,0.28,0.22
Depreciation,1.61,1.32,1.50,1.63,1.90,1.97,1.98,1.97,2.02,1.88,1.86,1.90,1.86
Profit before tax,-16.82,-3.16,-0.99,0.54,0.18,0.20,-2.07,-1.58,-9.05,0.62,-0.01,0.08,-2.99
Tax %,-36.39%,-18.35%,-26.26%,100.00%,516.67%,415.00%,398.07%,15.82%,-23.09%,-69.35%,"1,800.00%",-887.50%,19.73%
Net Profit +,-10.71,-2.59,-0.73,0.01,-0.75,-0.63,-10.32,-1.84,-6.96,1.06,-0.20,0.79,-3.57
EPS in Rs,-1.65,-0.40,-0.09,0.00,-0.10,-0.08,-1.21,-0.21,-0.81,0.12,-0.02,0.09,-0.41
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,55,100,104,140,124,139,101,86,85,71,92,102
Expenses +,59,93,92,126,124,137,99,87,94,72,96,99
Operating Profit,-4,7,12,14,0,2,2,-1,-9,-1,-4,3
OPM %,-7%,7%,11%,10%,0%,1%,2%,-1%,-11%,-1%,-4%,3%
Other Income +,-6,-17,0,32,6,3,7,9,-7,4,0,3
Interest,0,0,1,1,1,2,1,1,1,0,1,1
Depreciation,12,10,6,7,7,9,7,7,6,6,8,8
Profit before tax,-22,-22,5,38,-2,-6,1,0,-23,-3,-13,-2
Tax %,0%,0%,-327%,32%,-19%,-17%,-39%,"4,000%",-24%,18%,58%,-16%
Net Profit +,-22,-22,22,26,-2,-5,1,-4,-18,-4,-20,-2
EPS in Rs,-9.20,-5.76,4.98,4.29,-0.11,-0.33,0.19,-0.62,0.62,-0.52,-2.31,-0.22
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,24,38,44,61,61,61,64,65,78,78,86,87
Reserves,96,63,90,113,116,117,124,121,95,91,87,87
Borrowings +,19,3,2,2,7,9,7,6,3,5,6,15
Other Liabilities +,33,19,19,32,39,55,33,30,52,22,25,26
Total Liabilities,171,122,155,208,223,241,228,222,228,197,204,215
Fixed Assets +,108,65,65,71,71,66,63,59,65,90,90,89
CWIP,0,1,1,1,5,7,9,20,9,1,0,4
Investments,0,0,1,18,10,6,2,4,3,3,4,5
Other Assets +,63,57,89,118,137,163,154,140,152,102,110,117
Total Assets,171,122,155,208,223,241,228,222,228,197,204,215

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,7,-4,-4,14,-11,10,12,-9,23,-9,-5,-3
Cash from Investing Activity +,1,1,-3,-27,-7,-11,-2,-5,10,-21,-20,-12
Cash from Financing Activity +,-10,4,10,14,13,0,10,-2,-1,2,23,11
Net Cash Flow,-1,2,3,0,-5,-0,20,-16,32,-28,-2,-3
Free Cash Flow,9,-7,-17,3,-26,0,5,-16,21,-33,-14,-15
CFO/OP,-189%,-58%,-33%,119%,"-10,000%",595%,650%,"1,051%",-257%,"1,001%",122%,-77%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,167,25,48,111,158,252,213,77,80,66,52,60
Inventory Days,94,53,95,65,60,30,97,114,128,176,153,85
Days Payable,106,67,123,153,134,177,128,130,197,197,141,100
Cash Conversion Cycle,156,12,19,23,85,105,182,61,11,46,63,45
Working Capital Days,-39,58,56,122,173,198,272,217,41,51,48,42
ROCE %,-12%,-3%,5%,8%,-0%,4%,1%,1%,-2%,-2%,-5%,-1%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,42.23%,37.73%,37.73%,37.73%,37.73%,34.56%,34.56%,34.56%,34.56%,34.56%,34.56%,33.85%
FIIs +,0.00%,0.00%,0.00%,2.29%,0.15%,1.69%,1.59%,1.60%,1.59%,1.57%,1.57%,3.60%
DIIs +,0.00%,0.00%,9.16%,6.21%,6.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,57.78%,62.25%,53.10%,53.75%,56.05%,63.76%,63.85%,63.84%,63.86%,63.87%,63.86%,62.57%
No. of Shareholders,"23,800","22,794","22,648","26,448","25,768","25,994","26,276","25,567","25,155","25,007","25,151","25,330"

--- CAGR BOXES ---




