--- ABOUT ---
"Jindal Stainless Ltd is one of the largest manufacturers of Stainless Steel flat products, in Austenitic, Ferritic, Martensitic and Duplex grades in India used in a variety of industries like automobile, railways, construction, consumer goods etc. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"57,437",697,884,17.7

Book Value,Dividend Yield,ROCE,ROE
240,0.43,19.3,17.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"9,765","10,184","9,797","9,127","9,454","9,430","9,777","9,907","10,198","10,207","10,893","10,518","11,337"
Expenses +,"8,621","8,992","8,566","7,881","8,419","8,219","8,590","8,714","9,165","8,911","9,519","9,110","9,882"
Operating Profit,"1,144","1,192","1,231","1,246","1,035","1,210","1,186","1,193","1,033","1,296","1,374","1,408","1,455"
OPM %,12%,12%,13%,14%,11%,13%,12%,12%,10%,13%,13%,13%,13%
Other Income +,78,76,140,52,53,51,47,99,87,69,107,77,84
Interest,83,100,156,146,153,143,159,161,150,144,141,134,149
Depreciation,181,188,222,236,233,232,241,242,241,252,262,269,278
Profit before tax,957,981,993,917,702,886,834,890,729,969,"1,078","1,082","1,112"
Tax %,25%,25%,23%,25%,29%,27%,27%,26%,19%,26%,25%,24%,25%
Net Profit +,716,738,764,691,501,646,609,654,590,715,808,828,834
EPS in Rs,9.30,9.06,9.40,8.41,6.08,7.87,7.42,7.95,7.17,8.67,9.79,10.05,10.23
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"6,933","7,144","9,279","11,638","13,557","12,951","12,188","32,733","35,697","38,562","39,312","42,955"
Expenses +,"6,564","6,571","8,113","10,294","12,392","11,819","10,764","27,642","32,111","34,052","34,844","37,394"
Operating Profit,368,573,"1,166","1,343","1,165","1,132","1,424","5,090","3,586","4,511","4,469","5,560"
OPM %,5%,8%,13%,12%,9%,9%,12%,16%,10%,12%,11%,13%
Other Income +,"1,238",-14,63,62,45,44,148,171,236,515,438,310
Interest,942,"1,030",788,566,637,586,480,344,325,554,612,568
Depreciation,411,316,325,320,352,425,403,759,724,879,956,"1,060"
Profit before tax,253,-788,116,520,222,165,690,"4,159","2,774","3,592","3,339","4,242"
Tax %,0%,-29%,28%,34%,35%,56%,39%,25%,25%,25%,25%,25%
Net Profit +,253,-556,83,346,145,73,419,"3,109","2,084","2,693","2,500","3,185"
EPS in Rs,11.17,-24.05,2.04,7.16,2.97,1.46,8.60,58.59,25.68,32.95,30.41,38.74
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,10%,9%,10%,10%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,45,46,80,96,96,97,97,105,165,165,165,165
Reserves,-214,"1,666","1,734","2,369","2,495","2,620","3,108","9,718","11,766","14,193","16,523","19,626"
