--- ABOUT ---
"Jubilant Pharmova Ltd is an integrated global pharmaceuticals company having three business segments i.e. pharmaceuticals, contract research and development services and proprietary novel drugs. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"15,394",966,"1,250",35.2

Book Value,Dividend Yield,ROCE,ROE
445,0.52,8.99,6.55

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,678","1,587","1,680","1,677","1,759","1,732","1,752","1,822","1,929","1,901","1,966","2,122","2,290"
Expenses +,"1,459","1,419","1,438","1,459","1,487","1,480","1,463","1,535","1,584","1,611","1,625","1,833","1,951"
Operating Profit,219,168,242,218,271,252,289,287,345,290,341,289,339
OPM %,13%,11%,14%,13%,15%,15%,17%,16%,18%,15%,17%,14%,15%
Other Income +,21,9,19,49,-151,410,8,-10,9,12,4,-19,10
Interest,56,62,66,71,73,71,61,56,53,49,50,56,56
Depreciation,271,90,97,95,101,91,91,91,95,98,105,121,117
Profit before tax,-86,25,98,101,-54,500,144,130,206,154,190,93,176
Tax %,16%,76%,37%,34%,15%,4%,29%,23%,27%,34%,37%,40%,32%
Net Profit +,-100,6,62,66,-62,482,102,101,151,102,120,56,119
EPS in Rs,-6.15,0.40,3.92,4.19,-3.68,30.26,6.45,6.33,9.64,6.46,7.55,3.51,7.50
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"5,751","5,749","5,861","7,518","9,111","5,976","6,099","6,130","6,282","6,703","7,234","8,280"
Expenses +,"5,141","4,493","4,510","5,995","7,367","4,428","4,695","4,980","5,503","5,802","6,061","7,020"
Operating Profit,610,"1,256","1,352","1,522","1,744","1,548","1,403","1,150",779,901,"1,173","1,260"
OPM %,11%,22%,23%,20%,19%,26%,23%,19%,12%,13%,16%,15%
Other Income +,86,4,19,36,-249,225,263,8,-9,-76,416,7
Interest,368,371,341,284,220,200,184,145,188,272,240,212
Depreciation,288,347,291,415,371,340,349,382,554,382,369,440
Profit before tax,40,542,738,859,904,"1,233","1,133",630,28,170,981,614
Tax %,200%,29%,22%,26%,36%,27%,26%,34%,333%,57%,15%,35%
Net Profit +,-40,387,575,634,577,898,836,413,-65,73,836,398
EPS in Rs,-3.63,24.60,36.14,40.35,36.06,56.39,52.47,25.98,-3.83,4.84,52.69,25.02
Dividend Payout %,-83%,12%,8%,7%,12%,9%,10%,19%,-130%,102%,9%,20%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,16,16,16,16,16,16,16,16,16,16
Reserves,"2,438","2,951","3,420","4,071","4,793","5,588","4,726","5,303","5,383","5,418","6,239","7,077"
Borrowings +,"4,793","4,493","4,045","3,469","4,840","4,808","2,830","3,192","3,677","3,664","2,731","3,615"
Other Liabilities +,"1,372","1,280","1,417","1,902","1,670","1,898","1,192","1,319","1,853","2,240","3,598","4,815"
Total Liabilities,"8,619","8,740","8,899","9,457","11,319","12,310","8,763","9,830","10,929","11,338","12,584","15,523"
Fixed Assets +,"4,911","5,104","5,107","5,401","5,648","6,340","4,609","4,871","5,183","5,091","5,176","8,044"
CWIP,597,611,684,671,901,768,897,"1,090","1,562","2,103","3,630","2,962"
Investments,40,85,103,124,115,69,241,239,256,42,44,61
Other Assets +,"3,071","2,939","3,006","3,262","4,654","5,133","3,017","3,631","3,928","4,101","3,735","4,455"
Total Assets,"8,619","8,740","8,899","9,457","11,319","12,310","8,763","9,830","10,929","11,338","12,584","15,523"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,783,"1,099","1,268","1,303","1,122","1,543","1,784",838,661,971,"1,072","1,227"
Cash from Investing Activity +,-362,-309,-465,-614,"-1,018",-267,-727,-323,-474,-596,512,"-1,260"
Cash from Financing Activity +,-503,-843,-686,-901,657,"-1,050","-1,709",-33,-157,-432,"-1,453",95
Net Cash Flow,-82,-52,117,-212,761,225,-652,482,30,-58,132,62
Free Cash Flow,434,760,806,819,473,975,"1,270",241,-135,83,-38,-120
CFO/OP,141%,91%,104%,103%,84%,116%,155%,90%,111%,131%,112%,114%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,52,60,63,55,51,79,49,55,56,50,45,47
Inventory Days,169,207,223,177,147,463,268,308,268,220,178,170
Days Payable,99,106,137,145,106,273,124,139,160,146,158,170
Cash Conversion Cycle,122,162,149,87,92,268,194,224,165,124,65,47
Working Capital Days,12,4,50,45,45,62,74,56,57,56,16,13
ROCE %,6%,13%,15%,15%,16%,15%,12%,10%,3%,7%,10%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,50.67%,50.67%,50.67%,50.67%,50.67%,50.67%,50.67%,50.67%,47.67%,47.67%,47.67%,47.67%
FIIs +,23.20%,23.20%,20.29%,19.06%,19.50%,17.94%,16.96%,17.23%,17.40%,16.56%,15.96%,15.90%
DIIs +,1.63%,1.64%,2.89%,3.77%,4.06%,5.66%,6.99%,7.05%,9.52%,10.53%,11.23%,11.63%
Public +,23.91%,23.89%,25.56%,25.91%,25.18%,25.17%,24.82%,24.48%,24.83%,24.60%,24.57%,24.25%
Others +,0.59%,0.59%,0.58%,0.58%,0.58%,0.56%,0.56%,0.56%,0.56%,0.63%,0.57%,0.56%
No. of Shareholders,"93,375","89,376","86,588","92,264","81,992","89,456","1,02,442","96,526","99,673","93,336","90,133","86,347"

--- CAGR BOXES ---




