--- ABOUT ---
"Justdial is the market leader in local search engine segment in India. The Company provides local search-related services to users across India in a platform-agnostic manner. The multi-platform offering includes App (Android, iOS), mobile website, desktop /PC, voice and text. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,592",540,958 / 480,32.9

Book Value,Dividend Yield,ROCE,ROE
473,0.00,4.81,3.63

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024
Sales +,176,165,156,159,167,186,205,221,233,247,261,265,270
Expenses +,141,183,140,154,173,177,188,194,199,210,212,205,200
Operating Profit,35,-17,16,5,-6,8,17,27,33,37,49,60,71
OPM %,20%,-10%,10%,3%,-4%,5%,8%,12%,14%,15%,19%,23%,26%
Other Income +,16,23,36,29,35,-60,56,71,74,81,58,75,91
Interest,2,1,2,2,2,1,2,2,3,2,2,2,3
Depreciation,9,9,7,7,7,7,8,8,9,10,12,12,12
Profit before tax,39,-4,43,24,20,-60,64,88,96,106,92,121,147
Tax %,14%,-20%,23%,20%,-8%,-19%,19%,14%,13%,21%,22%,24%,22%
Net Profit +,34,-4,33,19,22,-48,52,75,84,83,72,92,116
EPS in Rs,5.43,-0.57,3.94,2.32,2.64,-5.74,6.19,8.93,9.91,9.81,8.44,10.82,13.61
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Sales +,259,461,590,668,719,782,892,953,675,647,845,"1,043"
Expenses +,195,319,424,523,609,617,663,680,520,649,759,826
Operating Profit,65,142,166,144,110,164,229,273,155,-2,86,217
OPM %,25%,31%,28%,22%,15%,21%,26%,29%,23%,-0%,10%,21%
Other Income +,18,40,49,80,87,66,93,140,150,122,142,305
Interest,0,0,0,0,0,0,0,9,7,7,8,9
Depreciation,9,17,24,31,40,36,34,52,42,30,32,46
Profit before tax,73,165,190,193,156,194,288,352,255,83,188,467
Tax %,29%,27%,27%,26%,22%,26%,28%,23%,16%,15%,13%,22%
Net Profit +,52,121,139,143,121,143,207,272,214,71,163,363
EPS in Rs,,17.19,19.70,20.55,17.45,21.25,31.94,41.96,34.61,8.47,19.30,42.68
Dividend Payout %,0%,12%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Equity Capital,52,70,70,69,70,67,65,65,62,84,84,85
Reserves,54,464,603,670,836,912,934,"1,223","1,202","3,403","3,583","3,938"
Borrowings +,1,0,0,0,0,0,4,76,63,55,68,85
Other Liabilities +,141,231,291,309,360,431,546,468,459,491,601,752
Total Liabilities,248,765,965,"1,048","1,265","1,410","1,549","1,832","1,786","4,033","4,337","4,861"
Fixed Assets +,35,53,92,139,156,149,126,172,138,134,152,147
CWIP,1,1,0,9,9,0,6,0,0,0,30,0
Investments,157,626,772,795,964,"1,143","1,291","1,552","1,511","3,798","4,051","4,608"
