--- ABOUT ---
"KAMA Holdings Ltd is a core investment company while the principal activities of its subsidiaries are manufacturing, purchasing, and sale of technical textiles, chemicals, packaging films, and other polymers. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,447","2,632","3,266",8.75

Book Value,Dividend Yield,ROCE,ROE
"2,497",1.57,14.0,12.7

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"3,768","3,363","3,206","3,076","3,796","3,501","3,452","3,526","4,350","3,857","3,672","3,743","4,658"
Expenses +,"2,858","2,652","2,562","2,499","2,888","2,878","2,899","2,885","3,375","3,002","2,880","2,948","3,609"
Operating Profit,911,710,644,577,907,623,552,641,975,855,792,795,"1,049"
OPM %,24%,21%,20%,19%,24%,18%,16%,18%,22%,22%,22%,21%,23%
Other Income +,48,1,17,12,19,7,26,22,16,11,12,-59,-7
Interest,66,65,79,67,90,96,94,96,89,80,71,65,62
Depreciation,154,156,161,168,185,188,193,194,194,203,212,217,219
Profit before tax,739,490,421,354,651,346,291,373,707,584,521,454,761
Tax %,23%,26%,29%,28%,4%,27%,30%,27%,25%,25%,25%,4%,23%
Net Profit +,566,362,300,255,623,251,204,272,527,436,390,434,584
EPS in Rs,89.50,57.25,46.97,40.25,127.78,39.15,32.30,42.78,82.63,68.89,61.39,68.06,91.69
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"4,560","4,630","4,864","5,633","7,153","7,270","8,468","12,503","15,095","13,440","14,828","15,930"
Expenses +,"3,833","3,655","3,856","4,714","5,879","5,792","6,302","9,365","11,381","10,602","12,037","12,439"
Operating Profit,727,975,"1,009",919,"1,274","1,477","2,166","3,138","3,714","2,838","2,792","3,491"
OPM %,16%,21%,21%,16%,18%,20%,26%,25%,25%,21%,19%,22%
Other Income +,68,33,32,123,115,130,32,86,63,49,70,-44
Interest,140,131,103,126,200,200,133,115,204,301,375,277
Depreciation,246,291,297,333,361,386,451,515,573,671,769,850
Profit before tax,408,587,641,584,828,"1,021","1,614","2,593","3,000","1,916","1,718","2,319"
Tax %,24%,26%,22%,22%,22%,0%,26%,27%,23%,20%,27%,20%
Net Profit +,312,435,501,458,647,"1,017","1,196","1,889","2,324","1,539","1,254","1,844"
EPS in Rs,96.54,134.55,99.44,75.46,105.40,164.16,187.61,296.40,390.57,272.27,196.86,290.04
Dividend Payout %,3%,2%,3%,4%,3%,4%,12%,11%,8%,37%,17%,8%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,6,6,6,6,6,6,6,6,32,32,32
Reserves,"1,345","1,593","1,846","1,943","2,364","2,791","3,750","4,829","5,709","6,577","7,214","7,980"
Borrowings +,"2,484","2,528","2,412","3,154","3,750","4,121","3,458","3,651","4,457","5,022","4,716","5,078"
Other Liabilities +,"2,165","2,473","2,887","3,557","4,005","4,158","6,046","7,711","9,075","9,701","10,564","12,141"
Total Liabilities,"6,000","6,601","7,151","8,660","10,126","11,078","13,260","16,198","19,246","21,331","22,525","25,231"
Fixed Assets +,"3,952","4,151","4,424","5,140","5,652","6,377","7,839","8,441","10,071","13,267","13,751","13,969"
CWIP,117,128,270,580,777,"1,415",773,"1,672","2,406",806,811,"1,889"
Investments,163,238,290,219,243,354,646,619,952,"1,139","1,708","1,627"
Other Assets +,"1,768","2,083","2,167","2,720","3,454","2,931","4,003","5,466","5,818","6,119","6,255","7,746"
Total Assets,"6,000","6,601","7,151","8,660","10,126","11,078","13,260","16,198","19,246","21,331","22,525","25,231"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,532,"1,091",635,706,904,"1,292","1,807","2,133","2,873","2,126","2,534","2,561"
Cash from Investing Activity +,-563,-644,-645,"-1,289","-1,068","-1,189","-1,529","-1,615","-2,930","-2,098","-1,704","-1,616"
Cash from Financing Activity +,43,-165,-243,575,266,-177,-182,-205,144,-71,"-1,064",-697
Net Cash Flow,12,282,-253,-8,102,-74,97,312,87,-42,-234,247
Free Cash Flow,46,506,-687,-587,-279,-217,623,314,16,-78,"1,308",750
CFO/OP,85%,123%,75%,91%,83%,97%,95%,81%,91%,89%,103%,88%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,49,41,49,44,53,45,55,52,43,53,53,59
Inventory Days,110,110,127,115,109,121,128,121,112,127,112,131
Days Payable,83,112,122,126,123,112,138,119,109,120,111,121
Cash Conversion Cycle,75,39,54,34,39,54,45,55,45,60,54,68
Working Capital Days,9,3,-15,-19,77,56,57,57,48,66,63,60
ROCE %,11%,14%,14%,11%,13%,14%,18%,23%,23%,14%,12%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.05%,75.05%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,0.08%,0.10%,0.22%,0.30%,0.16%,0.21%,0.22%,0.28%,0.30%,0.30%,0.29%,0.24%
DIIs +,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.03%,0.04%,0.03%,0.03%
Public +,24.87%,24.83%,24.77%,24.69%,24.84%,24.79%,24.74%,24.69%,24.66%,24.65%,24.67%,24.72%
