--- ABOUT ---
"Incorporated in 1971, Kanpur Plastipack Ltd manufactures HDPE /PP Woven Sacks, PP Box Bags, FIBC, Fabrics and High Tenacity PP MFY [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
467,191,247,11.4

Book Value,Dividend Yield,ROCE,ROE
110,0.47,17.9,17.2

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,110,100,120,124,153,132,152,161,168,180,165,192,180
Expenses +,104,93,112,127,145,129,142,146,151,167,150,178,160
Operating Profit,6,7,8,-4,8,3,10,15,17,13,15,15,20
OPM %,6%,7%,7%,-3%,5%,2%,6%,9%,10%,7%,9%,8%,11%
Other Income +,3,2,2,2,5,4,2,3,-4,2,1,5,5
Interest,1,3,4,4,6,5,5,5,4,3,3,2,3
Depreciation,3,3,3,3,4,4,4,4,3,3,3,3,3
Profit before tax,5,3,3,-8,4,-2,2,10,5,8,10,14,20
Tax %,-51%,28%,29%,-17%,12%,-22%,33%,19%,44%,29%,25%,23%,25%
Net Profit +,7,2,2,-7,3,-1,2,8,3,6,8,11,15
EPS in Rs,3.38,0.96,1.04,-3.15,1.52,-0.64,0.77,3.48,1.33,2.60,3.28,4.47,6.12
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,314,451,624,476,497,627,719
Expenses +,296,395,575,453,477,581,654
Operating Profit,18,55,49,23,20,45,65
OPM %,6%,12%,8%,5%,4%,7%,9%
Other Income +,8,7,12,2,11,3,11
Interest,11,9,14,12,17,21,11
Depreciation,9,9,11,11,13,14,12
Profit before tax,6,44,37,2,2,13,53
Tax %,22%,31%,29%,-70%,47%,13%,25%
Net Profit +,5,30,26,4,1,11,40
EPS in Rs,2.29,14.10,12.20,1.69,0.38,4.94,16.14
Dividend Payout %,17%,13%,18%,30%,0%,18%,7%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,14,14,21,21,21,22,24
Reserves,114,143,158,159,159,183,244
Borrowings +,107,158,183,166,224,145,112
Other Liabilities +,31,61,59,61,72,137,89
Total Liabilities,266,376,420,407,476,488,470
Fixed Assets +,164,185,214,208,278,208,207
CWIP,0,2,2,36,2,1,9
Investments,0,3,3,3,3,3,5
Other Assets +,102,186,201,159,193,276,250
Total Assets,266,376,420,407,476,488,470

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,41,-4,29,69,-5,37,51
Cash from Investing Activity +,-1,-34,-38,-41,-40,-4,23
Cash from Financing Activity +,-40,41,6,-26,45,-27,-75
Net Cash Flow,-0,4,-3,1,0,6,-1
Free Cash Flow,33,-36,-11,26,-47,32,92
CFO/OP,233%,8%,72%,298%,-20%,84%,97%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,47,45,36,37,55,52,48
Inventory Days,92,149,113,102,116,100,86
Days Payable,11,24,15,18,22,16,18
Cash Conversion Cycle,128,169,134,122,149,136,116
Working Capital Days,34,26,23,17,7,22,45
ROCE %,,19%,15%,5%,5%,12%,18%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,66.74%,66.74%,66.74%,66.74%,66.74%,66.74%,66.74%,66.74%,67.26%,67.63%,67.63%,68.12%
FIIs +,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.03%,0.00%,0.00%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.97%,1.11%,1.48%
Public +,33.28%,33.25%,33.27%,33.26%,33.25%,33.26%,33.25%,33.27%,32.68%,31.37%,31.26%,30.39%
No. of Shareholders,"10,202","9,561","9,293","10,346","9,697","9,007","8,893","8,774","8,175","8,057","7,844","7,583"

--- CAGR BOXES ---




