--- ABOUT ---
"Incorporated in 1992, Kaushalya Infrastructure Development Corporation is in the business of construction contracts for Infrastructure and Hotel [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
29.3,847,"1,842",88.9

Book Value,Dividend Yield,ROCE,ROE
"2,235",0.00,0.58,0.43

Face Value
"1,000"

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,0.03,0.02,0.03,0.04,0.05,0.02,0.04,0.04,0.04,0.02,0.03,0.79,0.07
Expenses +,1.15,0.83,1.14,0.71,0.48,0.42,0.28,0.26,0.38,0.57,0.36,0.20,0.53
Operating Profit,-1.12,-0.81,-1.11,-0.67,-0.43,-0.40,-0.24,-0.22,-0.34,-0.55,-0.33,0.59,-0.46
OPM %,"-3,733.33%","-4,050.00%","-3,700.00%","-1,675.00%",-860.00%,"-2,000.00%",-600.00%,-550.00%,-850.00%,"-2,750.00%","-1,100.00%",74.68%,-657.14%
Other Income +,16.57,2.06,0.73,-0.14,18.12,0.31,4.71,0.91,0.08,1.09,0.03,0.11,0.02
Interest,0.00,0.00,0.00,-0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01
Profit before tax,15.42,1.22,-0.40,-0.68,17.67,-0.11,4.45,0.68,-0.27,0.53,-0.31,0.69,-0.45
Tax %,1.56%,9.84%,-280.00%,-11.76%,21.51%,100.00%,3.15%,20.59%,-355.56%,22.64%,-16.13%,23.19%,-17.78%
Net Profit +,15.17,1.09,0.72,-0.60,13.88,-0.22,4.31,0.55,0.70,0.41,-0.25,0.53,-0.37
EPS in Rs,504.67,35.33,22.67,-21.33,400.81,-6.35,124.46,15.88,20.21,11.84,-7.22,15.30,-10.68
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,5.68,0.57,0.28,0.31,0.22,0.18,2.27,0.14,0.12,0.14,0.13,0.90
Expenses +,6.56,56.18,4.99,1.18,9.60,6.29,2.95,1.53,1.70,1.64,1.27,1.50
Operating Profit,-0.88,-55.61,-4.71,-0.87,-9.38,-6.11,-0.68,-1.39,-1.58,-1.50,-1.14,-0.60
OPM %,-15.49%,"-9,756.14%","-1,682.14%",-280.65%,"-4,263.64%","-3,394.44%",-29.96%,-992.86%,"-1,316.67%","-1,071.43%",-876.92%,-66.67%
Other Income +,0.92,1.24,0.68,0.29,26.40,0.30,5.61,2.64,17.40,19.41,5.98,1.09
Interest,6.59,-0.03,-0.40,0.07,0.00,0.03,0.02,0.03,0.00,0.00,0.03,0.00
Depreciation,0.91,0.47,0.46,0.44,0.44,0.42,0.38,0.28,0.14,0.08,0.06,0.03
Profit before tax,-7.46,-54.81,-4.09,-1.09,16.58,-6.26,4.53,0.94,15.68,17.83,4.75,0.46
Tax %,-2.28%,-0.09%,-1.47%,-10.09%,-35.59%,-1.76%,85.87%,54.26%,1.40%,15.31%,-12.21%,30.43%
Net Profit +,-7.29,-54.76,-3.89,-0.99,22.49,-6.15,0.64,0.43,15.46,15.10,5.33,0.33
EPS in Rs,-243.00,"-1,825.33",-129.33,-34.67,749.67,-205.00,21.33,14.33,515.33,436.04,153.91,9.53
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,34.63,34.63,34.63,34.63,34.63,34.63,34.63,34.63,34.63,34.63,34.63,34.63
Reserves,50.03,-4.56,-8.70,-9.48,12.75,4.24,4.63,5.41,21.35,37.32,42.61,42.77
Borrowings +,61.57,61.34,62.50,57.75,31.47,29.90,24.40,23.90,22.20,0.00,0.00,0.00
Other Liabilities +,44.77,31.89,31.24,17.58,16.63,15.69,5.07,2.03,2.66,1.97,3.31,3.84
