--- ABOUT ---
"Kiri Industries Limited (KIL) is engaged in the business of manufacturing and exporting a wide range of Dyes, Dye Intermediates, and Basic Chemicals from India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,572",395,779,

Book Value,Dividend Yield,ROCE,ROE
"1,072",0.00,-1.69,-2.05

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,222,227,231,160,269,183,173,179,205,202,213,174,250
Expenses +,227,226,240,180,264,183,178,223,210,218,227,222,393
Operating Profit,-5,2,-10,-21,5,0,-5,-44,-5,-16,-14,-49,-142
OPM %,-2%,1%,-4%,-13%,2%,0%,-3%,-25%,-2%,-8%,-6%,-28%,-57%
Other Income +,3,1,2,8,6,14,3,92,6,35,1,"5,956",66
Interest,2,4,5,6,8,5,18,50,54,60,61,67,8
Depreciation,12,12,12,11,12,11,11,11,11,12,12,12,12
Profit before tax,-16,-13,-26,-30,-9,-2,-31,-14,-64,-53,-85,"5,829",-97
Tax %,15%,18%,5%,-3%,89%,-48%,-3%,1%,-0%,-2%,-7%,14%,-615%
Net Profit +,-61,-3,19,135,-10,92,80,177,-85,10,20,"5,023",514
EPS in Rs,-11.86,-0.49,3.63,25.96,-1.85,17.79,15.49,31.80,-15.22,1.82,3.27,836.69,85.69
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,931,"1,030","1,125","1,117","1,394","1,305",957,"1,497",945,709,740,840
Expenses +,831,917,966,936,"1,163","1,119",874,"1,376",983,768,794,"1,061"
Operating Profit,100,113,159,181,231,186,83,121,-37,-59,-54,-221
OPM %,11%,11%,14%,16%,17%,14%,9%,8%,-4%,-8%,-7%,-26%
Other Income +,2,17,159,233,9,265,233,338,215,294,488,"6,057"
Interest,86,74,9,3,5,5,4,5,6,23,127,195
Depreciation,28,27,29,34,38,44,46,50,49,46,45,47
Profit before tax,-13,30,279,376,198,402,265,404,122,166,262,"5,594"
Tax %,22%,13%,5%,5%,17%,7%,5%,4%,13%,0%,-1%,4%
Net Profit +,182,196,266,358,164,376,252,389,107,166,265,"5,567"
EPS in Rs,79.88,73.71,95.40,118.38,52.36,111.69,75.10,75.00,20.58,32.07,47.59,927.47
Dividend Payout %,0%,0%,0%,0%,4%,0%,1%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,23,27,28,30,31,34,34,52,52,52,56,60
Reserves,420,614,"1,005","1,345","1,534","1,897","2,147","2,521","2,627","2,732","3,191","6,376"
Borrowings +,791,429,184,205,167,153,152,96,45,122,"1,124",42
Other Liabilities +,321,270,257,245,327,321,367,406,477,460,355,561
Total Liabilities,"1,556","1,339","1,473","1,824","2,058","2,404","2,700","3,074","3,201","3,365","4,725","7,039"
Fixed Assets +,368,333,376,412,484,512,563,546,510,437,806,"1,067"
CWIP,89,6,36,32,38,79,58,63,72,68,63,42
Investments,394,568,717,948,954,"1,214","1,445","1,781","1,992","2,528","3,152","3,341"
Other Assets +,705,433,344,433,582,599,634,685,627,332,705,"2,589"
Total Assets,"1,556","1,339","1,473","1,824","2,058","2,404","2,700","3,074","3,201","3,365","4,725","7,039"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-83,226,206,64,141,124,72,92,89,-77,-342,"4,555"
Cash from Investing Activity +,-247,-212,-105,-66,-119,-104,-70,-29,-18,29,-842,"-3,050"
Cash from Financing Activity +,325,1,-119,2,-16,-27,-7,-57,-57,50,"1,194",-966
Net Cash Flow,-6,16,-19,0,6,-7,-5,6,14,2,9,539
Free Cash Flow,-133,181,102,-1,26,11,-5,55,67,-85,-749,"4,268"
CFO/OP,-81%,204%,134%,43%,77%,92%,130%,94%,-293%,129%,634%,"-2,091%"

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,184,90,48,70,66,90,126,70,80,45,54,45
Inventory Days,56,42,39,63,69,65,104,90,105,81,109,94
Days Payable,85,96,87,89,81,100,158,119,213,251,151,201
Cash Conversion Cycle,155,36,-0,44,55,55,72,41,-28,-125,12,-62
Working Capital Days,130,2,19,54,39,40,49,23,-14,-164,41,"1,349"
ROCE %,7%,9%,25%,27%,12%,21%,12%,16%,5%,7%,11%,-2%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Apr 2026
Promoters +,26.72%,26.72%,26.72%,26.72%,26.72%,31.72%,31.72%,31.72%,36.72%,36.72%,36.72%,41.71%
FIIs +,46.35%,45.73%,24.65%,39.73%,33.37%,25.98%,25.94%,23.79%,22.25%,19.67%,18.32%,16.88%
