--- ABOUT ---
"Kirloskar Brothers is a part of the Kirloskar Group engaged in the business of engineering and manufacturing of systems for fluid management. The core businesses include large infrastructure projects (Water Supply, Power Plants, and Irrigation), Pumps, Valves, Motors and Hydro turbines. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"15,355","1,934","2,476",38.0

Book Value,Dividend Yield,ROCE,ROE
310,0.36,20.8,17.7

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,125",900,913,965,"1,224","1,031","1,036","1,144","1,281",979,"1,028","1,116","1,415"
Expenses +,980,790,818,841,"1,033",919,894,978,"1,092",867,919,974,"1,233"
Operating Profit,145,110,95,124,191,112,142,166,190,112,108,142,182
OPM %,13%,12%,10%,13%,16%,11%,14%,14%,15%,11%,11%,13%,13%
Other Income +,13,10,2,16,36,15,14,11,24,16,18,4,1
Interest,8,8,6,5,8,6,6,8,6,6,6,9,9
Depreciation,18,18,19,21,21,21,22,22,24,23,24,25,28
Profit before tax,132,95,72,114,199,100,129,146,184,98,96,112,146
Tax %,31%,30%,34%,27%,28%,29%,26%,22%,33%,28%,30%,-7%,29%
Net Profit +,101,64,51,82,153,66,97,118,138,68,72,125,112
EPS in Rs,12.62,8.02,6.35,10.31,19.17,8.20,12.05,14.76,17.27,8.40,8.94,15.65,14.04
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,713","2,642","2,526","2,775","3,349","3,135","2,717","3,058","3,730","4,001","4,492","4,538"
Expenses +,"2,520","2,567","2,431","2,625","3,221","2,928","2,475","2,852","3,330","3,481","3,883","3,994"
Operating Profit,193,75,95,151,128,207,241,206,400,520,609,544
OPM %,7%,3%,4%,5%,4%,7%,9%,7%,11%,13%,14%,12%
Other Income +,15,27,31,21,23,37,53,32,22,65,64,38
Interest,50,51,45,40,47,52,44,33,35,26,25,30
Depreciation,95,66,65,59,64,71,68,70,69,78,89,100
Profit before tax,63,-15,16,73,41,121,182,135,318,481,559,452
Tax %,28%,-25%,111%,37%,113%,44%,15%,40%,29%,29%,28%,20%
Net Profit +,45,-23,4,50,3,72,161,94,236,350,419,377
EPS in Rs,5.18,-3.04,0.48,6.22,0.44,9.05,20.29,11.88,29.59,43.84,52.29,47.04
Dividend Payout %,10%,-16%,207%,40%,570%,28%,15%,25%,15%,14%,13%,15%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,16,16,16,16,16,16,16,16,16,16
Reserves,996,907,882,927,893,927,"1,089","1,162","1,388","1,703","2,077","2,448"
Borrowings +,355,362,359,346,380,578,331,396,286,192,182,250
Other Liabilities +,"1,258","1,166","1,194","1,266","1,377","1,327","1,279","1,289","1,326","1,413","1,391","1,693"
Total Liabilities,"2,625","2,450","2,451","2,555","2,666","2,848","2,715","2,862","3,016","3,325","3,666","4,407"
Fixed Assets +,571,501,480,461,457,501,481,532,532,634,655,702
CWIP,12,6,4,13,25,51,73,27,82,32,34,58
